Sample	Unique Reads	Duplicate Reads
ABLG1928_1-renamed	4841548.0	2019511.0
ABLG1928_2-renamed	5112544.0	1748515.0
ABLG1929_1-renamed	7936164.0	2537828.0
ABLG1929_2-renamed	8182410.0	2291582.0
ABLG1937_1-renamed	7940230.0	3270194.0
ABLG1937_2-renamed	8153347.0	3057077.0
ABLG1938_1-renamed	9245183.0	3595974.0
ABLG1938_2-renamed	9478362.0	3362795.0
ABLG1944_1-renamed	3766529.0	1189018.0
ABLG1944_2-renamed	3883132.0	1072415.0
ABLG1945_1-renamed	12415612.0	6066467.0
ABLG1945_2-renamed	13197377.0	5284702.0
ABLG1956_1-renamed	4677149.0	1319132.0
ABLG1956_2-renamed	4806994.0	1189287.0
ABLG1981_1-renamed	8902029.0	3182823.0
ABLG1981_2-renamed	9074943.0	3009909.0
ABLG1988_1-renamed	12104455.0	4221094.0
ABLG1988_2-renamed	12501359.0	3824190.0
ABLG1997_1-renamed	14026183.0	5905225.0
ABLG1997_2-renamed	14319941.0	5611467.0
ABLG2005_1-renamed	13316290.0	6894566.0
ABLG2005_2-renamed	14087489.0	6123367.0
ABLG2013_1-renamed	6510112.0	1865363.0
ABLG2013_2-renamed	6638815.0	1736660.0
ABLG2018_CKDL210009362-1a-AK1586-AK425_H5CHMDSX2_L4_1	4667480.0	1563942.0
ABLG2018_CKDL210009362-1a-AK1586-AK425_H5CHMDSX2_L4_2	4782485.0	1448937.0
ABLG2023_1-renamed	10605966.0	4237963.0
ABLG2023_2-renamed	11069428.0	3774501.0
ABLG2032_1-renamed	5122099.0	1780954.0
ABLG2032_2-renamed	5205520.0	1697533.0
ABLG2077_1-renamed	10488662.0	3722850.0
ABLG2077_2-renamed	10744746.0	3466766.0
ABLG2082_CKDL210009362-1a-AK1572-AK425_H5CHMDSX2_L4_1	5574269.0	2006637.0
ABLG2082_CKDL210009362-1a-AK1572-AK425_H5CHMDSX2_L4_2	5768664.0	1812242.0
ABLG2091_CKDL210009362-1a-AK1581-AK413_H5CHMDSX2_L4_1	16403465.0	6284794.0
ABLG2091_CKDL210009362-1a-AK1581-AK413_H5CHMDSX2_L4_2	16971513.0	5716746.0
ABLG2093_1-renamed	11122813.0	3301554.0
ABLG2093_2-renamed	11388190.0	3036177.0
ABLG2099_1-renamed	11728168.0	3650107.0
ABLG2099_2-renamed	11978056.0	3400219.0
ABLG2100_1-renamed	17723584.0	6446861.0
ABLG2100_2-renamed	18089130.0	6081315.0
ABLG2103_1-renamed	11838885.0	3542988.0
ABLG2103_2-renamed	12139814.0	3242059.0
ABLG2105_1-renamed	14197348.0	5073456.0
ABLG2105_2-renamed	14471488.0	4799316.0
ABLG2109_1-renamed	17367768.0	6185059.0
ABLG2109_2-renamed	17649077.0	5903750.0
ABLG2118_1-renamed	15772959.0	5358522.0
ABLG2118_2-renamed	16040748.0	5090733.0
ABLG2120_1-renamed	12314366.0	4035376.0
ABLG2120_2-renamed	12585996.0	3763746.0
ABLG2123_1-renamed	9824135.0	2822248.0
ABLG2123_2-renamed	10112329.0	2534054.0
ABLG2140_1-renamed	11026116.0	4582873.0
ABLG2140_2-renamed	11469326.0	4139663.0
ABLG2147_CKDL210009362-1a-AK1568-AK413_H5CHMDSX2_L4_1	12310218.0	6634498.0
