Sample	Top over-represented sequence	Sum of remaining over-represented sequences
ABLG2293_1-renamed	2.9331139189249638	3.8808805768809713
ABLG2293_2-renamed	2.802713016783319	3.6735669202174352
ABLG2308_1-renamed	3.520657279669579	4.1880036932108
ABLG2308_2-renamed	3.438756239284018	4.111084241144087
ABLG2317_1-renamed	3.04154550265064	3.7857787832300915
ABLG2317_2-renamed	2.849635051556401	3.5857671320659454
ABLG2334_1-renamed	4.51733833795479	4.870769385224502
ABLG2334_2-renamed	4.223672006839239	4.95785982716396
ABLG2335_1-renamed	3.9398525395105195	4.421918520338666
ABLG2335_2-renamed	3.6535175618880964	4.5604450233150065
ABLG2336_1-renamed	3.370838634692455	4.256892992606418
ABLG2336_2-renamed	3.2231940896764817	4.058083154987032
ABLG2340_1-renamed	3.479676280781215	4.142124700383096
ABLG2340_2-renamed	3.290289616268212	4.169636434728739
ABLG2351_1-renamed	3.7990124854146066	4.431734000578648
ABLG2351_2-renamed	3.5044749735316842	4.554527910163516
ABLG2504_CKDL210009366-1a-AK1582-AK417_H5CHMDSX2_L2_1	4.55910110189518	5.166262647610605
ABLG2504_CKDL210009366-1a-AK1582-AK417_H5CHMDSX2_L2_2	4.387039173154019	5.189641893066636
ABLG2505_CKDL210009362-1a-AK1583-AK413_H5CHMDSX2_L4_1	2.6680489786769033	3.6765407686419755
ABLG2505_CKDL210009362-1a-AK1583-AK413_H5CHMDSX2_L4_2	2.4412039279365345	3.54277495133221
ABLG2507_1-renamed	2.5266281555301218	3.467021288560357
ABLG2507_2-renamed	2.391501272352981	3.3800817599918007
ABLG2510_CKDL210009365-1a-N701-N501_H5CHMDSX2_L2_1	1.9905755939719088	2.685135197401734
ABLG2510_CKDL210009365-1a-N701-N501_H5CHMDSX2_L2_2	1.979931002348463	3.3346031279822412
ABLG2514_1-renamed	2.432105439335546	2.5261196148725085
ABLG2514_2-renamed	2.2254909359351207	2.642876142628079
ABLG2517_1-renamed	2.6413035732470345	3.5921863475540405
ABLG2517_2-renamed	2.477796043942803	3.6037072946590687
ABLG2518_1-renamed	2.865370945137537	3.6518952254158905
ABLG2518_2-renamed	2.7495167684386734	3.790100126388827
ABLG2563_1-renamed	2.88201574834649	3.767040706564256
ABLG2563_2-renamed	2.7538631898513617	3.7743609318327294
ABLG2576_1-renamed	1.9999394493268314	2.703693168616727
ABLG2576_2-renamed	1.87171987850437	2.7704186022933213
ABLG2608_1-renamed	2.390628931277485	3.154601208267515
ABLG2608_2-renamed	2.291907016195017	2.9092907200663713
