Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ABLG1928_1-renamed	ABLG1928_1-renamed.fq	Conventional base calls	Sanger / Illumina 1.9	6861059.0	0.0	150.0	47.0	70.56560313581109	150.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	fail	fail
ABLG1928_2-renamed	ABLG1928_2-renamed.fq	Conventional base calls	Sanger / Illumina 1.9	6861059.0	0.0	150.0	47.0	74.51536302011876	150.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	fail	fail
ABLG1929_1-renamed	ABLG1929_1-renamed.fq	Conventional base calls	Sanger / Illumina 1.9	10473992.0	0.0	150.0	46.0	75.77018730379183	150.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	fail	fail
ABLG1929_2-renamed	ABLG1929_2-renamed.fq	Conventional base calls	Sanger / Illumina 1.9	10473992.0	0.0	150.0	46.0	78.12121317213212	150.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	fail	fail
ABLG1937_1-renamed	ABLG1937_1-renamed.fq	Conventional base calls	Sanger / Illumina 1.9	11210424.0	0.0	150.0	47.0	70.82898434043152	150.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	fail	fail
ABLG1937_2-renamed	ABLG1937_2-renamed.fq	Conventional base calls	Sanger / Illumina 1.9	11210424.0	0.0	150.0	47.0	72.73004441055613	150.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	fail	fail
ABLG1938_1-renamed	ABLG1938_1-renamed.fq	Conventional base calls	Sanger / Illumina 1.9	12841157.0	0.0	150.0	46.0	71.99648931909753	150.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	fail	fail
ABLG1938_2-renamed	ABLG1938_2-renamed.fq	Conventional base calls	Sanger / Illumina 1.9	12841157.0	0.0	150.0	46.0	73.81236693596125	150.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	fail	fail
ABLG1944_1-renamed	ABLG1944_1-renamed.fq	Conventional base calls	Sanger / Illumina 1.9	4955547.0	0.0	150.0	48.0	76.00630526384856	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	fail	warn
ABLG1944_2-renamed	ABLG1944_2-renamed.fq	Conventional base calls	Sanger / Illumina 1.9	4955547.0	0.0	150.0	48.0	78.3592932467961	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	fail	warn
ABLG1945_1-renamed	ABLG1945_1-renamed.fq	Conventional base calls	Sanger / Illumina 1.9	18482079.0	0.0	150.0	46.0	67.17648640275797	150.0	pass	pass	pass	pass	warn	fail	pass	pass	warn	fail	warn
ABLG1945_2-renamed	ABLG1945_2-renamed.fq	Conventional base calls	Sanger / Illumina 1.9	18482079.0	0.0	150.0	46.0	71.40634243450032	150.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	fail	warn
ABLG1956_1-renamed	ABLG1956_1-renamed.fq	Conventional base calls	Sanger / Illumina 1.9	5996281.0	0.0	150.0	47.0	78.00081861996587	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	fail	fail
ABLG1956_2-renamed	ABLG1956_2-renamed.fq	Conventional base calls	Sanger / Illumina 1.9	5996281.0	0.0	150.0	47.0	80.16625180812335	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	fail	fail
