gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast
Montipora_capitata_HIv3___TS.g23982.t1,58.474668766960626,2.004300360404603,0.42557962138504696,4.70957785497721,2.482303825120452e-6,1.7709912290191885e-4,30vs27
Montipora_capitata_HIv3___RNAseq.g6452.t1,107.29122138352493,2.242503251553964,0.581610317252716,3.855679971680372,1.1540838799775761e-4,0.003972264820616027,30vs27
Montipora_capitata_HIv3___RNAseq.g21685.t1,606.8628477596803,1.9280934080050272,0.4196840990750654,4.594154060766942,4.345082905282258e-6,2.813201914490456e-4,30vs27
Montipora_capitata_HIv3___RNAseq.g12951.t1,347.496486431639,2.3406191021872504,0.510114228690615,4.5884215153050345,4.46610154604378e-6,2.8538388879219756e-4,30vs27
Montipora_capitata_HIv3___RNAseq.g7282.t1,1088.7874088564515,-1.9157173284657434,0.1261907724189734,-15.181120550599832,4.7165489327879515e-52,1.3863823933036906e-48,30vs27
Montipora_capitata_HIv3___RNAseq.g49702.t1,222.87952615099482,1.8421804301013103,0.2973382848623169,6.195570916655875,5.807413692318533e-10,9.810524027127068e-8,30vs27
Montipora_capitata_HIv3___RNAseq.g4090.t1,61.67643995977116,1.771050709728368,0.3893343959784646,4.548919201647755,5.392214008434702e-6,3.28835557186576e-4,30vs27
Montipora_capitata_HIv3___TS.g9947.t1,413.3082349281674,4.21210537408348,0.9647493058623929,4.366010266592795,1.2653653466960772e-5,6.602302123973775e-4,30vs27
Montipora_capitata_HIv3___RNAseq.g6578.t1,66.04719602998652,2.231925875049308,0.6009148349031326,3.7142133051334874,2.0383681029460053e-4,0.006126359102044466,30vs27
Montipora_capitata_HIv3___RNAseq.g21025.t1,52.734467605981216,2.0085752148919362,0.4279246882651286,4.693758668225018,2.6823044706625204e-6,1.8683331187358798e-4,30vs27
Montipora_capitata_HIv3___RNAseq.g24569.t1,1578.070016838192,1.9570407005585269,0.5054672324615479,3.871745931042926,1.080585553887237e-4,0.0037722959347935205,30vs27
Montipora_capitata_HIv3___RNAseq.g47642.t2,179.6949114816972,-2.440510477032569,0.3264010760450083,-7.477029508003341,7.602135007781922e-14,2.327678712695227e-11,30vs27
Montipora_capitata_HIv3___RNAseq.g37645.t1,2738.622746345721,1.5735344784533867,0.37899051274919604,4.151909943705378,3.297120131479336e-5,0.0014773711759863354,30vs27
Montipora_capitata_HIv3___RNAseq.g24504.t1,204.22890370474107,1.6693113104858848,0.3837797515813144,4.349659677478307,1.36348970249438e-5,7.031301107915755e-4,30vs27
Montipora_capitata_HIv3___RNAseq.g611.t1,5818.5337571577165,1.6278894290205554,0.10313144361575931,15.784608184926066,3.9710744167771163e-56,1.9454293567791093e-52,30vs27
Montipora_capitata_HIv3___RNAseq.g7242.t1,3041.3435085213737,-1.873975412791589,0.122599867071693,-15.285297264602582,9.582473138453143e-53,3.520840192896146e-49,30vs27
Montipora_capitata_HIv3___RNAseq.g5463.t2,755.1982424862848,1.5209279779505367,0.16937667747656565,8.979559645459256,2.718525888310053e-19,1.5366990377112632e-16,30vs27
Montipora_capitata_HIv3___RNAseq.g24505.t1,109.65406994288657,1.6732131374345607,0.42322058045943567,3.953524981271398,7.700821966620147e-5,0.0028436929759652336,30vs27
Montipora_capitata_HIv3___RNAseq.g35068.t1,140.32805149261742,1.5274011019967206,0.25887216767711485,5.90021366801321,3.630311259524793e-9,5.500482946519164e-7,30vs27
Montipora_capitata_HIv3___TS.g26144.t1,1650.0056785060715,1.703224732543182,0.19805420117389416,8.59979097867118,7.986141448262607e-18,3.66788502703486e-15,30vs27
Montipora_capitata_HIv3___RNAseq.g6414.t1,54.8339950548159,1.7532735607861472,0.38700523983168095,4.5303612983346,5.888290193533782e-6,3.4947473702193486e-4,30vs27
Montipora_capitata_HIv3___RNAseq.g15676.t1,81.59053597188229,2.5565708987955507,0.43220803729481005,5.915139650796702,3.3159411766156545e-9,5.129935523444239e-7,30vs27
Montipora_capitata_HIv3___RNAseq.g42280.t1,75178.46814998945,1.5072796445425958,0.0811240879716057,18.579927149013496,4.671389159059094e-77,6.86554064706915e-73,30vs27
Montipora_capitata_HIv3___RNAseq.g786.t1,111.1577649255097,2.842522690964072,0.6164518909059291,4.611102233439077,4.0053948022955165e-6,2.6552288153695365e-4,30vs27
Montipora_capitata_HIv3___TS.g23982.t1,58.474668766960626,3.786520082512399,0.4213490681850959,8.986658256590722,2.548615924060078e-19,1.5331298097566414e-17,33vs27
Montipora_capitata_HIv3___RNAseq.g41150.t1,28.129811725413603,1.9132405126568715,0.5057795098991834,3.782756072973846,1.5510139461971268e-4,0.0010676064449848992,33vs27
Montipora_capitata_HIv3___RNAseq.g24414.t1,407.32712665101354,1.6024296509076736,0.3634620971229565,4.40879437936436,1.0394765713844138e-5,9.383045004275556e-5,33vs27
Montipora_capitata_HIv3___RNAseq.g35625.t1,163.75093339492335,-2.1166458567085393,0.2511512961624517,-8.427771980676674,3.523087133315601e-17,1.7188529030067982e-15,33vs27
Montipora_capitata_HIv3___RNAseq.g8773.t1,128.3197769493249,-1.7393329567154296,0.28891967703040417,-6.020126336124877,1.7428098913762633e-9,3.190764531869799e-8,33vs27
Montipora_capitata_HIv3___RNAseq.g6242.t1,50.655185578643625,-1.9701128793394214,0.4367350576726865,-4.511002367975537,6.452200045401751e-6,6.109100808273484e-5,33vs27
Montipora_capitata_HIv3___RNAseq.g9709.t1,22.152324908124996,-3.467082851863129,0.9119195677412585,-3.80196124144016,1.4355518844583366e-4,9.961294111237062e-4,33vs27
Montipora_capitata_HIv3___RNAseq.g39912.t1,80.13486175908609,2.114140965999049,0.41956156686251583,5.0389290463581045,4.681439827743062e-7,5.680683455282557e-6,33vs27
Montipora_capitata_HIv3___RNAseq.14659_t,1939.6986900074528,1.5788995748051426,0.13845119206116038,11.404015749518926,3.992675323108235e-30,5.4142481980363755e-28,33vs27
Montipora_capitata_HIv3___RNAseq.g24472.t1,6618.663581318443,1.842371946298501,0.09986492496776644,18.448638968017715,5.3474957787768764e-76,5.347941403425108e-73,33vs27
Montipora_capitata_HIv3___RNAseq.g22408.t1,434.5221892765988,1.6510971372804946,0.1634839247948878,10.099446409498759,5.5554907746984694e-24,5.031807153747648e-22,33vs27
Montipora_capitata_HIv3___RNAseq.g19376.t1,1094.373944709985,-1.5623122729012966,0.1889268440098666,-8.269403329575049,1.3463108763578856e-16,6.178614465457356e-15,33vs27
Montipora_capitata_HIv3___RNAseq.g6391.t1,281.91564499519524,1.72620907001318,0.26327623257069394,6.556646048745265,5.503142176390592e-11,1.261570377437698e-9,33vs27
Montipora_capitata_HIv3___TS.g21280.t1,2161.759309880454,1.598322892934407,0.13409749556336403,11.919110690468967,9.41076821207431e-33,1.579561249134319e-30,33vs27
Montipora_capitata_HIv3___RNAseq.g10675.t1b,63.45951274034195,-2.050604657632072,0.3811128342785103,-5.380570983693316,7.424995375286951e-8,1.0620663825842513e-6,33vs27
Montipora_capitata_HIv3___TS.g20725.t1,81.7971561994628,-1.7452352725967004,0.46471331773988245,-3.755509485040354,1.7298920914146488e-4,0.0011762286112785949,33vs27
Montipora_capitata_HIv3___RNAseq.g14980.t1,45.90585831270137,-2.81423813014282,0.5671871068319803,-4.961745597254014,6.986246110744994e-7,8.18369346755009e-6,33vs27
Montipora_capitata_HIv3___TS.g45742.t2,241.53848136678778,-1.8526978446876814,0.2507899059192461,-7.38744981739515,1.4967159069343901e-13,4.841533045584802e-12,33vs27
Montipora_capitata_HIv3___RNAseq.g12615.t1,39.14357853751723,-1.9764099717879737,0.3752221649382858,-5.267306029517316,1.3844031485889444e-7,1.8667665377770698e-6,33vs27
Montipora_capitata_HIv3___RNAseq.g5535.t1a,27.852871964336213,3.3839077354691556,1.0507473385597546,3.2204770940532983,0.0012797741938795155,0.006794324309112173,33vs27
Montipora_capitata_HIv3___TS.g5280.t1b,32.081438358432905,3.1851275149504708,0.851997323193595,3.7384243215829103,1.8517721670987955e-4,0.0012505975113873181,33vs27
Montipora_capitata_HIv3___RNAseq.g43924.t1,130.12546054648922,1.5588641995776047,0.27325495322901944,5.7047975934441535,1.1648141953460837e-8,1.9060353059179973e-7,33vs27
Montipora_capitata_HIv3___RNAseq.g26877.t1,3148.490683398526,1.625072769537918,0.17054575885851678,9.528661283720714,1.5932446896967382e-21,1.1730386209233468e-19,33vs27
Montipora_capitata_HIv3___RNAseq.g12609.t1,20.995933600281777,2.3378446290674977,0.5245110415110013,4.457188589076562,8.304154363471428e-6,7.663064707114233e-5,33vs27
Montipora_capitata_HIv3___RNAseq.g843.t1,65.76594079039103,-2.6081370611765897,0.5750285121462032,-4.535665634112871,5.7422092118224016e-6,5.4975869765521054e-5,33vs27
Montipora_capitata_HIv3___RNAseq.g25298.t1,7.223688209373623,-5.626559418383708,1.7953362365838879,-3.1339864387128715,0.0017244882564716958,0.008741037423850847,33vs27
Montipora_capitata_HIv3___RNAseq.g37032.t1,1651.852315115366,2.094370819712858,0.12606739656045365,16.613104393795705,5.601771041648929e-62,3.279358744918478e-59,33vs27
Montipora_capitata_HIv3___RNAseq.g9540.t1,836.8413341390388,1.5534434729810083,0.13674951472708105,11.359773203446503,6.631657609868272e-30,8.892348935869177e-28,33vs27
Montipora_capitata_HIv3___RNAseq.g44748.t1,59.24999879380403,-1.5729085472642994,0.4584667753833403,-3.430801601597269,6.018005682954355e-4,0.0035612468540993695,33vs27
Montipora_capitata_HIv3___RNAseq.g21061.t1,74.87607443447074,2.5570888784948274,0.40486870977664613,6.31584712956824,2.686855486832599e-10,5.56427138869336e-9,33vs27
Montipora_capitata_HIv3___RNAseq.g41371.t1,74.93036367233576,-2.3079483012405717,0.6270824889064921,-3.680454074335862,2.3281899060088404e-4,0.001534440991319815,33vs27
Montipora_capitata_HIv3___TS.g46501.t2a,70.78384024811831,2.2832434754563806,0.4889640310593729,4.66955303544431,3.0185576597903788e-6,3.0817278158353325e-5,33vs27
Montipora_capitata_HIv3___RNAseq.g40998.t1,25.84817667647856,4.727099192602516,1.184351599231569,3.991297175323234,6.571287481522786e-5,4.948981554173514e-4,33vs27
Montipora_capitata_HIv3___RNAseq.g6452.t1,107.29122138352493,4.806648484068449,0.5746561644487388,8.364390363199902,6.04265466707768e-17,2.8550353802991826e-15,33vs27
Montipora_capitata_HIv3___RNAseq.g47565.t1,53.83750189476142,-1.9877530686192009,0.4126465699403713,-4.817083706539563,1.4567158886848795e-6,1.5987240402475756e-5,33vs27
Montipora_capitata_HIv3___RNAseq.g12767.t1,33.362843252275816,3.858987837894464,0.8661133989707611,4.455522616877029,8.368907206851793e-6,7.719850529548682e-5,33vs27
Montipora_capitata_HIv3___RNAseq.g33690.t1,136.33787531662043,-2.0242702010292755,0.2519724077234538,-8.033697893028684,9.457791063735817e-16,3.920654596058499e-14,33vs27
