Cold (0degC)	Cool (5degC)	Warm (16degC)	Cold_Downregulated	Cold_Upregulated	Cool_Downregulated	Cool_Upregulated	Warm_Downregulated	Warm_Upregulated
Q5BJC4	Q0V989	Q5R5W0	B5X186	Q8HXS3	Q9BQQ7	O77737	O57521	Q07079
B0F9W3	Q922D8	P12785	P06350	Q5XG71	A2V9Y8	Q9GKY7	Q5DU56	Q7Z7G0
Q8N5M1	A0A1W2PQ73	A0A0R4I9Y1	P27105	O57594	Q1LYL8	Q6NTY6	O54916	Q6DHU8
Q0P4F7	P52292	Q6BZH1	Q9M2U3	Q5R8I8	Q5RBK1	P70047	P05371	Q2Q0I9
Q5ZKH4	Q28824	Q5BL50	Q6P0V6	Q9QYE2	Q32LQ4	Q5R4Q3	Q9Y6A2	Q92519
P83917	C3KJE6	Q9BYV1	P57059	O35817	Q99KK7	Q60843	O57521	Q91918
O00482	Q68DE3	P30122	Q567E6	O35817	Q9DED4	Q9BX26	A4IFA3	Q9Y6C2
Q9YIB4	Q1LZ95	O35207	Q8IZ52	Q9D4V0	A0A2P1BRQ0	Q5DRB8	Q9BRI3	Q9NU02
Q90688	P26584	Q5RGJ8	Q9CZV8	Q0VC71	Q62865	Q9YHV4	Q80XP9	Q3TTY0
Q92072	Q15034	P17716	Q8BGC9	P17716	Q8HZK2	P21329	Q6DGN0	Q15375
P12785	P23780	P04323	Q9PTH3	P35520	E1C1U1	Q9UPW8	Q8BG60	P43233
A0A0R4I9Y1	O43815	Q6PEH9	P35295	Q91060	P30416	P24399	Q5R6R2	Q08CH8
Q96HP0	Q9H0J9	Q1LUV9	O70127	Q8NB91	B5DGI7	Q9D3A8	P23347	P26769
Q6BZH1	E9QAG8	P46735	Q8K1S5	Q8WWX0	P62972	D3YUG0	Q60780	O88576
Q5S1U6	Q8K009	P23735	Q63081	P55039	P36551	O14617	Q4R6V2	Q8NFY4
Q8HXS3	Q7ZWD4	Q9R0T3	P54149	P35072	F1Q8K0	Q5ZM35	P0CT39	A0A1W2PQ73
P70389	Q99999	O00370	Q1M199	O75400	Q5RF83	Q9Z0P5	Q8JFR5	P52292
Q61120	Q92162	Q90328	Q66KG0	Q13427	Q6PAV2	A5D6R3	Q8WYQ3	Q803H4
Q9BYV1	Q9DBX3	Q91V92	Q3TTY0	Q5F495	Q7ZVQ8	Q5SZI1	B8JKF4	P79955
Q5XG71	Q01635	P16330	Q9UBI9	Q9JHP7	P11966	A0A2R8QPS5	Q15034	O93484
O57594	Q8BLY1	P02460	Q5BKK4	Q96RE7	Q8R151	Q9BX93	Q14558	Q04202
Q5R8I8	Q80Y19	Q7SIB3	P0CT40	Q91V92	Q8R151	P09479	P52429	Q811A3
Q9QYE2	A0JPI9	Q7SIB2	Q5RGU1	Q0VGY8	Q8R151	Q8IZU9	Q6DHQ3	C3KJE6
Q8IVV2	Q9Y394	Q07079	Q3T0A0	Q6PHG2	Q58DT4	A2ASS6	Q1XHU0	E7FH61
O02668	Q9BQQ7	O70127	P53450	Q91Y78	A3KMV5	P21329	Q803M0	Q4R4J0
O35817	A2V9Y8	Q7Z7G0	P30568	O08810	P27093	Q8CI12	Q9Y606	P35580
O35817	O77737	O57521	Q8VDF3	Q9UNX4	Q92110		Q9DBX3	Q9N0W7
Q96BF6	Q1LYL8	Q5DU56	Q16842	Q8K4T4	P20821		P26325	Q9W7R4
P58875	Q5RBK1	Q6DHU8	P54227	Q9NVS2	P0CT39		Q0VCM4	P57102
Q61827	Q32LQ4	Q2Q0I9	A0A1W2PQ73	Q6GQJ7	O57656		Q3V3Q7	P19367
Q7ZW02	Q9GKY7	Q92519	Q8BG60	P60901	P63074		Q5RDP8	Q6DIC0
B5X186	Q99KK7	Q91918	O93484	Q00688	Q92038		P27120	Q3T0P5
Q9D4V0	Q6NTY6	Q9Y6C2	Q6INX4	Q9QUR6	Q02290		Q13310	O70209
Q0VC71	P70047	Q9NU02	Q7LHG5	Q498Z6	Q02290		Q27J81	P43367
P06350	Q5R4Q3	Q3TTY0	P0C862	P14380			Q7ZU42	P68563
P17716	Q60843	O54916	Q9CW07	Q9P2I0			Q7RTR2	Q02357
P27105	Q9BX26	P05371	Q3T0Q0	Q96S38			B5DGK1	Q1RMA6
Q9M2U3	Q9DED4	Q9Y6A2	P23347	Q5TYS0			Q7RTR2	Q8NFH4
P35520	A0A2P1BRQ0	O57521	Q501J6	Q91437			Q02878	Q6TXF1
Q91060	Q62865	Q15375	P10394	A4FV61			Q63ZR6	Q9UJU6
Q8NB91	Q8HZK2	P43233	P13388	P04323			O75385	P18298
Q8WWX0	E1C1U1	Q08CH8	Q29RV1	P51916			P15941	Q92162
P55039	Q5DRB8	A4IFA3	Q6P5D8	O43150			Q3MHL7	P16636
Q6P0V6	P30416	Q9BRI3	O54967	Q9QXK7			Q91309	Q9JI03
P57059	Q9YHV4	P26769	Q9Y6D6	O57521			Q13009	P0CT40
P35072	B5DGI7	Q80XP9	P49947	Q64595			Q9Z0E8	Q7TQN8
O75400	P21329	O88576	O95243	Q922D8			Q6EE31	Q01635
Q13427	P62972	Q6DGN0	Q91ZJ5	Q9C098			Q9W6Y1	Q96SM3
Q567E6	Q9UPW8	Q8NFY4	P14381	Q922M5			Q2KHS5	Q7M3E1
Q5F495	P24399	A0A1W2PQ73	Q4QY71	Q12874			Q60610	Q3T0A3
Q9JHP7	P36551	P52292	Q05793	P35033			Q566R7	A0A0C4DH26
Q96RE7	Q9D3A8	Q803H4	Q9QYB5	Q6DH02			Q61789	P01660
Q91V92	F1Q8K0	P79955	Q4V8E6	Q28E61			Q8HZM5	Q28178
Q8IZ52	D3YUG0	Q8BG60	O73688	Q5ZJU3			Q9NPI5	A4IGL7
Q0VGY8	O14617	O93484	Q9Y3C5	Q6PFR5			Q4R7G8	Q9PTG8
Q9CZV8	Q5RF83	Q04202	Q6P0T2	Q8NB78			P51162	Q5DU00
Q6PHG2	Q6PAV2	Q5R6R2	Q5R5P4	Q96DI7			Q50LG9	P49263
