Cold (0degC)	Cool (5degC)	Warm (16degC)	Cold_Downregulated	Cold_Upregulated	Cool_Downregulated	Cool_Upregulated	Warm_Downregulated	Warm_Upregulated
Q7Z6M4								
O73737								
Q9BX26								
Q6NXE6								
Q66L44								
Q9NXJ5								
P02680								
Q9H582								
Q9PVW7								
Q2L6L1								
Q5R5W2								
Q6DHC1								
O43825								
A0A2P1BRQ0								
Q6R2W3								
Q25060								
A1L504								
Q4V8T0								
O88484								
Q68Y62								
Q9Y2D0								
P16301								
Q8NCC3								
Q9NUJ3								
Q9PT92								
Q8BYL4								
G3H0N9								
Q91684								
Q95107								
Q920A7								
Q0IIC2								
Q49AM1								
Q4R761								
Q9CQV6								
Q1LUT1								
Q80X66								
F1RA39								
Q06985								
Q9GZX3								
Q8I034								
Q8HZK2								
Q7LHG5								
Q5PRA2								
Q7Z628								
Q95SX7								
Q9D8N3								
Q96AD5								
E1C1U1								
E7EXZ6								
Q96SY0								
P0C548								
Q8WW22								
Q8K4Q6								
O43293								
Q3SZR9								
P70550								
Q8C3X4								
Q9R013								
Q6PBN5								
Q8K1P8								
P55931								
Q13151								
Q9UMS4								
Q13231								
P50637								
F1RET2								
Q91WR8								
Q0MW30								
Q9Y255								
Q5JV73								
A6LHV2								
A5PJX7								
P58006								
Q17RB8								
P30416								
A5HAK0								
Q9BVK6								
Q9Z255								
O96006								
Q9NBX4								
P62489								
Q9EPZ8								
A4Z943								
Q32LE3								
Q98TT6								
Q5RCK9								
Q6GMK0								
Q503P5								
P25114								
Q8T2K9								
Q9HCN8								
Q9Z1Q9								
Q9Z2K0								
Q9R101								
Q9YHV4								
P04323								
Q03734								
B5DGI7								
Q14117								
B3DIY3								
P35031								
Q8VBX1								
Q8BX13								
Q96IP4								
Q6NXY1								
Q8C428								
Q9D0R2								
Q92104								
Q7SXM7								
P82980								
A2VDB3								
P50234								
Q63570								
Q8TE57								
Q64591								
O43147								
A1YF22								
Q9H3M7								
A3QK15								
Q7ZYC4								
Q96JM2								
Q5E9T8								
Q66JT7								
Q9UPW8								
Q6GQS1								
A2BHJ4								
Q2YDS5								
P35033								
Q8UVC3								
Q9Z2F7								
Q8BXL9								
Q969F9								
Q9D668								
P36551								
P97872								
Q9ER38								
Q923G2								
P15253								
Q568L5								
Q0V947								
Q9I8J6								
Q59HJ6								
F1Q8K0								
O95789								
Q08602								
P02767								
P97501								
Q5RG49								
P38024								
Q92093								
Q01459								
P81021								
Q6DC66								
Q8IY81								
Q5EB30								
Q25330								
Q4FZF3								
Q86WA6								
Q6P3H4								
Q1RLQ5								
O35509								
Q9BY76								
Q05519								
A9UMG5								
Q5RF83								
B0S5A7								
O42449								
Q5T619								
Q7ZVQ8								
Q6NYT1								
Q5BLZ2								
Q9DCQ3								
Q9UNS1								
Q3UHD9								
Q6WCQ1								
Q60HD0								
Q12931								
Q6IQE1								
P18520								
P45433								
Q5T2N8								
Q9GLP1								
Q9NQZ2								
Q6DIH3								
Q8VHQ3								
Q9UKG1								
Q6R2W3								
Q5E9U9								
Q5ZM35								
Q9Z0P5								
P11966								
A4D0S4								
P21328								
Q6PF21								
Q60457								
P53996								
Q8JGS0								
Q96PS8								
Q6AXS8								
O43432								
Q5SSJ5								
Q96SZ6								
P02612								
P17136								
Q504E7								
Q58DT4								
P41134								
Q9JJB9								
Q5R5J1								
Q5I0M0								
P84104								
Q8N302								
Q9JK81								
P12864								
Q99PW8								
Q6DBU5								
Q80TM6								
P27093								
Q8CG76								
Q5SZI1								
Q15742								
Q5E9M1								
Q5E9N0								
Q90459								
Q6DBX1								
P11369								
Q8I7P9								
Q99J09								
Q15008								
Q96P50								
Q5ZJN4								
Q7T3D1								
Q6IQ23								
Q5M872								
O13082								
P13608								
P50053								
Q8ND30								
P60522								
Q9R087								
Q5R5D8								
Q0VD22								
Q5U403								
Q5BJI7								
Q9IB83								
P20821								
Q96LU5								
P25093								
P80405								
Q8IXL6								
Q6VEU1								
O14975								
Q28C74								
O73930								
B5DG51								
Q6L711								
P19468								
P04146								
Q5D013								
P59723								
Q17QZ7								
P20849								
Q91YN9								
Q13395								
Q6P950								
Q28BP2								
Q9JJG0								
Q28298								
Q9BX93								
Q5ZIJ2								
P63074								
P20825								
Q8AV13								
Q9ER58								
Q92038								
Q7T346								
A8C754								
Q9H1A4								
Q6DC39								
O95789								
Q5M969								
Q8IZU9								
Q2KHU0								
O57524								
Q6IE52								
Q8BMN4								
P21927								
Q804T6								
Q08BB1								
Q99NF1								
Q9H840								
Q60452								
Q9Y257								
Q9JJL8								
P12938								
O35293								
Q8CEQ0								
P83917								
Q86YT5								
P49718								
P02301								
A3QJU3								
P46065								
P70665								
O18767								
Q6P5U7								
Q26422								
P59822								
Q58L93								
Q6NWK2								
P61150								
Q92090								
B2RZD7								
O42146								
O55029								
Q65Z54								
P02457								
A8MUU9								
P14381								
P15305								
Q4KLI2								
Q68FA2								
Q02290								
Q5H8C1								
Q28C60								
P04323								
Q6ZNB6								
Q6JV22								
O70303								
Q08CK1								
P30681								
O75121								
F1MNN4								
P51792								
