Sample	Top over-represented sequence	Sum of remaining over-represented sequences
ABLG1928_trimmed_clipped_R1_paired	1.5899621780632767	1.8251185687698868
ABLG1928_trimmed_clipped_R2_paired	1.2634928258389866	2.2611664765564026
ABLG1929_trimmed_clipped_R1_paired	1.5640667024651382	1.8005888271816566
ABLG1929_trimmed_clipped_R2_paired	1.403423260619032	2.127897518223543
ABLG1937_trimmed_clipped_R1_paired	1.8496263348248017	2.191189943031759
ABLG1937_trimmed_clipped_R2_paired	1.6938381044453537	2.1998769508730907
ABLG1938_trimmed_clipped_R1_paired	1.8946587670689377	2.173024203441601
ABLG1938_trimmed_clipped_R2_paired	1.7436307959364528	2.282631639885824
ABLG1944_trimmed_clipped_R1_paired	1.6723024963806676	2.1609874844164043
ABLG1944_trimmed_clipped_R2_paired	1.4727495629338923	2.500836824853336
ABLG1945_trimmed_clipped_R1_paired	1.5294607809720044	2.0213483912034933
ABLG1945_trimmed_clipped_R2_paired	1.2796722808658587	2.217027809645595
ABLG1956_trimmed_clipped_R1_paired	1.3462812117776026	1.884582196735365
ABLG1956_trimmed_clipped_R2_paired	1.198913641751143	2.1161232572804094
ABLG1981_trimmed_clipped_R1_paired	1.8524699258613764	1.8340544091716764
ABLG1981_trimmed_clipped_R2_paired	1.695223198785461	1.8572184740650979
ABLG1988_trimmed_clipped_R1_paired	1.6557910587120184	1.6092809525069576
ABLG1988_trimmed_clipped_R2_paired	1.4364710420947426	1.9137704507626874
ABLG1997_trimmed_clipped_R1_paired	2.007642623103814	1.949880700479842
ABLG1997_trimmed_clipped_R2_paired	1.8817337467975421	2.105779369886829
ABLG2005_trimmed_clipped_R1_paired	1.7356955260825506	1.579734273548743
ABLG2005_trimmed_clipped_R2_paired	1.498797095791358	1.8732700127174706
ABLG2013_trimmed_clipped_R1_paired	1.6963976451465448	1.688510399536363
ABLG2013_trimmed_clipped_R2_paired	1.526901844397318	1.8356118367746213
ABLG2018_trimmed_clipped_R1_paired	2.172627825668939	1.8860535611591338
ABLG2018_trimmed_clipped_R2_paired	1.9204635167336288	2.14893707269099
ABLG2023_trimmed_clipped_R1_paired	1.6652057910196596	1.447459371951999
ABLG2023_trimmed_clipped_R2_paired	1.4103103111565467	1.7719861441219984
ABLG2032_trimmed_clipped_R1_paired	2.3924070042104515	2.480957715281171
ABLG2032_trimmed_clipped_R2_paired	2.1074949793642954	2.20925887190485
ABLG2077_trimmed_clipped_R1_paired	2.084221221593992	2.0100308148285673
ABLG2077_trimmed_clipped_R2_paired	1.8719666754795792	2.1149760442776904
ABLG2082_trimmed_clipped_R1_paired	1.9740670648806864	1.9794421303302112
ABLG2082_trimmed_clipped_R2_paired	1.7442627591291369	2.2508289147729346
ABLG2091_trimmed_clipped_R1_paired	1.9528471413735211	1.9661787122126944
ABLG2091_trimmed_clipped_R2_paired	1.7596906028181487	2.2164131546352057
ABLG2093_trimmed_clipped_R1_paired	1.630523965285347	1.497489657907801
ABLG2093_trimmed_clipped_R2_paired	1.4531687018896344	1.9320121964069876
ABLG2099_trimmed_clipped_R1_paired	1.7224031801536972	1.762703422360314
ABLG2099_trimmed_clipped_R2_paired	1.5703453963050729	2.0636519636509107
ABLG2100_trimmed_clipped_R1_paired	1.9840391105589241	2.170704457287923
ABLG2100_trimmed_clipped_R2_paired	1.7843332790405404	2.3935588517206225
ABLG2103_trimmed_clipped_R1_paired	1.5594949407692564	1.559869072574689
ABLG2103_trimmed_clipped_R2_paired	1.4233911346929953	1.978201878448986
ABLG2105_trimmed_clipped_R1_paired	2.04248953560303	1.9557024821357616
ABLG2105_trimmed_clipped_R2_paired	1.915774580146884	2.3374689788620753
ABLG2109_trimmed_clipped_R1_paired	1.8182189027728728	1.973184347076375
ABLG2109_trimmed_clipped_R2_paired	1.728688662320164	2.192000544140772
ABLG2118_trimmed_clipped_R1_paired	1.988434540917166	2.179001653807881
ABLG2118_trimmed_clipped_R2_paired	1.8213451327743793	2.236452176601797
ABLG2120_trimmed_clipped_R1_paired	1.9889016590229216	1.9765663755219418
ABLG2120_trimmed_clipped_R2_paired	1.8003254592790858	2.294425956623048
ABLG2123_trimmed_clipped_R1_paired	1.7569175300884892	1.8186575738543058
ABLG2123_trimmed_clipped_R2_paired	1.5246301935225124	2.2815611737129577
ABLG2140_trimmed_clipped_R1_paired	2.307031419489202	2.885729375973037
ABLG2140_trimmed_clipped_R2_paired	2.048581339282846	3.109181284422281
ABLG2147_trimmed_clipped_R1_paired	3.362027080706432	6.690736540201621
ABLG2147_trimmed_clipped_R2_paired	3.013287745466021	6.8340808084232965
ABLG2155_trimmed_clipped_R1_paired	2.952050764552858	6.039825719154987
ABLG2155_trimmed_clipped_R2_paired	2.713913044701053	5.973675892983364
ABLG2156_trimmed_clipped_R1_paired	2.2553702211351325	4.218388357965273
ABLG2156_trimmed_clipped_R2_paired	2.004274103975297	4.77781480301482
ABLG2157_trimmed_clipped_R1_paired	2.3101364036723817	4.465072034508726
ABLG2157_trimmed_clipped_R2_paired	2.108862800731	4.318800325154408
ABLG2162_trimmed_clipped_R1_paired	1.5525092251578092	1.6218739855752766
ABLG2162_trimmed_clipped_R2_paired	1.4017557177704496	1.9616927844151875
ABLG2163_trimmed_clipped_R1_paired	1.6722749597896647	1.8336904540590446
ABLG2163_trimmed_clipped_R2_paired	1.55198975152975	2.0667359768821347
ABLG2171_trimmed_clipped_R1_paired	1.5635901040579052	1.5926790631537695
ABLG2171_trimmed_clipped_R2_paired	1.4626546949439454	1.8931150790137632
ABLG2172_trimmed_clipped_R1_paired	1.5670536665544534	1.7251647653065811
ABLG2172_trimmed_clipped_R2_paired	1.3917791313729695	1.8416686494241659
ABLG2179_trimmed_clipped_R1_paired	1.7557584677266405	1.6737853692316202
ABLG2179_trimmed_clipped_R2_paired	1.5180006076497288	2.0427381716031743
ABLG2181_trimmed_clipped_R1_paired	1.4974247563504441	1.5804648840997548
ABLG2181_trimmed_clipped_R2_paired	1.3110980455744083	1.7832260479929973
ABLG2182_trimmed_clipped_R1_paired	1.7114469828380132	1.3312112487719912
ABLG2182_trimmed_clipped_R2_paired	1.4191090703667815	1.4333473421361003
ABLG2185_trimmed_clipped_R1_paired	1.8697478477667844	2.08277573894393
ABLG2185_trimmed_clipped_R2_paired	1.6584972692041	2.1363697021918013
ABLG2186_trimmed_clipped_R1_paired	1.4798878548343133	1.2954518905027061
ABLG2186_trimmed_clipped_R2_paired	1.1180444686733384	1.6371247225575327
ABLG2201_trimmed_clipped_R1_paired	1.283410270822914	1.0522492597625044
ABLG2201_trimmed_clipped_R2_paired	0.9867841604666704	1.3073435100313797
ABLG2239_trimmed_clipped_R1_paired	1.4520547041517524	1.581421376954931
ABLG2239_trimmed_clipped_R2_paired	1.2621251943257399	1.8975788677496472
ABLG2244_trimmed_clipped_R1_paired	2.175374388328971	2.0351721847863407
ABLG2244_trimmed_clipped_R2_paired	1.9615528391559216	2.0500699227747328
ABLG2279_trimmed_clipped_R1_paired	1.592456020895194	1.1553882866343619
ABLG2279_trimmed_clipped_R2_paired	1.3322864777197079	1.7431552437786408
ABLG2282_trimmed_clipped_R1_paired	1.5095546009235654	1.5969013326076815
ABLG2282_trimmed_clipped_R2_paired	1.2875758490442204	1.9160024475837039
ABLG2293_trimmed_clipped_R1_paired	1.7671658191358033	2.188589738576196
ABLG2293_trimmed_clipped_R2_paired	1.5066303418462994	2.505538762648391
ABLG2308_trimmed_clipped_R1_paired	2.1276751168175942	2.58776763078346
ABLG2308_trimmed_clipped_R2_paired	1.878164995343388	2.6724727598531777
ABLG2317_trimmed_clipped_R1_paired	1.697510738345683	2.022231426604673
ABLG2317_trimmed_clipped_R2_paired	1.4518147218807624	2.2964451768665506
ABLG2334_trimmed_clipped_R1_paired	2.6706703078329697	2.9062108774121698
ABLG2334_trimmed_clipped_R2_paired	2.4510688724370495	2.9686736716768745
ABLG2335_trimmed_clipped_R1_paired	2.4065213811340103	2.6110980202823413
ABLG2335_trimmed_clipped_R2_paired	2.1634212416156693	3.0982148215841594
ABLG2336_trimmed_clipped_R1_paired	1.813506514159104	2.119322990653807
ABLG2336_trimmed_clipped_R2_paired	1.6871402590721687	2.424979374764531
ABLG2340_trimmed_clipped_R1_paired	1.8796899191229701	2.0412025954824276
ABLG2340_trimmed_clipped_R2_paired	1.725926331991737	2.3299605055880295
ABLG2351_trimmed_clipped_R1_paired	2.2640439688045753	2.4502819806426333
ABLG2351_trimmed_clipped_R2_paired	2.021070069018388	2.8362499952446796
ABLG2504_trimmed_clipped_R1_paired	2.523003421021588	2.704246438459777
ABLG2504_trimmed_clipped_R2_paired	2.2651907583842785	2.763359679131768
ABLG2505_trimmed_clipped_R1_paired	1.4988684864188495	1.9615587747026915
ABLG2505_trimmed_clipped_R2_paired	1.1936160146786252	2.076538805058651
ABLG2507_trimmed_clipped_R1_paired	1.4487253333234476	1.8660274295497645
ABLG2507_trimmed_clipped_R2_paired	1.3110276898229478	1.8925722049556324
ABLG2510_trimmed_clipped_R1_paired	1.0961820723903675	1.5759989890360353
ABLG2510_trimmed_clipped_R2_paired	1.0612094791492466	1.9879895059518995
ABLG2514_trimmed_clipped_R1_paired	1.4251274244168821	1.4862226585035143
ABLG2514_trimmed_clipped_R2_paired	1.171091862101503	1.464630539341649
ABLG2517_trimmed_clipped_R1_paired	1.5778152326443466	1.8908745424441298
ABLG2517_trimmed_clipped_R2_paired	1.4232798063546384	1.994165209851927
ABLG2518_trimmed_clipped_R1_paired	1.5445374989386387	1.9125177379156029
ABLG2518_trimmed_clipped_R2_paired	1.3811294661116325	2.0070829571165603
ABLG2563_trimmed_clipped_R1_paired	1.609395032258238	2.048741661945667
ABLG2563_trimmed_clipped_R2_paired	1.3799424196077328	2.088056986558207
ABLG2576_trimmed_clipped_R1_paired	1.1882172566914901	1.3510196454533792
ABLG2576_trimmed_clipped_R2_paired	1.0963623895518833	1.7957962924259054
ABLG2608_trimmed_clipped_R1_paired	1.4973455139501906	1.7482262360595198
ABLG2608_trimmed_clipped_R2_paired	1.3408875559167333	1.8335409369552418
ABLG2609_trimmed_clipped_R1_paired	1.766291295532031	2.02912331587424
ABLG2609_trimmed_clipped_R2_paired	1.6014070478726679	2.1311207599053814
