Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ABLG1928_trimmed_clipped_R1_paired	ABLG1928_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6662800.0	0.0	1-150	46.0	72.383687253638	123.00097001260731	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG1928_trimmed_clipped_R2_paired	ABLG1928_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6662800.0	0.0	1-150	46.0	73.41286495201484	110.254476796542	pass	pass	pass	pass	warn	warn	pass	warn	pass	fail	pass
ABLG1929_trimmed_clipped_R1_paired	ABLG1929_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10229487.0	0.0	1-150	45.0	77.35957019358133	121.26327488367696	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG1929_trimmed_clipped_R2_paired	ABLG1929_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10229487.0	0.0	1-150	45.0	77.4316522405163	110.58305719534127	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG1937_trimmed_clipped_R1_paired	ABLG1937_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10901337.0	0.0	1-150	45.0	72.79818774161433	116.16610513004048	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG1937_trimmed_clipped_R2_paired	ABLG1937_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10901337.0	0.0	1-150	45.0	73.14681698770839	110.10964223929597	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG1938_trimmed_clipped_R1_paired	ABLG1938_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12549331.0	0.0	1-150	45.0	73.85730480615531	118.714428522126	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG1938_trimmed_clipped_R2_paired	ABLG1938_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12549331.0	0.0	1-150	45.0	73.9582321126405	111.35795453956868	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG1944_trimmed_clipped_R1_paired	ABLG1944_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4824785.0	0.0	1-150	48.0	77.25749174329013	121.792931498502	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG1944_trimmed_clipped_R2_paired	ABLG1944_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4824785.0	0.0	1-150	47.0	76.77653372435684	109.35757013006797	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG1945_trimmed_clipped_R1_paired	ABLG1945_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17998827.0	0.0	1-150	46.0	68.73193494702895	125.79541016756258	pass	pass	pass	pass	warn	fail	pass	warn	warn	fail	pass
ABLG1945_trimmed_clipped_R2_paired	ABLG1945_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17998827.0	0.0	1-150	46.0	69.92417873286256	111.59797880161857	pass	pass	pass	pass	warn	warn	pass	warn	warn	fail	pass
ABLG1956_trimmed_clipped_R1_paired	ABLG1956_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5862891.0	0.0	1-150	47.0	79.53769320462581	122.62644623616575	pass	pass	pass	pass	warn	warn	pass	warn	pass	fail	pass
ABLG1956_trimmed_clipped_R2_paired	ABLG1956_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5862891.0	0.0	1-150	47.0	79.27340997469649	111.45360607932162	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG1981_trimmed_clipped_R1_paired	ABLG1981_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11750960.0	0.0	1-150	46.0	75.64744369345794	115.60193592693703	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG1981_trimmed_clipped_R2_paired	ABLG1981_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11750960.0	0.0	1-150	46.0	75.74145172639729	109.74918159878001	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG1988_trimmed_clipped_R1_paired	ABLG1988_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15985773.0	0.0	1-150	45.0	75.66306020224498	125.56461016930491	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
