darkturquoise	red	darkgreen	darkgrey	orange	floralwhite	brown	darkolivegreen	bisque4	darkred	darkorange2	darkmagenta	greenyellow	midnightblue	skyblue3	paleturquoise	thistle2	salmon	lightcyan	sienna3
Q6NYJ3	P35072	Q13542	Q6P5G6	P22695		Q56830	Q5RBT2	Q5R8M1	Q3SX44		Q6P1R4	Q80U23	P17120				P08042	Q1KKX7	
Q8NCY6	Q5R6K7	Q9UKG1	A4Z943	Q7LHG5		Q6PHG8	Q6NZI6	Q08BN9	P35606		P79334	Q8BJ51	Q9H8V3				P47749	P0CT40	
O70436	Q5PQL2	O35400	Q6AYC4	P10394		Q5EA53	Q803E1	A0JPF5	O95801		Q2V8Y7	Q9D6X6	Q28ER3				Q8IYJ1	Q8K4L3	
Q5F368	P13913	Q14258	O00189	Q6TNT2		O60285	Q9DBT4	Q90328	P22124		Q6PFM1	Q6AY09	Q9Z0R0				Q01635	Q17QD9	
Q6PAQ9	Q6P1N0	Q03422	Q9D0C1	Q93063		E1BLZ4	Q90512	Q63ZR6	Q96EN9		Q63570	P51916	P0DN12				P07942	O75382	
B5DFC9	E7F6F9	Q6P9Z4	Q8C828	Q9DBB5		P79959	Q8R3S6	P0C870	A3KNK7		Q9D4F8	Q6VEU1	P53350				Q60793	P53788	
Q86UP8	Q6DBY5	Q92005	Q9UPW8	Q03181		P23492	Q99590	B0DOB5	B0K020		Q6NZ07	Q8C3X4	Q9YHB5				Q5YB40	Q3UH66	
Q08CM4	Q8VD33	P49946	B5X186	Q9BH05		P0CT40	P60905	Q9UDY8	Q2KID9		Q6GQT9	Q92038	Q5ZMJ7				A1A5X5	P04323	
Q8BTM8	Q5I0K7	Q8K3M6	O35293	Q9C086		Q9P2D0	Q66KH9	O93274	P70010		Q8BHE4	Q58DM7	Q13257				Q8K394	Q96AY4	
Q13946	Q66JN8	P70296	P60522	Q2HJ22		Q71LX4	A4UGR9	P0CT40	P01008		P97760	Q6PRD1	Q14008				Q9WVJ9	Q8K4L3	
P42669	Q7TM99	Q9UHJ6	Q2KHS5	Q9BVM4		Q8VDM4	Q7ZV20	Q2M3D2	Q92503		Q90977	Q7ZYC4	Q0IHP2				P12111	Q6PL18	
Q66HY8	O57593	Q1XHU0	Q0IHV1	Q64591		Q5SU73	P82925	A6BM72	Q9JJ61		O43300	O70536	P79732				Q9H5Y7	P04323	
Q95M30	Q9D8Y1	O43150	O57524	P70280		P0CT40	P34059	Q5R5U3	Q6PJG2		O43432	P27092	P20456				P19879	Q6V4S5	
Q811F1	A9JRA0	Q09575	Q9CXS4	P20774		Q7TSL3	O42467	Q9Z136	Q12955		Q1LX49	A3KNA5	Q8AXC6				O97555	P54313	
Q8CGU6	Q9WVB4	P46635	A9UMG5	O55026		Q8TEL6	Q5ZJI9	Q00IB7	P02679		Q5PQN9	Q5XH16	B2RZ50				P26769	Q9ULJ8	
P21328	O73817	Q9IB61	P13497	P70274		Q69ZW3	Q32LB9	P46527	Q91YE3		Q6PBV6	Q7SXM7	Q5R3K3				Q7Z7G0	Q6DIS8	
Q6GL52	Q15438	P49947	P25114	A8MVW5		E1C2V1	Q9ULT0	B1AQJ2	Q9H270		Q96JM2	Q9Z1X9	Q8K4R9				Q5M8H5	Q8BHJ7	
Q5JYT7	Q6ZM63	Q3S8M4	P20825	Q8MIB3		Q0VCQ1	A2AJN7	Q62556	Q06056		E7F6T8	O75417	P47827				Q9NZN4	Q9P227	
Q8VC31	O75369	Q7LHG5	P21927	Q3T126		Q86TH1	Q9CYH6	P17544	Q3UCQ1		Q24UI6	Q92485	P56616				Q03350	Q9JIL5	
Q6DRH5	Q6UFZ9	Q4GZT4	Q5GIT4	B5X7X4		Q6PD24	Q8BG32	Q6TEQ0	Q9YHT2		Q8K009	Q61010	Q6DHG8				A2RUV9	Q6GQU6	
G3V6S8	Q6NY34	Q13158	P49443	P08116		Q502P7	Q0QEL7	Q9GLY5	P25490		Q8BFY9	Q99680	Q640B3				Q66H84	Q9Z0X4	
O88407	Q8TCX5	Q9NQL2	O95466	Q8BFQ9		Q9Y1C1	Q2HJI0	P0CT40	Q5TZA3		Q8BU03	P85108	Q62179				P35748	Q9UQR0	
P20338	Q9WV85	P62865	P35295	Q5HZA4		O57415	Q8BH74	Q9BT49	P61214		P26639	Q86YT5	Q68CZ6				Q9I9K7	Q9CYZ8	
O94776	C0H859	Q6UX65	Q8WVM7	Q99JT2		P31483	P52788	Q7SXB3	O19175		Q6DRL5	Q7SXW4	P41239				P08103	O43390	
E9PZM4	Q568P1	Q6PE18	Q1W6H9	O08992		Q9UMZ3	Q28I38	Q91309	Q7ZW77		Q92093	G1TGF1	Q99K43				Q96G23	P98160	
Q6DH86	Q5R5S7	P30205	Q63170	Q2TBG7		O88738	Q8BG81	Q9JKF8	P15170		Q7SXS8	Q7ZW38	Q4VAA7				O13267	Q17QW3	
Q2KIY6	O08760	Q7ZW47	P0C548	Q63504		Q9EQ20	A2RRT3	O18750	Q1LYE3		Q9Y5X1	Q2KJ44	Q8K4Y7				P21329	Q5ZM55	
B0UXH6	F1R4U0	Q24JV9	P54864	Q8IWE2		Q01844	A6H757	P02750	Q2JII9		Q16566	F1NQJ3	Q14674				Q86V25	P19336	
Q9Y6Q9	Q9DB50	O35405	Q8IZ52	Q0V9J0		Q7Z4V5	Q8R2E9	Q3UCQ1	P37285		Q96IP4	P60901	Q6GPE9				Q99542	Q9I919	
Q2MJT0	P25095	Q7TSH6	Q7SXB5	Q9D8T4		P52850	Q76I76	Q8CIN9	Q5R4X5		Q9ESX4	Q8BYL4	P52292				P15988	Q9NR19	
Q14964	P51410	Q9WV54	Q9Z0P5	Q8R2N1		E7F240	Q3T0E1	A4IFA3	Q1L994		Q9H773	Q5R4F3	P52181				P46940	O15072	
P14400	Q7ZWG6	Q66L44	Q8CEQ0	P48818		Q8TB24	Q68EV6	Q0P4F7	Q8I7P9		Q2YDF6	Q2KII7	P07607				Q8WXS8	Q3U3I9	
P51817	Q6IR55	Q1L8L9	Q7ZUS4	Q9Y5N5		Q2KHP9	Q8WTW3	Q8K4Q7	Q92733		Q0II29	Q8WWX0	P49454				Q3T0A3	Q9UIW2	
Q6DFF9	Q16YG0	Q24JV9	P12938	P50151		P16879	Q8NI35	Q86XL3	P98064		P51948	Q6NYF0	O43347				Q29393	Q5ZKM0	
Q8BGF9	Q2HJ98	Q9WU19	P16239	Q9UDV7		Q2TLY1	Q01831	P15589	Q8TDY2		Q5ZJN4	Q922M5	Q6BBL6				Q62371	O93512	
Q6UFS5	Q6GPW2	Q862Z2	P49767	Q61239		P35072	Q32PZ3	Q9DBL7	P55202		Q99020	Q6JHU7	P23735				P02460	P14270	
P0C152	P00940	O35161	Q63081	B5X4H8		Q24UI6	O00629	Q66I85	Q0II68		Q32LQ4	P35072	Q5R481				Q8K4L3	Q9NUG4	
Q3UES3	Q9UKL6	Q1RMP9	Q3UMB9	Q86Y79		Q9ULJ6	Q8C2Q3	Q63ZL3	P41250		P21328	Q4QY64	A6NKC9				P51466	P10533	
Q5T6C5	Q6DG91	Q8BGN6	Q863Y9	Q9QY36		Q5PPZ9	Q6WCQ1	Q6TEQ0	Q1JQ66		Q5U395	Q498J7	P83038				Q9JI03	C6KFA3	
Q8NFY4	O57474	Q90YQ7	Q4LDD4	Q62000		A0A1B0GUI7	P58354	Q4G072	P81140		Q2PFV7	P41512	Q803H4				Q8VBT1	Q9DBZ9	
O00268	Q6PCS6	Q7ZUN8	P07314	Q32L89		Q8IZP9	Q9HBU6	O54790	Q5RC94		P14685	P54996	Q6UX06				P16636	O55005	
Q8R5F8	Q5BKX6	A5D6V4	Q8K1S5	P31006		Q03385	Q9H8E8	Q27J81	A5PLF5		Q96PZ0	Q7ZW46	Q6NW76				Q5R6L8	P35031	
Q9Y2E4	Q9NTM9	Q5RIU9	Q6NU95	Q52KL1		Q8NEZ3	Q9UJA5	Q14393	Q63486		O88545	Q9NRK6	Q5ZJ58				Q4LDE5	Q8MH63	
P14381	Q2KI24	Q867B2	Q9BSW2	P24523		Q8IY57	Q96CW5	Q8R323	Q7ZV68		Q2KIB3	A0A0G2KQY6	P12607				P26041	P51830	
Q6AZB8	Q96HQ2	Q6PEH1	O95630	A0MS83		Q9EPU0	Q5R4H6	Q9JID1	P61220		P12785	Q5RCC1	Q07081				Q90WI4	Q8QFX6	
Q9GLP1	P55036	Q6P3K3	Q0VD31	I6V1W0		Q9JIH2	Q49LX6	O00423	Q9UHR5		P98199	Q7LHG5	Q6EKJ0				O42224	Q99KE3	
O00743	F6P6X0	Q28DR4	P52786	Q5U204		Q6ZNB6	Q5R8K2	Q6NUT7	Q6NWH5		Q96RE7	Q969F9	P20825				Q96G27	Q1RMR1	
P51830	Q5R8R1	P41689	Q9CQK1	P30677		P56399	Q8WV16	Q02290	E7F221		P55168	Q7ZT47	Q9GZU7				Q96P44	O94985	
Q9UJW8	Q4SK88	Q0VC33	A8WG43	P0CT39		Q8K0D0	Q27409	Q6AXJ3	Q9R101		Q9ET22	Q4R4V8	A7MD70				P30987	Q6TEQ0	
Q9Y2X9	B2RX12	Q5IS99	Q29RV1	Q9H6R0		Q8TBZ3	P47809	Q6P5U7	Q5R687		Q6DHP6	P62323	Q28IM6				Q63433	Q9ULI4	
P04323	Q6TNS7	Q8BVU0	Q5SZI1	P11369		Q3UXZ9	Q9NQC3	Q8C428	Q1L5Z9		Q90631	P26584	Q5UNS9				Q69ZK0	Q6ZMQ8	
P59997	Q76N32	Q29RP1	Q9UBI9	Q60997		A2A870	A1L1P9	Q9JJV9	Q91605		P79703	O75795	P97447				Q0GNC1	A4Z943	
Q91584	Q3T178	Q96G23	Q5M872	O75131		Q9H8U3	Q29S22	O88572	O74423		Q32LT7	Q1ECZ4	Q8AXF4				P51812	O60341	
Q00532	O43422	A4IFA3	P18520	P31641		P80303	Q6J4K2	Q9D8N3	Q13188		P11369	Q9DF58	Q9NQW6				Q80TS3	Q9EQQ9	
Q7T2H2	P35486	P24775	Q9Z0E8	Q9Z254		Q32S26	Q96WV6	Q499B3	Q70IA6		Q92797	Q91Y78	A0A0C4DH26				D4ACX8	O95490	
O95980	Q9PU58	Q7SYM0	Q7TMC8	B1H1Z8		Q63569	Q08CL8	Q9HBF4	Q8NFB2		Q98SJ2	Q5VTL7	Q6NS57				Q6NZ13	Q6GN01	
Q28691	Q5XJ54	P14480	Q6AZB8	P50282		O35604	Q86YS7	Q9H3M7	Q8WU76		Q5RH02	Q7T321	P00637				Q86SQ0	Q53EL9	
P61622	Q64152	Q6DC66	P60522	P27808		P01130	Q9W6S8	P27545	P23696		Q8N5M1	Q5E9T8	Q2M385				O00592	Q9UQ35	
P55291	Q9R045	P68200	Q96RL7	Q9BRR3		Q9NQZ8	P54727	P28799	Q6NVL5		Q6PFR5	Q5E9N0	O18793				Q3UR85	Q8VHG2	
Q8JZX9	P51151	Q5RDN9	O89013	Q5CZR5		Q8K1N4	Q8IXU6	Q7Z6M2	Q9WUR2		Q0P4A6	A1XQU1	O14578				P30372	Q2PFW9	
P97479	Q90Y35	Q9JJK4	P20849	Q5ZK82		Q5R6L2	Q5U2W9	Q9HAT8	Q8WML3		Q92104	O35900	A2T928				P51693	Q64321	
A0A2R9YJI3	Q96SZ5	Q708S8	Q9HCI6	Q9BX70		Q91X88	O97902	A4IFW2	Q91VA6		A6H8I0	Q6IQ23	P09495				P78509	Q91605	
Q5PQ89	P45878	Q8K0R6	Q08CD5	Q8AWD2		Q53RD9	Q67ER4	P18749	Q9YHX4		A4Q9F4	Q91WV0	Q5TEJ8				A8WGB1	Q8CGN4	
Q9DEE9	Q5ZIQ3	P17164	Q9U281	Q53H80		O60333	Q9UGP8	Q5NU14	Q8IWB9		P35233	Q3TDQ1	A2BGR3				Q54HS9	Q96NE9	
Q6DIM3	Q6IQ97	Q9EP89	Q6ZMW2	Q05826		Q9WU22	Q0VCQ4	Q05481	Q9UKD1		Q8BR93	A4IFA3	Q6ZQX7				B8A4W9	Q9DB00	
Q924A2	Q80UM7	Q5E9U9	Q8C0Y1	Q32M78		Q56A18	P49712	Q6ZNX1	P50552		Q80X66	Q0VCM6	Q8TE73				Q4R7Y5	P57770	
Q9YGC1	Q7SXW6	P68200	P02696	Q96RF0		P20825	P52209	Q6EMK4	O54698		A0JNG0	Q9CQL5	Q80ZG2				Q9DF58	Q5NVC7	
O60315	Q5ZJG3	O00186	Q9Y3C5	Q9BUR5		A0JPP1	Q5R526	Q08CY1	Q5R7Q3		Q60HD0	Q9VSD7	Q8AXZ4				Q92052	Q68EM7	
Q6DFC8	O14530	Q6DHE8	Q9HCE9	Q32M78		Q8R5I7	Q7ZTI3	Q5F3I6	Q96AB6		Q3TZI6	Q91628	P26369				A2CEH0	Q00780	
Q2T9P3	A4FV08	Q5PR55	Q80W88	F1QGD2		Q5YJC2	Q99750	Q9UBS8	P80385		Q5FW42	Q5RBK1	Q1LWV4				Q8WWW8	Q8K382	
Q8TB72	Q2EEY0	Q6PC55	O94844	Q9BY79		A1YB07	Q4V8E5	P35072	P48736		A8C984	Q5R6X7	Q6INE5				Q9NYY3	O70589	
B3DJM5	Q969Z4	Q9Y6A2	P54777	Q5SVZ6		Q9UNA1	P18334	P0CT43	Q6P3W7		O46680	Q99JX3	Q9UM11				O94788	Q9UHI8	
Q56UN5	A8KB87	Q8N7N5	P13821	Q99L88		Q2TLY1	Q5M9G6	O95858	P70665		Q6DIC0	Q80WE4	Q6AZL2				P01695	Q95126	
Q6GN15	P84089	Q62158	Q5ZKH4	O35488		Q5F356	Q9NUD9	Q3UPW2	Q6PG34		Q7SY48	P30664	Q6TGV7				Q10751	Q6NZN0	
Q6PCS4	Q7ZUH1	Q9BY76	Q6IQ73	P03968		Q6NSM8	Q92902	Q923Q2	P60892		Q5ZIJ9	P83871	P29350				O89100	A6QLV3	
Q9I9R3	P55036	Q58DT1	O19062	O96006		P28347	Q9VSS1	Q6DH69	P98095		Q04637	Q6C908	Q96QF7				Q9ULJ7	Q92673	
Q5SVZ6	Q8TBK6	Q6P3K3	Q9R0U0	Q9NPB8		Q8BIH0	Q1LUV9	Q5R5P4	Q9IAV3		O55128	Q9Y251	Q6DBX4				O97827	Q78EG7	
Q803I8	Q9H3F6	Q6NWK2	Q29451	Q8VCG9		Q9BSJ2	Q05B79	O93209	Q9UMX1		F1MNN4	Q6DGZ1	P23735				Q1RMR1	Q8IZJ3	
Q8R066	Q6TLE4	Q6ZM89	Q91049	Q794F9		Q98UF7	Q28BT8	B8A4F0	P49411		P08552	Q5RBR8	Q04519				O94868	Q61909	
Q9H694	Q4R5C7	Q6P606	B0V1P1	Q4VBI2		Q68FF6	B2KI97	Q5VU43	Q8VE42		Q75V66	P32850	Q502I3				Q9UH65	P61129	
Q99MY8	Q8K078	Q9W7R4	Q8IV61	Q13255		Q5F408	Q8BJ48	Q5ZLX4	H2M146		Q90647	Q4SS66	O18793				Q60675	P32250	
Q4VSN3	Q6DBQ8	Q28D01	Q61827	P97872		O35460	P15305	P23468	Q6DJH2		O15213	P51665	Q9JKF1				O02827	P20825	
P82279	Q5R7J9	Q2M2S2	Q61527	P58137		Q6AY61	Q8IXQ5	Q60610	P14380		Q1RLU1	Q99020	P39963				Q0VGT2	Q2QCI8	
Q8R070	Q8IWB9	Q9HBF4	G3V9R8	P61765		Q8NEG4	Q6NWJ4	Q08CZ0	Q9NX74		P35525	Q9Z2U1	Q6MFZ5				O95393	F1R013	
Q86UP8	A1A4P4	P08635	P97471	A2BIL8		Q62073	O77506	Q92143	Q08BW0		P19356	P81004	P14381				P59222	Q28728	
O55012	Q0P4C4	Q6PDD0	Q95LH1	O94855		Q9N181	Q8WYQ3	Q92079	Q98T91		Q08C84	P62309	O95235				Q8BR86	P39447	
Q14693	Q9D1Q1	P70550	X1WBB5	Q969V5		Q9NZB2	Q9UJX3	Q32KS7	Q90512		Q765P7	Q8CG76	Q32NI8				Q5U3G1	Q8ND30	
Q5HZT0	Q6PBV4	Q9UJ37	Q0QEP2	Q96GG9		P41216	P08537	Q7ZVV1	P30151		B1WB06	Q5R7B3	Q62623				Q7TQN9	Q9QXS1	
Q96RW7	Q8BPB0	Q6P4P2	P04323	A8E0R9		Q9Z1E1	P45701	P97303	E7F211		Q8BKS9	P55264	P11032				Q9YIB4	O42146	
Q64319	Q8JHF0	P15125	Q9UJW8	Q3SZA1		F1R2X6	Q08BB1	Q7ZW24	Q1ECZ2		Q15427	Q5ZJU3	Q5DU56				P13944	Q6PCB5	
Q5R8Y5	Q0P457	Q8I7P9	Q5JV73	Q9P2D8		Q9W6T7	Q02253	Q9NZQ3	Q8C863		Q5F334	Q60452	Q9DF50				P04323	Q7LHG5	
Q9WVH3	Q6DEM5	Q8C3Q9	P56581	Q6UUV9		Q3UGP8	Q3UHD6	Q63563	P63081		P62198	Q5T619	Q9NQR1				Q9UKZ9	Q1LWG4	
O09000	Q14643	P80010	O95789	A1A5V7		Q5R724	A8WHR3	Q5R5U3	O15209		A9JRI0	P24802	Q5RET2				P01660	Q64398	
P30437	A4FUZ6	P14381	Q8BXL9	P25007		O35551	Q28DB0	Q9DG02	Q58D78		Q4RWX9	Q925U4	P14222				Q674X7	Q8K4V4	
P15305	Q8HY24	Q13231	Q5ZKI4	P0C1G7		Q14B48	F1RAX8	Q8JFR5	P35623		O89044	O08810	P55849				Q7Z5L7	Q6NXC0	
Q7ZYJ0	P80236	Q9QXV1	Q5BJY4	Q1LWC2		O73747	A2VDN6	O00291	Q5M843		P14733	Q5RCP3	P14105				Q811A3	Q99315	
Q28381	Q99712	P0C862	Q08DA8	Q6MG12		Q9UKV3	Q7Z6E9	Q6GP28	Q5R7J9		A4Z944	Q9EQX9	O92815				Q61810	Q99759	
Q5RDH2	Q8BTR5	Q3KRE6	A7Y7X5	Q8R1S4		Q2HJE4	Q96KC8	O43825	Q68FU3		Q62073	Q6AXU8	P81274				Q7Z304	Q9BRQ0	
Q8BHZ4	Q5M862	Q6PUF3	Q63ZL3	Q5U1Z2		O08648	Q68CZ1	B0S6T2	Q96SZ5		Q80V94	Q6TLE6	Q5QQ37				Q5RCT4	F1NWE3	
A5D7H2	Q9BS26	Q9Y5R8	Q8JG30	Q7SXA9		F1R4Y7	Q7T2D4	O42354	Q9DD19		O57594	Q28480	O14917				Q9UHB6	Q9Z2I6	
Q7TQK0	A6NNL5	Q9WV30	Q5R5C9	Q9NQ29		Q8TAQ2	Q9DGQ7	O35317	Q00589		Q6A098	Q5SWK7	Q9QYE7				Q7YQK9	E7FAM5	
P35072	A3KFX0	O42204	Q2L6L1	A0A452G813		P08775	Q568E2	Q802Y8	G5E8P1		Q8BXL9	Q8BMB3	Q7T364				Q14643	Q8R317	
D6RIA3	P08294	Q6DRC4	Q17RB8	Q9WV71		Q7TNR9	P35072	Q92079	Q5R5J4		Q6NX08	P0C5A0	Q00918				Q96KM6	Q6PFT6	
Q60996	B5XGH3	B2GUW6	Q5SPB6	P48960		P15957	Q9BXJ9	Q62825	O95363		Q8K4Y7	Q6P9Z1	Q8AW35				Q9BZE0	Q8R500	
Q32PR0	Q04760	Q7YRK6	Q66J78	Q8CG08		O42287	P51791	Q9Z2V5	Q5ZI49		P11029	O55029	Q2VLH6				P14381	Q2Q0I9	
Q05AS8	Q922Q5	Q27955	Q8BLD6	Q9Y225		Q16621	A1L1F4	A4IHB9	Q5R881		Q8IY81	O00273	Q05513				Q91Y80	B2RY04	
Q05B56	P35072	Q2HJ23	Q2KI09	Q5U3V7		Q3B8Q1	O35286	Q6R3M4	O75121		O08874	A9C3P0	O75995				P98157	P51400	
Q07960	Q5RDM6	Q40375	Q60520	O45734		P42669	Q91398	Q08874	Q568G4		O43293	Q5NVK4	Q9Y2A9				O00712	A0A0G2K0D3	
P16383	P08548	B5XBP5	Q65Z54	Q86WC4		P22129	O60573	Q7ZUC2	Q9BQQ3		Q68FR3	Q9W705	Q9YHC3				O13074	Q8NEY1	
Q92625	Q6P3G4	Q1A730	O00268	P21271		O70472	P61212	Q9NWM3	P35072		O97649	P03934	Q7ZV90				Q9HCK4	P35580	
P32250	Q5SQX6	Q7ZUB2	P80456	Q804T6		Q9TTK4	Q6PAM1	Q8BH83	Q8NI08		Q96DI7	Q8BX13	Q15058				P13596	P28575	
B2RRF6	P35294	Q5ZLX2	Q8AXQ3	Q3T0B7		P04323	P53451	P11369	A2BIJ3		Q9D4D4	P83917	Q91987				Q16623	P57768	
C0H8I2	O88267	Q6GQS1	A2VDL9	O95983		Q8N122	Q5RBM8	P47968	P04323		Q5ZI69	O75717	Q8JZN5				Q09666	Q9WUM4	
Q9JM96	A4QNX2	P14381	Q8WXA8	O94855		Q13439	P15505	P97431	Q7T356		Q2KHV4	Q8JGS0	Q5SVZ6				Q6DI48	Q6VY07	
Q13233	Q02556	Q8IXH6	Q9H7P6	Q9Y376		Q8IWT3	Q6Q7J2	Q9H2S9	Q5ZJN2		Q9H8Y8	A8KBL7	Q92608				Q32PV0	E9QAG8	
Q04690	A4QNM5	P29314	Q6P5U7	O35166		Q5SP67	P40231	P15311	Q9MZD1		Q5R8W6	Q96SZ6	Q9R098				Q5RBD3	P19086	
Q5PQL7	Q5D014	Q5R5K4	Q7ZVX6	Q6IE52		O94964	Q8IY37	Q6AZB8	Q06138		Q5SPJ8	O00300	Q9NPI5				Q8N474	P36836	
Q9ER47	Q8IZU8	Q8C4Y3	B7ZUL2	Q803M0		Q5DTW2	P82264	Q8CIW6	Q9HBF4		Q00536	Q7ZUS1	P35555				P82347	O08586	
Q13275	O60861	Q95SX7	Q0V989	Q9BGL2		Q8NHV1	O76094	Q9BZI7	Q80ZI6		Q8BH18	A2ACJ2	Q5ZKK5				P09758	P78312	
P42566	O43808	Q5R971	P04696	Q9D7V9		Q924K8	A7SMW7	Q1XHU0	P97428		Q06AA4	P11654	Q9DBS8				Q8IZU9	Q91ZY8	
Q6ZUT9	Q9D7A6	A2RRT9	Q9UMZ3	Q8CFD4		Q7Z6G8	P00504	A4IIK1	Q5JSZ5		Q5R467	Q86UP8	O42249				Q96KN3	O08856	
Q99N27	Q5R7Z5	Q9DG68	Q8HYN7	Q9BYN0		Q9NR80	Q9CWJ9	Q2KIG3	Q5ISE2		P35520	B0F9W3					P26261	Q3KR37	
F6S215	Q561X9	Q01459	P82094	P85001		O95461	P20825	P50237	Q61510		Q28ES4	P02264					O93484	Q01635	
P46662	Q9WU08	P70066	Q95M12	O14657		Q8BWZ3	P70388	Q5R802	Q6TH22		O54935	Q8JFW4					Q9YGM9	Q5DRB8	
P20142	Q8IXH7	Q6PBY3	Q8JHF2	Q3T112		Q9D361	P18127	P79274	O88989		Q6PF21	Q91VH1					Q00725	Q9BXL8	
Q9UBQ6	Q9QZD8	Q95SX7	Q01850	Q8BGH4		Q6PB97	Q91191	Q503Y8	Q98TW1		Q5HYC2	Q7Z7M1					P79749	Q9D5S7	
A0JMZ3	F1QGW6	Q6PHF0	Q96FX8	Q92753		P04323	Q6GNJ8	Q9UGR2	P20933		Q5U4I3	Q6DGJ3					Q6PHL4	Q6AXM1	
Q8WMU5	Q62767	Q12982	Q28362	P18031		Q1LZ53	O46563	Q9Y4D2	Q8K2J9		Q9NRZ9	Q66JT7					O35806	A1L1V4	
Q659C4	Q9ESN2	Q8CFV9	Q7Z698	Q9D0E1		P59326	C1BK83	Q3KTM2	Q9UQQ1		Q5TCY1	Q15013					Q4RU86	Q15032	
F6NSX9	Q8NBQ7	Q3ZC25	Q8BXQ6	Q7TSX5		P81004	Q2TAQ1	Q641X1	P51650		Q9YH26	Q12769					Q90ZK6	Q8BWJ4	
Q8TCN5	Q92890	A0JME6	Q3UF64	Q6NWG4		Q28772	Q9CRA8	O92815	Q6R2W3		Q6PFJ1	O15066					Q5E9X7	Q9DGH0	
Q9BZ29	Q9C0F3	P13913	A5D6R3	Q6DD88		O73932	O88441	Q7M753	Q7ZV22		O43184	Q91W90					Q07427	Q15911	
Q9PU58	O76080	Q9BGL2	O60519	A7SG73		Q32PJ3	Q5U211	O54923	Q9UHD8		Q3UVG3	Q02257					P02457	P15388	
Q08509	Q3LGD4	Q6L711	Q99JW4	Q9UKT7		Q8IWW6	Q9CZT4	Q5ZI11	A0A1L8GR68		Q9BX84	Q8N264					Q569C0	Q498T9	
Q96G03	Q0P487	Q9VCR7	Q5HZ92	P20825		Q9D7I9	Q1LVN8	Q91VS8	O95870		Q8N302	P07354					P21328	Q9GL76	
Q02846	A0A0R4IMY7	Q96CD2	Q8AXV0	P55931		Q3MHW6	Q08705	A9X1C8	P14381		Q6GQK9	Q7ZT01					B5XAM2	P63100	
Q8C131	Q6IE75	O93366	Q4R7Y8	E1BRE2		P83741	Q96QU8	Q00765	P01008		Q9UJM3	P56520					Q96KR7	E9PZ19	
Q4V9Y5	Q921M7	P23438	Q5XTS1	P80404		Q9I9C3	P57678	Q15853	O88664		Q9Y233	P61220					A5PMY6	Q91ZS8	
Q9WUQ1	Q91858	Q90YR4	Q4R4Z3	Q7ZW24		O75688	O75817	Q7T3S5	Q02818		Q7LFX5	A5GFQ0					Q9NPB9	Q92048	
Q63931	P23228	Q5EBL2	O02668	Q8BGT9		O95714	Q6DRN3	P28020	P16330		Q05AL1	Q8N766					P09815	Q90ZL2	
Q8CFX1	Q6NW52	Q9PVW7	P04323	Q7ZV50		Q91757	P35072	Q5FYB1	F6NSX9		F8VQB6	Q9D0Q7					A1L3I3	P49791	
Q80TQ5	Q90691	Q7T3N4	Q9D5V2	Q7ZYX1		Q5XHJ5	O35986	Q5BL35	A0A2R8RWN9		Q810V0	Q502P0					Q61391	Q6P5W5	
Q6GQQ9	Q0VD50	Q8NCC3	Q5XH48	Q32KH8		O88480	Q63850	Q13480	A3KPW7		Q503E1	O43157					P27216	G3V7L1	
Q6Q0C1	P05202	Q1MTD3	Q8IWU2	Q9UJW8		Q80TL1	Q8R4H2	Q52NJ0	Q15477		Q02769	Q29551					P02457	Q6PCB0	
Q924S4	Q6P499	P51644	Q9WTN0	O70303		P53609	Q9R0M8	Q13009	P49356		Q4KL94	O00400					Q9EQP5	X1WE18	
D4A9R4	Q4V8U5	B0JZP3	Q3UHJ0	Q9D818		F1QBY1	Q8NHY2	O08585	Q7T012		Q5XJR6	Q8K1J6					P13944	Q3KR37	
Q9PUB8	Q6TLE6	P49020	Q9M571	Q925S8		P14105	O75716	Q8BLU0	P31030		P63320	Q3SWZ3					O43825	Q5R5C5	
Q9UKZ1	Q9QZD4	P50914	Q5H8C1	C0HBT3		A2AUY4	O35680	Q8IVV2	O13035		Q6ZQH8	Q58E77					Q3SZE3	O35568	
P11678	Q5ZMM3	Q7T392	P09215	Q9I8F9		Q1H9T6	Q9BRU9	Q9QZC4	O95831		Q7TQH0	Q5U403					Q01721	Q58CY8	
P21329	P21328	Q6MZM0	Q9N2I9	P69478		A0A2R8QPS5	P29274	Q6DGN0	P15156		P58544	Q2KHU0						O43301	
Q3B7Z2	O00370	Q90YU9	Q7TSH6	Q62559		Q8BQ86	B5X1P9	Q8TC41	Q8R0H9		Q5RFI5	Q6AZI2						Q920E0	
Q6NUC6	Q6NZI2	A2Q0R8	Q9Z255	P79832		Q14563	P61078	Q98862	Q923T9		O70247	Q96ME1						A1XQX0	
A5WWA0	Q8BJ51	B1H3B1	Q3T0A0	P04146		Q6DFG0	Q4KME6	Q25214	Q02290		P03934	Q8K174						P53565	
P50616	Q9NTN3	A4Z944	Q9H2F3	Q9D379		Q6P4T1	Q9H9G7	Q5XI53	Q9NWU1		Q9H5U6	Q6P0F0						O54902	
Q5XGG2	Q9NWW5	P16301	Q08881	Q0MW30		E1C2U2	Q8HY81	Q8C0L6	P14381		Q6PB75	Q8K3X3						Q9UPV0	
