darkturquoise	red	darkgreen	darkgrey	orange	floralwhite	brown	darkolivegreen	bisque4	darkred	darkorange2	darkmagenta	greenyellow	midnightblue	skyblue3	paleturquoise	thistle2	salmon	lightcyan	sienna3
Q96AY3	P49892	Q71N41	P21328	Q4KLK8	P84652	Q63484	Q3ZCT1	P56817	Q6PCR7	Q75WS4	P23780	Q4R761	Q1T769	A0A0R4IBK5	Q6IMF3	P04922	Q6ZUJ8	O75325	O60469
P21328	Q04752	Q504E7	O18973	Q4FZX7	Q5EB20	P48739	O88350	Q9JL56	Q6GMK0	Q6DG38	Q6PHK6	Q8AV13	Q5BKS4	Q02290	Q91ZZ3	Q17770	P59384	P28738	P49747
Q9P0L2	Q9D0J4	B5DGK1	Q8T2K9	Q6PCJ9	P52556	Q8C0T5	Q0P5J0	Q9Y606	P11369	P11966	O35817	Q8BZK4	P33316	Q502X0	Q9BZQ8	P30122	Q06187	Q08BZ4	P55197
Q1LZ53	Q15172	Q95SX7	Q8N302	Q8WW38	Q1AGS9	P59326	Q7ZU99	Q8BLI0	Q28EB4	Q5ZLN1	P18700	Q6P3H4	Q68CZ6	P19971	Q8NHU3	P30122	Q6DC02	Q9UPP2	B0BN95
P15586	Q66IV5	Q2VQV9	Q01081	Q9NS37	Q5EBF1	Q9NPZ5	P79732	Q5R6R2	Q15046	Q8K3X2	Q9JHE5	Q5R748	Q63665	P0CT39	P13648	Q7SIG3	Q96P50	Q6NS82	P63144
Q8BLQ7	Q29S00	Q8AY32	P51871	Q96P50	Q8IY33	Q9Y4G6	Q6R2W3	O75071	Q4SQ06	B0F9W3	P30681	Q9V3H2	Q1WIM2	Q9QUM9	Q1LYM3	Q6ZN16	A8WGA0	Q8IY57	Q8BK64
Q9BSJ8	P16423	Q6INX4	Q9H840	Q96LL9	P84611	Q14995	Q5XIQ3	Q80WN7	C7EXK4	Q6AY25	Q5T5P2	Q8AY32	Q08BH7	Q1LYL8	P15924	P25095	A5PJX7	Q14157	A4Z943
Q02084	O43826	Q6QHC5	Q92090	F1QMY1	Q98895	A9JRZ0	Q7LHG5	Q14746	Q7ZV96	Q9R1P4	Q8I7P9	Q62785	P51955	Q14258	Q8VEK0	P35034	P49024	Q8IY33	Q8NDA2
B0UXP9	Q1LZ95	Q5RCK9	B0BNL6	Q9EPW2	Q0IIG5	Q7T370	Q5I2W8	Q58CZ2	Q642H9	Q6PD83	Q9UMS4	Q5ZIQ3	Q80Y19	P14373	A5WW21	Q9CQ52	Q5R7K9	Q8BL80	Q9UPU3
O02751	Q5RFQ0	Q66KV4	P50282	O42449	P40197	Q15059	Q8BZ36	B0JZV4	P54996	Q69BJ7	Q13435	P56389	Q9DEN8	Q5RDN3	Q4R581	H2N0D4	Q5ZQU0	Q8NDV7	Q2UY09
O88783	Q9UG63	Q9CQE1	Q1RLQ5	Q5RBN0	P11277	Q642M9	P46472	Q5R8D8	Q5RF84	Q3T0J3	P15305	P25093	Q8QGP3	Q9BQQ7	O14815	P06596	Q9Y6C2	Q9YGP5	P04323
Q04906	P63100	Q5S1U6	P00516	Q5SZD4	Q7RTR2	Q5RDL2	P70399	Q05793	Q9W6Y1	Q6DHR8	Q5SSJ5	Q91240	Q60FX9	Q1LYL8	Q9D7P7	Q8JGW0	B5X4E0	A0MSJ1	Q9JI18
Q6DD51	A9JSM3	Q4RSW7	Q5D013	Q5RH71	Q0VCW4	Q91VZ6	Q15024	P34949	Q7ZWI4	A1A5V9	Q8K4T4	Q6N021	Q7ZVT3	Q1LYL8	Q6BEA2	P35033	O55111	O70209	Q7Z408
Q8R2V2	Q9Y4A8	Q98989	Q91YN9	Q9NUJ7	P23767	P11023	O60306	P10253	A9KNW4	P56873	Q6ZVX9	Q9WVL0	Q08094	O88622	P21860		E9PYL2	P35571	Q8AVH7
Q8NDX6	P79737	P54227	Q9DAJ5	Q49AG3	Q3SZK8	Q80UP5	Q91684	P22129	P40757	Q9D958	Q13151	A0A1B0GVZ9	P43233	Q1XHU0	Q80XP9		Q6DIV5	Q8UVJ6	Q05909
Q17RY0	Q9Y4B5	Q92090	Q9M2U3	Q5R5F5	Q8VC70	Q9JM61	Q7ZVM1	Q5R601	A4Z944	Q6ZM19	O43390	Q9ERW3	P35331	P62972	Q86Y46		Q8QGP3	Q5R7J6	P17036
Q8R4C2	Q06176	Q5RIV4	P22670	P50234	Q5T1R4	Q03111	Q8CFI0	P79729	Q90ZE4	Q3ZCC9	O43290	P17225	Q29RV0	Q5GLZ8	P11678		Q9JIH7	Q8BGZ2	Q9QYE5
Q9H330	Q28GQ3	P83917	Q9Z2K0	P51659	Q96J92	Q7SXE8	Q3ZBX6	D3ZQJ0	Q7SXW4	Q9D826	Q1LYL8	P02976	P23919	Q15306	Q99JB3		Q29503	Q62445	Q9UM44
Q9CUS9	Q17QU7	Q9EPZ8	O14975	Q9DAA6	Q8TE85	P70336	A8YPR9	P04323	Q9DGJ3	Q6GLW1	P46196	Q9H841	Q6DRJ7	Q9H0J9	P55850		Q7TQN8	Q501Z5	Q8CGM1
Q7M3E1	Q91Y81	Q4V8E6	Q9H8H3	Q7Z5U6	P09207	P10417	Q5NVD0	P21328	Q92005	P35284	Q75Q41	Q9CX56	P68563	Q803W1	Q80T02		Q08DQ0	B2KF05	Q9CWL2
O18738	P22123	A0A3Q2HW92	Q9CQX5	Q1LWL8	Q7RTR2	P46087	Q567G2	Q28EG9	P10978	Q0IHV9	Q9QYE2	P62321	Q6NYX6	Q9NZJ4	Q0VBK2		Q8NFY4	F1QQA8	Q14241
Q6NYG8	P51658	Q7LHG5	Q8CE33	Q6PBN5	Q90YI8	Q7Z2K6	Q5DTT3	P23654	P25155	P24406	Q6PC91	P69084	P19835	Q9MZU4	O88898		Q5R4I8	O02751	B2GUT4
P13861	Q4VBS4	Q5ZIR1	Q2HWU3	O75030	O15550	P35129	Q91WQ5	Q61985	Q9NR45	Q1RMQ5	P49321	P53996	Q9JIY5	A0A0R4I9Y1	Q8JFQ6		Q9NSC7	P21333	Q15878
Q6NZC7	A0JN61	Q4U3L0	P04146	Q3SZ18	O43345	Q9BUQ8	Q503C8	Q3UHD9	P10588	P85971	A4Z943	Q91V33	Q6GM86	P35072	Q95LN5		Q9CQC5	P24799	Q1LUA6
Q3SZK8	A4IG42	P00130	Q9UHH9	Q9ULE3	Q2KI85	O15060	Q9CXC9	Q5BL50	Q6NYI0	P13104	Q28E61	P49718	O43663	Q6MFZ5	Q71H61		Q99469	Q7ZUF2	A2A884
P15920	Q9R1P0	Q8HXY8	P81021	O95685	Q6MZM0	Q92010	Q7Z5P9	Q9BX93	Q5RFB3	Q6NSR8	Q4H4B6	Q6TXF1	Q13887	Q1LYL8	P17809		Q13905	Q5SZK8	P20908
Q2T9Q6	Q07217	Q9D304	Q78T81	Q9GKT2	Q9WV69	D3ZMK9	Q96BX8	Q14703	Q58DW0	Q0MQC1	Q28BP2	Q6DEL2	Q6DRD4	Q5T0D9	Q7RTR2		Q8TE49	Q6X936	Q6IS24
Q96J84	Q90YW0	P10620	Q9JJ93	O14681	P16157	P04388	Q9H1A4	Q6DJ13	B5DGQ7	Q8JIY8	Q5RDB5	D4A9R4	P97577	Q62158	Q5R6F0		Q8N4B1	Q8BL86	P18724
Q6IQE5	P57102	P52826	Q1M199	P49366	P14770	P31645	O88685	Q99574	O95477	Q921D4	Q5ZJH9	Q5M7K4	Q00547	Q2EMV9	Q6DEZ7		Q9ES52	O14939	Q8CGQ8
Q96JN0	Q9P215	Q3SZA2	Q58L93	O14595	Q9BXW7	Q6NYK3	Q567W6	O15534	Q96A49	Q6IQU4	A0JMF7	Q8CFI7	Q567C6	Q15034	P13688		P54830	O95352	Q7SVK7
Q6NWA8	Q6NTS3	Q5R9W6	Q3SZR9	P45433	Q7T2L7	Q80Z37	Q5RGE6	Q9H8U3	Q6PFQ2	Q2TBT5	Q96DH6	Q96CW9	Q8NI77	A0A0R4I9Y1	Q8JFQ6		P20785	Q9H799	Q13946
O75175	O54929	Q58A48	P26325	Q9JHJ1	Q13325	Q6PFQ0	P52186	A2BGD5	Q15477	P62255	Q9Y6M5	Q5D016	Q66I84	Q1XHU0	P59862		Q90WY5	Q13415	Q9UIW2
Q9BYB0	P28347	P02612	Q4QY71	Q53HC5	Q5F3B1	Q9PW80	O70157	G3V6S8	Q921V5	Q921V5	P35270	Q92030	P35329	Q62158	P23625		O89103	Q5RD64	P79944
