Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GM13_trimmed_clipped_R2_paired	GM13_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6762640.0	0.0	1-150	45.0	85.58434020475916	136.20762660736045	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM140_trimmed_clipped_R1_paired	GM140_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9547897.0	0.0	1-150	45.0	86.08993595747158	140.49752086768427	pass	pass	warn	pass	warn	pass	pass	warn	pass	pass	pass
GM140_trimmed_clipped_R2_paired	GM140_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9547897.0	0.0	1-150	45.0	85.89613879297498	134.68275820319386	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM141_trimmed_clipped_R1_paired	GM141_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8255399.0	0.0	1-150	45.0	87.61087173454659	140.2324280146847	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
GM141_trimmed_clipped_R2_paired	GM141_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8255399.0	0.0	1-150	45.0	87.33473131657009	136.28366939017727	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
GM142_trimmed_clipped_R1_paired	GM142_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7672400.0	0.0	1-150	45.0	87.47875523816988	140.56901608362443	pass	pass	warn	pass	warn	pass	pass	warn	pass	pass	pass
GM142_trimmed_clipped_R2_paired	GM142_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7672400.0	0.0	1-150	45.0	87.39729478838633	133.86193472707367	pass	pass	pass	pass	warn	warn	pass	warn	pass	warn	pass
GM143_trimmed_clipped_R1_paired	GM143_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7503190.0	0.0	1-150	45.0	86.69224940619179	140.3191323956877	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
GM143_trimmed_clipped_R2_paired	GM143_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7503190.0	0.0	1-150	45.0	86.48032537719	134.41348346503287	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM144_trimmed_clipped_R1_paired	GM144_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7594632.0	0.0	1-150	45.0	87.93361836275574	140.3286999291078	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
GM144_trimmed_clipped_R2_paired	GM144_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7594632.0	0.0	1-150	45.0	87.5419828390083	135.02882114630438	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM145_trimmed_clipped_R1_paired	GM145_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7587192.0	0.0	1-150	45.0	87.59308231132742	140.37642292431772	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
GM145_trimmed_clipped_R2_paired	GM145_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7587192.0	0.0	1-150	45.0	87.30025186509106	135.906440749094	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM146_trimmed_clipped_R1_paired	GM146_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10383169.0	0.0	1-150	45.0	82.69779227451711	141.30169151633766	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
GM146_trimmed_clipped_R2_paired	GM146_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10383169.0	0.0	1-150	45.0	82.866083095342	134.39076191478728	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM147_trimmed_clipped_R1_paired	GM147_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7847445.0	0.0	1-150	45.0	87.31584751560717	140.42866856664813	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
GM147_trimmed_clipped_R2_paired	GM147_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7847445.0	0.0	1-150	45.0	87.26419900867864	135.5110003319552	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
GM148_trimmed_clipped_R1_paired	GM148_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9772878.0	0.0	1-150	45.0	87.1501079162312	140.9954069824672	pass	pass	warn	pass	warn	pass	pass	warn	pass	pass	pass
GM148_trimmed_clipped_R2_paired	GM148_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9772878.0	0.0	1-150	45.0	87.01283713074898	135.65042365207054	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM149_trimmed_clipped_R1_paired	GM149_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7555018.0	0.0	1-150	45.0	87.65761437264972	140.27986657344826	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
GM149_trimmed_clipped_R2_paired	GM149_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7555018.0	0.0	1-150	45.0	87.37138506554037	133.90504006740952	pass	pass	pass	pass	warn	warn	pass	warn	pass	warn	pass
GM14_trimmed_clipped_R1_paired	GM14_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8908540.0	0.0	1-150	45.0	86.40064107829402	139.7286207392008	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM14_trimmed_clipped_R2_paired	GM14_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8908540.0	0.0	1-150	45.0	85.93751986202662	137.4664543236041	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM150_trimmed_clipped_R1_paired	GM150_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9762562.0	0.0	1-150	45.0	87.04921252015366	140.410929733404	pass	pass	warn	pass	warn	pass	pass	warn	pass	pass	pass
GM150_trimmed_clipped_R2_paired	GM150_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9762562.0	0.0	1-150	45.0	86.67103700546083	135.62893162675945	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM151_trimmed_clipped_R1_paired	GM151_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8096155.0	0.0	1-150	45.0	87.31629570370444	140.22464293235493	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
GM151_trimmed_clipped_R2_paired	GM151_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8096155.0	0.0	1-150	45.0	87.11552444573795	134.1140736559515	pass	pass	pass	pass	warn	warn	pass	warn	pass	warn	pass
GM152_trimmed_clipped_R1_paired	GM152_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9600784.0	0.0	1-150	45.0	85.52172348628027	140.2437891530525	pass	pass	warn	pass	warn	pass	pass	warn	pass	pass	pass
GM152_trimmed_clipped_R2_paired	GM152_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9600784.0	0.0	1-150	45.0	85.34682093721224	134.37913216254006	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM153_trimmed_clipped_R1_paired	GM153_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8971539.0	0.0	1-150	45.0	86.86021272830237	140.3119686600036	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
GM153_trimmed_clipped_R2_paired	GM153_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8971539.0	0.0	1-150	45.0	86.56821102792482	134.6205583010897	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
GM154_trimmed_clipped_R1_paired	GM154_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8636988.0	0.0	1-150	45.0	86.95788212680797	140.59885969506962	pass	pass	warn	pass	warn	pass	pass	warn	pass	pass	pass
GM154_trimmed_clipped_R2_paired	GM154_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8636988.0	0.0	1-150	45.0	86.83385218239656	135.27455149874007	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM155_trimmed_clipped_R1_paired	GM155_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7429210.0	0.0	1-150	45.0	86.60928171062592	140.3386767906682	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
GM155_trimmed_clipped_R2_paired	GM155_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7429210.0	0.0	1-150	45.0	86.53666114566373	135.4204356856247	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM156_trimmed_clipped_R1_paired	GM156_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9215615.0	0.0	1-150	45.0	86.47767476949349	140.70170856746944	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM156_trimmed_clipped_R2_paired	GM156_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9215615.0	0.0	1-150	45.0	86.43894527128737	135.47736173874452	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM15_trimmed_clipped_R1_paired	GM15_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8227322.0	0.0	1-150	45.0	85.08321300974522	138.74865381469206	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM15_trimmed_clipped_R2_paired	GM15_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8227322.0	0.0	1-150	44.0	84.78736573875224	136.12619270280172	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM160_trimmed_clipped_R1_paired	GM160_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7315576.0	0.0	1-150	46.0	85.11596758527709	139.42694655895858	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
GM160_trimmed_clipped_R2_paired	GM160_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7315576.0	0.0	1-150	46.0	84.97672879199088	133.71848682865163	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM16_trimmed_clipped_R1_paired	GM16_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7875064.0	0.0	1-150	45.0	86.20719991103235	138.71868419101102	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM16_trimmed_clipped_R2_paired	GM16_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7875064.0	0.0	1-150	45.0	85.63263905590868	138.04232664013904	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM17_trimmed_clipped_R1_paired	GM17_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6893214.0	0.0	1-150	45.0	86.05555308647087	138.53449914655195	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
