Sample	Unique Reads	Duplicate Reads
GM100_trimmed_clipped_R1_paired	6124424.0	897220.0
GM100_trimmed_clipped_R2_paired	6085004.0	936640.0
GM101_trimmed_clipped_R1_paired	5891861.0	913194.0
GM101_trimmed_clipped_R2_paired	5849547.0	955508.0
GM102_trimmed_clipped_R1_paired	8409447.0	1319910.0
GM102_trimmed_clipped_R2_paired	8407944.0	1321413.0
GM103_trimmed_clipped_R1_paired	5777710.0	894736.0
GM103_trimmed_clipped_R2_paired	5764959.0	907487.0
GM104_trimmed_clipped_R1_paired	7634678.0	1285557.0
GM104_trimmed_clipped_R2_paired	7608553.0	1311682.0
GM105_trimmed_clipped_R1_paired	5689025.0	852335.0
GM105_trimmed_clipped_R2_paired	5656170.0	885190.0
GM106_trimmed_clipped_R1_paired	8318788.0	1345835.0
GM106_trimmed_clipped_R2_paired	8278343.0	1386280.0
GM107_trimmed_clipped_R1_paired	8018265.0	1608909.0
GM107_trimmed_clipped_R2_paired	7984202.0	1642972.0
GM108_trimmed_clipped_R1_paired	6871474.0	1012710.0
GM108_trimmed_clipped_R2_paired	6826523.0	1057661.0
GM109_trimmed_clipped_R1_paired	6088327.0	952121.0
GM109_trimmed_clipped_R2_paired	6060612.0	979836.0
GM10_trimmed_clipped_R1_paired	5682242.0	831210.0
GM10_trimmed_clipped_R2_paired	5640009.0	873443.0
GM110_trimmed_clipped_R1_paired	7025131.0	1045945.0
GM110_trimmed_clipped_R2_paired	7007571.0	1063505.0
GM111_trimmed_clipped_R1_paired	7382618.0	1366354.0
GM111_trimmed_clipped_R2_paired	7340171.0	1408801.0
GM112_trimmed_clipped_R1_paired	6646863.0	998695.0
GM112_trimmed_clipped_R2_paired	6607199.0	1038359.0
GM113_trimmed_clipped_R1_paired	6675525.0	1117387.0
GM113_trimmed_clipped_R2_paired	6640169.0	1152743.0
GM114_trimmed_clipped_R1_paired	6142096.0	947813.0
GM114_trimmed_clipped_R2_paired	6109873.0	980036.0
