Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
1	20949758.0	289.0	18004409.0	85.94	286.04	13988357.0	13414674.0	13825625.0	81932.0	2647.0	78153.0	0.65	0.03	2.74	0.03	2.32	595229.0	2.84	520.0	0.0	0.0	11.08	0.13	0	2322352	27248
10	19339200.0	287.0	16408658.0	84.85	283.94	9925074.0	9483133.0	9789211.0	50692.0	2312.0	82859.0	0.65	0.04	2.67	0.04	2.16	606126.0	3.13	884.0	0.0	0.0	11.86	0.15	0	2294512	29020
100	17598635.0	286.0	15535946.0	88.28	283.62	14385042.0	13889769.0	14225298.0	88524.0	2257.0	68963.0	0.6	0.03	2.78	0.02	2.13	483654.0	2.75	560.0	0.0	0.0	8.8	0.17	0	1548560	29915
107	16644121.0	287.0	14511845.0	87.19	286.0	16312129.0	15773807.0	16186065.0	72461.0	2990.0	50613.0	0.6	0.03	2.74	0.02	2.07	391335.0	2.35	403.0	0.0	0.0	10.35	0.1	0	1723882	16656
108	21854953.0	281.0	18044013.0	82.56	278.91	10104260.0	9666371.0	9946886.0	66688.0	2412.0	88274.0	0.66	0.05	2.91	0.04	2.04	697941.0	3.19	6362.0	0.03	0.0	13.99	0.23	0	3056389	50248
109	21549314.0	288.0	18806245.0	87.27	285.74	18680338.0	18060544.0	18515147.0	92272.0	3219.0	69700.0	0.63	0.02	2.7	0.03	2.42	587892.0	2.73	352.0	0.0	0.0	9.9	0.1	0	2133277	21548
11	21263712.0	289.0	18649802.0	87.71	285.62	16389297.0	15809630.0	16203287.0	93480.0	3151.0	89379.0	0.65	0.03	3.05	0.03	2.47	601835.0	2.83	541.0	0.0	0.0	9.34	0.12	0	1986018	25516
110	20895303.0	288.0	18481072.0	88.45	285.56	21418774.0	20701854.0	21195938.0	141040.0	4497.0	77299.0	0.61	0.03	2.9	0.02	2.46	575507.0	2.75	420.0	0.0	0.0	8.68	0.11	0	1815299	23005
116	15669846.0	287.0	13711969.0	87.51	284.38	12339990.0	11883632.0	12184222.0	80179.0	2366.0	73223.0	0.66	0.03	2.78	0.03	2.11	469731.0	3.0	927.0	0.01	0.0	9.31	0.18	0	1459010	28209
117	21747172.0	282.0	18825096.0	86.56	279.27	16307221.0	15702174.0	16127434.0	86751.0	3445.0	89591.0	0.63	0.04	2.99	0.03	2.24	657789.0	3.02	1044.0	0.0	0.0	10.24	0.16	0	2228424	34819
118	20765934.0	288.0	18219043.0	87.74	285.81	20272741.0	19453892.0	19994816.0	159425.0	4548.0	113952.0	0.66	0.03	2.76	0.02	2.11	757215.0	3.65	642.0	0.0	0.0	8.47	0.15	0	1757902	31132
119	22030026.0	289.0	19532311.0	88.66	286.71	25150614.0	24409195.0	24900165.0	164179.0	6845.0	79425.0	0.61	0.02	2.79	0.02	2.12	551416.0	2.5	366.0	0.0	0.0	8.73	0.1	0	1923895	22038
12	20415019.0	287.0	17549021.0	85.96	283.92	13002542.0	12518428.0	12846791.0	67900.0	2025.0	85826.0	0.66	0.04	2.79	0.04	2.74	643190.0	3.15	779.0	0.0	0.0	10.74	0.14	0	2193437	28592
120	20286050.0	287.0	17778361.0	87.64	284.3	15831360.0	15212668.0	15636035.0	100249.0	3861.0	91215.0	0.64	0.04	3.06	0.03	2.32	661179.0	3.26	866.0	0.0	0.0	8.91	0.19	0	1807109	38535
121	20817539.0	288.0	16344064.0	78.51	281.03	14427968.0	13922578.0	14174647.0	60756.0	3911.0	188654.0	1.55	0.16	3.03	0.14	3.44	1127056.0	5.41	1040.0	0.0	0.0	15.89	0.18	0	3307907	37472
127	22967867.0	288.0	19930306.0	86.77	285.12	18159250.0	17123517.0	17947568.0	111552.0	4098.0	96032.0	0.68	0.03	2.8	0.03	2.31	678739.0	2.96	1049.0	0.0	0.0	10.11	0.16	0	2321040	36733
128	9789159.0	290.0	8313232.0	84.92	286.46	6296750.0	5999037.0	6235080.0	28638.0	1290.0	31742.0	0.74	0.04	2.92	0.04	2.39	283952.0	2.9	270.0	0.0	0.0	12.02	0.15	0	1177017	14688
