Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
1	85.94	18004409.0
10	84.85	16408658.0
100	88.28	15535946.0
107	87.19	14511845.0
108	82.56	18044013.0
109	87.27	18806245.0
11	87.71	18649802.0
110	88.45	18481072.0
116	87.51	13711969.0
117	86.56	18825096.0
118	87.74	18219043.0
119	88.66	19532311.0
12	85.96	17549021.0
120	87.64	17778361.0
121	78.51	16344064.0
127	86.77	19930306.0
128	84.92	8313232.0
129	51.39	3614996.0
13	83.22	15192643.0
131	84.49	7357373.0
137	84.76	6772860.0
138	86.54	7126941.0
139	87.08	8226763.0
140	86.47	7978866.0
147	85.37	7216095.0
148	81.85	19903483.0
149	69.32	60097026.0
150	80.2	21199474.0
156	88.17	14218219.0
18	84.92	14813825.0
19	87.66	15352433.0
19-G	80.77	18168826.0
19-S	84.73	20014525.0
2	87.99	16937593.0
20	83.8	13923596.0
20-G	81.49	19269520.0
20-S	83.58	13582590.0
21	85.47	14639292.0
28	87.73	16252952.0
29	83.6	15478628.0
3	84.25	16960902.0
30	86.7	16904537.0
31	88.78	16683400.0
36	89.29	13168487.0
37	87.0	13981212.0
38	85.37	14824928.0
39	85.67	15226082.0
4	85.15	17497488.0
40	82.85	12929756.0
41	81.39	11904608.0
47	86.77	15795651.0
48	84.63	16315858.0
49	86.23	17102004.0
5	86.16	16858832.0
50	86.15	16076329.0
57	87.67	17044318.0
57-G	84.22	23758292.0
57-S	58.08	6692299.0
58	83.34	16036957.0
58-G	84.05	24252451.0
58-S	80.01	12029105.0
59	87.0	15965094.0
60	85.91	17238604.0
67	85.82	17187873.0
68	86.07	17400178.0
69	85.55	14792488.0
70	86.68	12857721.0
76	85.2	12213468.0
78	86.89	15389402.0
79	87.44	16368362.0
80	86.11	12506288.0
83	88.25	14381263.0
88	76.52	14831154.0
90	83.1	14723005.0
91	85.81	17075727.0
94	87.49	14465439.0
97	88.21	15538929.0
98	82.42	17530517.0
99	83.67	13730098.0
