ABLG,AlternateID.s.,CommonName,Phylum,Class,Order,Family,Genus,SpeciesName,Authority,DonatingLab,Collector.ind.,CollectionDate,CruiseID,HaulID,StationID,Equipment.Gear,Locality,Region,StartLatitudeDD,StartLongitudeDD,EndLatitudeDD,EndLongitudeDD,Depth.m.,Temp.degC.,Habitat,Length.mm.,Weight.g.,Age.yrs.,Sex,IdentifiedBy,ReceivedAs,OriginalPreservation,SpecimenLocation,SpecimenPreservation,TissueLocation,TissuePreservation,DNAextracted,ExtractionDate,ExtractionPlate,ExtractionWell,X.DNA.ng.ul,ExtractionVolume.ul.,DNAng,ExtractionGel,DNAquality,DNAlocation,Remaining.DNA.ng.ul,RemainingVolume.ul.,RemainingDNAng,Method,PrepDate,SeqPlateName,i5barcode,i7barcode,MiseqDate,MiseqRawDataLocation,NovaseqDate,NovaseqRawDataLocation,BioProject,BioSampleAccession,Publication.s.
2244,PCod2016_Prvnts_16W-259,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,F01,84.53,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,lcWGS,,,N513,N726,,NA,NA,NA,NA,NA,NA
2245,PCod2016_Prvnts_16W-260,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,G01,147.44,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,lcWGS,,,N506,N707,,NA,NA,NA,NA,NA,NA
2246,PCod2016_Prvnts_16W-261,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,H01,73.68,200,,yes,HMW bands and smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2247,PCod2016_Prvnts_16W-262,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,A02,33.27,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2248,PCod2016_Prvnts_16W-263,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,B02,32.53,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2249,PCod2016_Prvnts_16W-264,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,C02,24.12,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2250,PCod2016_Prvnts_16W-265,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,D02,34.39,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2251,PCod2016_Prvnts_16W-266,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,E02,49.23,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2252,PCod2016_Prvnts_16W-267,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,F02,40.89,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2253,PCod2016_Prvnts_16W-268,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,G02,37.03,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2254,PCod2016_Prvnts_16W-269,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,H02,35.99,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2255,PCod2016_Prvnts_16W-270,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,A03,31.19,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2256,PCod2016_Prvnts_16W-271,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,B03,44.1,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2257,PCod2016_Prvnts_16W-272,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,C03,30.27,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2258,PCod2016_Prvnts_16W-273,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,D03,33.03,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2259,PCod2016_Prvnts_16W-274,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,E03,21.64,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2260,PCod2016_Prvnts_16W-275,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,F03,21.76,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2261,PCod2016_Prvnts_16W-276,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,G03,25.46,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2262,PCod2016_Prvnts_16W-277,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,H03,33.88,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2263,PCod2016_Prvnts_16W-278,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,A04,20.04,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2264,PCod2016_Prvnts_16W-279,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,B04,20.96,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2265,PCod2016_Prvnts_16W-280,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,C04,42.1,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2266,PCod2016_Prvnts_16W-281,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,D04,63.45,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2267,PCod2016_Prvnts_16W-282,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,E04,29.95,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2268,PCod2016_Prvnts_16W-283,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,F04,54.96,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2269,PCod2016_Prvnts_16W-284,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,G04,30.99,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2270,PCod2016_Prvnts_16W-285,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,H04,44.33,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2271,PCod2016_Prvnts_16W-286,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,A05,62.42,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2272,PCod2016_Prvnts_16W-287,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,B05,29.16,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2273,PCod2016_Prvnts_16W-288,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,C05,40.9,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2274,PCod2016_Prvnts_16W-289,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,D05,55.53,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2275,PCod2016_Prvnts_16W-290,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,E05,50.06,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2276,PCod2016_Prvnts_16W-291,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,F05,62.4,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,lcWGS,,,N510,N727,,NA,NA,NA,NA,NA,NA
2277,PCod2016_Prvnts_16W-292,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,G05,32.05,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2278,PCod2016_Prvnts_16W-293,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,H05,83.56,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,lcWGS,,,N513,N726,,NA,NA,NA,NA,NA,NA
2279,PCod2016_Prvnts_16W-294,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,A06,82.77,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,lcWGS,,,N504,N706,,NA,NA,NA,NA,NA,NA
2280,PCod2016_Prvnts_16W-295,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,B06,53.27,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2281,PCod2016_Prvnts_16W-296,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,C06,38.73,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2282,PCod2016_Prvnts_16W-297,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,D06,70.51,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,lcWGS,4/19/2021,,N520,N722,,NA,NA,NA,NA,NA,NA
2283,PCod2016_Prvnts_16W-298,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,E06,51.78,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2284,PCod2016_Prvnts_16W-299,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,F06,26.48,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2285,PCod2016_Prvnts_16W-300,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,03/?/2016,,Zhemchug16w / Pervenets,2016.1,,Pervenets Canyon,Bering Sea,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,G06,39.05,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2286,PCod2004_HcteSt_01,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,,CSG0083,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,H06,167.05,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N511,N721,,NA,NA,NA,NA,NA,NA
2287,PCod2004_HcteSt_02,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,,CSG0083,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,A07,104.1,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N520,N721,,NA,NA,NA,NA,NA,NA
2288,PCod2004_HcteSt_03,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,,CSG0083,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,B07,110.1,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N504,N712,,NA,NA,NA,NA,NA,NA
2289,PCod2004_HcteSt_04,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,,CSG0083,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,C07,170.63,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N511,N721,,NA,NA,NA,NA,NA,NA
2290,PCod2004_HcteSt_05,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,,CSG0083,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,D07,54.41,200,,yes,HMW bands and smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2291,PCod2004_HcteSt_06,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,,CSG0083,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,E07,111.74,200,,yes,HMW bands and smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2292,PCod2004_HcteSt_07,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,,CSG0083,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,F07,153.57,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N501,N703,,NA,NA,NA,NA,NA,NA
2293,PCod2004_HcteSt_08,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,,CSG0083,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,G07,105.9,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N504,N710,,NA,NA,NA,NA,NA,NA
2294,PCod2004_HcteSt_09,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,,CSG0083,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,H07,>210.000,200,,yes,no HMW bands and smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2295,PCod2004_HcteSt_10,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,,CSG0083,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,A08,56.25,200,,yes,HMW bands and smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2296,PCod2004_HcteSt_11,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,,CSG0083,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,B08,64.29,200,,yes,HMW bands and smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2297,PCod2004_HcteSt_12,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,,CSG0083,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,C08,59.04,200,,yes,HMW bands and smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2298,PCod2004_HcteSt_13,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,,CSG0083,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,D08,108,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N521,N721,,NA,NA,NA,NA,NA,NA
2299,PCod2004_HcteSt_14,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,,CSG0083,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,E08,56.15,200,,yes,HMW bands and smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
2300,PCod2004_HcteSt_15,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,,CSG0083,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2016_2004_07,F08,87.79,200,,yes,HMW bands and smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
