ABLG,AlternateID.s.,CommonName,Phylum,Class,Order,Family,Genus,SpeciesName,Authority,DonatingLab,Collector.ind.,CollectionDate,CruiseID,HaulID,StationID,Equipment.Gear,Locality,Region,StartLatitudeDD,StartLongitudeDD,EndLatitudeDD,EndLongitudeDD,Depth.m.,Temp.degC.,Habitat,Length.mm.,Weight.g.,Age.yrs.,Sex,IdentifiedBy,ReceivedAs,OriginalPreservation,SpecimenLocation,SpecimenPreservation,TissueLocation,TissuePreservation,DNAextracted,ExtractionDate,ExtractionPlate,ExtractionWell,X.DNA.ng.ul,ExtractionVolume.ul.,DNAng,ExtractionGel,DNAquality,DNAlocation,Remaining.DNA.ng.ul,RemainingVolume.ul.,RemainingDNAng,Method,PrepDate,SeqPlateName,i5barcode,i7barcode,MiseqDate,MiseqRawDataLocation,NovaseqDate,NovaseqRawDataLocation,BioProject,BioSampleAccession,Publication.s.
1938,"HS04-60,PCod2004_HcteSt_60",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,D02,202.79,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N515,N721,,NA,NA,NA,NA,NA,NA
1939,"HS04-61,PCod2004_HcteSt_61",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,E02,70.33,200,,yes,HMW bands and smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
1940,"HS04-62,PCod2004_HcteSt_62",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,F02,100.89,200,,yes,HMW bands and smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
1941,"HS04-63,PCod2004_HcteSt_63",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,G02,135.55,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N503,N710,,NA,NA,NA,NA,NA,NA
1942,"HS04-64,PCod2004_HcteSt_64",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,H02,124.67,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N511,N718,,NA,NA,NA,NA,NA,NA
1943,"HS04-65,PCod2004_HcteSt_65",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,A03,196.76,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N507,N702,,NA,NA,NA,NA,NA,NA
1944,"HS04-66,PCod2004_HcteSt_66",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,B03,105.9,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N504,N707,,NA,NA,NA,NA,NA,NA
1945,"HS04-67,PCod2004_HcteSt_67",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,C03,183.46,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N503,N701,,NA,NA,NA,NA,NA,NA
1946,"HS04-68,PCod2004_HcteSt_68",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,D03,90.7,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N517,N721,,NA,NA,NA,NA,NA,NA
1947,"HS04-69,PCod2004_HcteSt_69",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,E03,96.3,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N506,N703,,NA,NA,NA,NA,NA,NA
