""	"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"1"	"p4htmb"	76.9989056841628	0.644811938710979	0.218272381521534	2.95266211558321	0.00315046595016966	0.0124728873016269
"2"	"zc3h11a"	876.905211237686	0.67686155956836	0.167596731486608	4.03840656412457	5.38155211690456e-05	0.000471121273432815
"3"	"LOC132465678"	11.7745945774227	1.17666855691828	0.259181893305134	4.51639751280097	6.2900538176643e-06	7.87515289435856e-05
"4"	"LOC132465686"	153.292567234233	0.637573728171594	0.162569555909732	3.92172160079371	8.79185394449117e-05	0.000697291598243788
"5"	"ppil1"	144.915457907868	-0.638101384607215	0.154592516533138	-4.12802147909654	3.65897943342571e-05	0.000343097321663047
"6"	"sfi1"	39.4638755896869	0.937805634962503	0.171738230189433	5.44932813266508	5.05604552661805e-08	1.38122403783656e-06
"7"	"si:ch211-117k10.3"	77.8234702402654	0.833724066772971	0.210221175599376	3.96337069807602	7.38988965818982e-05	0.000606691131728167
"8"	"LOC132466400"	172.082891741957	1.01639049612427	0.171108391992727	5.93705329894965	2.90190350089809e-09	1.14388620065293e-07
"9"	"LOC132466526"	776.529865231618	-0.756736757330496	0.194648106325012	-3.88810794616969	0.000101028696307471	0.000776641371826269
"10"	"mapkapk3"	15.8677950025614	-0.605976656417907	0.219668999650606	-2.75345122277014	0.00589705569418707	0.0205829378969869
"11"	"ccdc3b"	52.5190639766746	-0.669146025053668	0.213587017194546	-3.13398334647066	0.00172450642934009	0.00777851065423116
"12"	"LOC132466892"	36.6215221197226	-1.43495420448683	0.238026199516842	-6.02841367419761	1.65576797984751e-09	6.9821425336244e-08
"13"	"LOC132460115"	39.8173862810042	-0.643641718762865	0.247925203733551	-2.59785136497559	0.00938090903292742	0.0295311342082563
"14"	"ada"	14.1455353424803	-0.678660491775731	0.245093840379845	-2.76751346510754	0.00564857120049214	0.0198734353224203
"15"	"hnf4a"	3078.74991992299	-0.852027377898257	0.194686771875325	-4.37673038958593	1.2047284127424e-05	0.000135576341002647
"16"	"jph2"	34.5189540313015	-1.66722169825646	0.190899733387721	-8.69685293453574	3.41215199796805e-18	1.20723602152499e-15
"17"	"LOC132460936"	796.559881993301	-0.896831258635657	0.12688868949702	-7.06759272851515	1.57644404122661e-12	1.51443028225386e-10
"18"	"ccnt1"	128.176257389073	-0.584455405896658	0.170104427120652	-3.43641051671107	0.000589477042505269	0.00327121422286972
"19"	"LOC132460950"	20.4492298151594	0.811658867523159	0.2480158173146	3.26450207245556	0.00109656660815028	0.00541784578263896
"20"	"hsd17b10"	408.3802524001	0.817215093209972	0.156637777507616	5.21643136345023	1.82403120227893e-07	4.14724084957025e-06
"21"	"LOC132460145"	70.9147037240009	3.22678096259868	0.217675249644947	14.5746795663058	4.07027948647269e-48	2.95217371153864e-44
"22"	"LOC132460863"	4352.10832806623	0.7529574966004	0.11730547743463	6.41873063490123	1.37415303436067e-10	7.55055451380148e-09
"23"	"si:dkey-150i13.2"	186.211766594059	-0.610873612313172	0.291419087661217	-3.74103048684736	0.000183267285995942	0.00127092482636936
"24"	"flna"	386.608136065874	-0.815142036700651	0.136240917409341	-5.98259719722444	2.19607381278276e-09	8.87360633098235e-08
"25"	"snrpg"	667.269578956379	-0.610259547248168	0.158192375915072	-3.85786771835933	0.000114380520209704	0.000854819075817599
"26"	"pofut1"	333.525719115963	-0.805262572995847	0.213500615437759	-3.77255123288942	0.000161586772418382	0.00114284628020529
"27"	"slco4a1"	12.6918573138547	-0.811999561396898	0.223580524347791	-3.6255731958465	0.000288321213697439	0.0018370832793057
"28"	"slc26a10"	20.018844255645	-0.64495189788776	0.241918933093583	-2.66847807479042	0.00761957514733298	0.0251775756462898
"29"	"dhh"	122.559101891567	1.21817268833034	0.114407752875995	10.6395046839805	1.95164044416696e-26	2.1777304833143e-23
"30"	"ikzf4"	54.9998995370999	0.960531663339783	0.15804377764358	6.07061314459525	1.27422803882331e-09	5.55073631566696e-08
"31"	"pa2g4b"	13317.9068457819	-0.996582562650858	0.212933448411384	-4.68128930107781	2.85076298762893e-06	4.12294794601648e-05
"32"	"mfsd5"	105.604660409975	0.720787899556125	0.143107697578299	5.03415483951298	4.79961616853951e-07	9.34540028736028e-06
"33"	"rarga"	13.3154541362046	-0.717949798156706	0.243714642558	-2.94255762754195	0.00325513195166899	0.0128103483697532
"34"	"LOC132467634"	25.538935052121	-0.925480125789642	0.213376872666346	-4.33338735536883	1.4683242571951e-05	0.000159906243805346
"35"	"LOC132453605"	74.848016680022	-0.76854575661715	0.17855193979515	-4.30536073585955	1.6671384326681e-05	0.000179137111883581
"36"	"LOC132473952"	86.0798457829324	0.717931953691714	0.146198522062836	4.91008004809279	9.10392224764123e-07	1.60854441077081e-05
"37"	"racgap1"	21.8512390926345	-1.5976940355683	0.245864644963224	-6.48253978382193	9.0191291218693e-11	5.21240984230422e-09
"38"	"cd63"	3631.81413716337	-0.995952223881489	0.246472032743179	-4.04426205242635	5.24881854327741e-05	0.000461650489425076
"39"	"slc52a3"	151.463266665589	0.822266717435893	0.204970470932244	4.01081108722863	6.05105136063734e-05	0.000517550418852626
"40"	"LOC132457594"	878.668715675958	-0.651903631184448	0.148597458370353	-4.3871505984692	1.14845274270737e-05	0.000130050394111734
"41"	"dnmt3ba"	44.5031738643998	0.659106009747408	0.151479733967326	4.34757478265642	1.37651143715306e-05	0.000152076731967572
"42"	"LOC132459447"	39.0456550533386	0.930689376065383	0.180205442431637	5.15552780572949	2.52917505982163e-07	5.44335510649445e-06
"43"	"LOC132460294"	10.7511801188849	-1.31508801381593	0.24268093826854	-5.39098520293407	7.00724451741561e-08	1.84477475443976e-06
"44"	"mfsd2al2"	39.7057882598722	-0.796283958238889	0.21311286125801	-3.73616113548047	0.000186850958687142	0.00128885402126281
"45"	"tnfrsf9a"	430.241875534817	-0.775967375640557	0.241418941023077	-3.21545877393205	0.0013023619991618	0.00619006001305407
"46"	"ccdc187"	649.323167862298	-0.879610616633938	0.195746357627908	-4.49395120732228	6.99136541051091e-06	8.61654601910546e-05
"47"	"LOC132465245"	271.616315905849	-0.709121410486128	0.201157030924627	-3.52583390552559	0.000422151636761084	0.00249439170788443
"48"	"lemd1"	18.1958400431535	0.722254932992352	0.23560621887128	3.05727567339439	0.00223358754656682	0.00951554212936809
"49"	"pm20d1.2"	151.798906140035	-0.902016893913494	0.211169096458449	-4.27259013988344	1.93215406664538e-05	0.000202366981160707
"50"	"LOC132465765"	7388.78912029838	-0.664568858664656	0.123895925425128	-5.36394118575859	8.14254264778244e-08	2.07584751579494e-06
"51"	"LOC132467997"	20.1680732647704	1.39170164242476	0.218421525519206	6.32712816445517	2.49765899514694e-10	1.31749241394915e-08
"52"	"LOC132470949"	156.707094728718	-0.682158586188626	0.134292842122554	-5.07905675581048	3.79313391210516e-07	7.68480454315606e-06
"53"	"LOC132470090"	95.7688488639066	-0.600194330525956	0.159622080863009	-3.76030802059904	0.000169704269762837	0.00119327684788159
"54"	"LOC132470399"	11.6332309325165	-0.796103130889393	0.226245425113895	-3.51392335563411	0.000441540193109429	0.0025802254598246
"55"	"scube3"	93.2681137595015	-0.866885770023366	0.173877718633468	-4.9837669851725	6.23581692878179e-07	1.17476312167414e-05
"56"	"si:ch73-217n20.1"	76.875497655123	-1.2144489734184	0.207202477161168	-5.85777265505509	4.69116236745118e-09	1.75386601294451e-07
"57"	"LOC132472690"	1089.9562567452	0.8501787140991	0.144779144151403	5.87213131016223	4.3022774761337e-09	1.62947355271007e-07
"58"	"prim1"	10.3736576270748	-0.602364177158849	0.227358812845354	-2.64623974595265	0.00813921083179268	0.0264369440944883
"59"	"rbm38"	27.7503405323681	-0.774368281318711	0.230308890236325	-3.36245346153168	0.000772531467120405	0.00408692248798271
"60"	"zgc:113278"	10.6785783481247	0.728289673942018	0.199010840915727	3.64408864547704	0.000268340930561025	0.00173774711549921
"61"	"LOC132447667"	24.220562582495	0.976918679788852	0.201787549952656	4.82887247594835	1.37308302025238e-06	2.261933072339e-05
"62"	"cnbpa"	2330.32352030947	-0.595397049583584	0.130727485703928	-4.55452387246204	5.25043623416204e-06	6.81241753244675e-05
"63"	"LOC132449284"	588.284039809581	0.665665221708241	0.132220030524207	5.03425069083369	4.79721549692748e-07	9.34540028736028e-06
"64"	"nup210"	148.022127510133	-0.94627623481896	0.208409483101084	-4.54110963109425	5.59589217047291e-06	7.14559963247183e-05
"65"	"fbxw12"	31.7182996106068	0.606552727392494	0.198136907019555	3.05664275667959	0.00223830867481539	0.00953005742203464
"66"	"LOC132450956"	464.216163346125	-0.671822201802791	0.228014733196545	-2.94718165613348	0.00320684755430743	0.0126477788533941
"67"	"fgd"	15.341356885561	-0.88004475351572	0.220614630517462	-3.98301143115577	6.80474811642887e-05	0.000567006769643096
"68"	"LOC132460336"	35.6322761479038	-0.826593474244363	0.169143909441781	-4.88384146062745	1.04038737213927e-06	1.81392538704954e-05
"69"	"LOC132451183"	341.408688237883	1.14921172919579	0.195544726234087	5.87643140049825	4.19205006454523e-09	1.59188162922233e-07
"70"	"nr2c2"	158.069784489676	-0.654030484320832	0.198478664608664	-3.29584527247121	0.000981260426424019	0.0049475716877674
"71"	"LOC132460352"	128.94886195051	0.722669300354094	0.190258078289148	6.51365603621381	7.33433405680229e-11	4.41459957792423e-09
"72"	"qars1"	108.685193144973	-0.714971196249765	0.196915000206737	-3.6316403172475	0.000281625461338937	0.00180285037166047
"73"	"slc12a5b"	241.902027735726	-0.708659202188131	0.129579845544406	-5.46838328317413	4.54158971614168e-08	1.26449712902786e-06
"74"	"LOC132453482"	1055.07969764641	0.677263219251495	0.112203810068234	6.03590517560477	1.58074062325315e-09	6.70474370786848e-08
"75"	"LOC132453626"	1978.61420043349	-0.74596552427982	0.205400196063139	-3.6321700034761	0.000281047861486763	0.00180074217258259
"76"	"kctd6b"	111.290855663482	-0.67797910799025	0.190420024983382	-3.56123411622772	0.000369115771913955	0.00223317757190943
"77"	"LOC132453662"	1065.17466121151	-0.651058406674003	0.217520516515342	-2.99355540332728	0.00275747439068519	0.0112044603673051
"78"	"LOC132453466"	30.4503787570834	-0.695891417460778	0.159806776460261	-4.35230966213405	1.34710809174051e-05	0.000149055301134919
"79"	"taf8"	2460.40881239514	-1.14536348975041	0.233360275185316	-4.91127836776872	9.04845233023115e-07	1.60069328661382e-05
"80"	"LOC132453960"	118.74376380925	0.839007955751555	0.256299475013733	3.27548972539134	0.00105478951090242	0.00524358349730998
"81"	"LOC132453948"	69.7843833159183	-0.752258957626959	0.234069416002887	-3.21557549896203	0.00130183245863393	0.00618957117172855
"82"	"nfatc2a"	95.8517742219817	-1.2531687491919	0.228160496560542	-5.49505980304435	3.9057803358257e-08	1.10658690530249e-06
"83"	"LOC132454052"	28.0528223907728	-0.94262952331242	0.18322771491833	-5.13955010720939	2.7539704800975e-07	5.79812710947669e-06
"84"	"LOC132454074"	41.8284684180023	-1.22348575576985	0.207838498220794	-5.88278779652747	4.03413014958234e-09	1.5399761039432e-07
"85"	"LOC132454207"	75.3927766180986	-0.706357529523531	0.202699582640957	-3.48581929410917	0.000490632313915062	0.00281353052898392
"86"	"cd40"	164.616076840762	0.599624987029075	0.136508578145808	4.39275466143741	1.11923407412729e-05	0.000127738862936982
"87"	"klhl21"	16.51580898328	0.609653056701599	0.251267116433537	2.42190506874953	0.0154393832371359	0.044009371829022
"88"	"c1qtnf12"	20.0612638370034	-0.674966117435537	0.209267121479537	-3.22080708127452	0.00127830164491062	0.00609167005948539
"89"	"LOC132454526"	194.592446766797	-1.06969658296574	0.171667792496563	-6.23055898541454	4.6477378942804e-10	2.25485237105122e-08
"90"	"LOC132454637"	101.793580982469	-1.61160042367007	0.266033871248403	-6.08560749183607	1.16050432626457e-09	5.16388826895515e-08
"91"	"si:ch73-206d17.1"	124.772745323741	0.589352410457149	0.145405158267124	4.0524278224747	5.06888644745354e-05	0.000449170841825052
"92"	"magi3a"	40.304967073384	0.615354419334198	0.172699125840168	3.55988140036136	0.000371022318177131	0.00224069331961571
"93"	"phlda3"	27.2481083434608	-0.786243291966086	0.193527118834076	-4.05763949056599	4.95712098530149e-05	0.000441966791719628
"94"	"LOC132454652"	159.348898284482	-1.12716657548611	0.227051767207714	-4.96665894262778	6.81162281804943e-07	1.26562774382844e-05
"95"	"ube2t"	16.083049570197	-1.27318256617905	0.214461087965131	-5.91568553846024	3.30496112919185e-09	1.28533230155795e-07
"96"	"LOC132454772"	220.957764159518	-0.596260879635653	0.183900005700889	-3.24258157118293	0.00118452034554187	0.00575345851530081
"97"	"LOC132455198"	32.857190224145	-0.636338951788463	0.236769582529016	-2.6884020664119	0.00717948919638976	0.024033673810351
"98"	"LOC132455102"	9.41818612981065	-0.877441755442154	0.271489861374083	-3.22420124250853	0.00126324591617554	0.00603181213299617
"99"	"LOC132455209"	13.4328842054953	-0.677323394395359	0.249830260181516	-2.71400796968615	0.0066474566967176	0.0226345821526035
"100"	"LOC132455819"	364.204499474685	-0.792076620039238	0.246538086767082	-3.21488285835134	0.0013049776375065	0.00619437356337348
"101"	"LOC132456024"	20.5540299401876	-0.86537549532465	0.212556259094356	-4.07102537871323	4.68066491524961e-05	0.000420940640177376
"102"	"slmapb"	9.8092157549965	-1.059720446632	0.247544244333078	-4.26399995620823	2.00799482530511e-05	0.000208802673375455
"103"	"ampd2b"	26.1172469814424	0.718961783189976	0.220200449145521	3.26172844857165	0.00110735166060714	0.00545256048498546
"104"	"atxn7l2b"	201.173043420716	-0.789246813033397	0.183485769736832	-4.30172466770835	1.69473818475827e-05	0.000181833373580647
"105"	"LOC132456286"	43.1955430010327	0.757662992038656	0.197534768192804	3.83338451283366	0.000126392152853201	0.000928796640976967
"106"	"elapor1"	12.1400243707207	-1.01399571024872	0.277689965349078	-3.66534654254383	0.000247003887193932	0.00161835518863377
"107"	"inavaa"	25.5872240490767	-0.884615573052452	0.218700700046474	-4.04425249216107	5.24903270707798e-05	0.000461650489425076
"108"	"LOC132456529"	63.7829189322904	-0.607045279082742	0.132640035555691	-4.57528885562527	4.75563378087373e-06	6.2656878860449e-05
"109"	"troap"	13.2200710855043	-1.42455426130733	0.249362909741976	-5.67925950121958	1.35279110630631e-08	4.55303660976317e-07
