Cold_Downregulated	Cold_Upregulated	Cool_Downregulated	Cool_Upregulated	Warm_Downregulated	Warm_Upregulated
132464430	132464874	132464874	132464503	132464503	132464547
132464503	132465133	132465678	132464547	132465133	132464940
132464940	132465153	132466073	132464940	132465186	132466135
132465105	132465769	132466238	132465626	132465594	132466017
132465535	132465678	132466322	132465997	132465678	132465822
132465607	132466135	132466424	132466537	132465686	132466066
132465626	132466025	132461073	132466614	132465897	132466033
132465764	132466017	132460936	132466849	132466238	132466424
132465638	132466073	132461254	132461068	132466400	132466526
132465650	132466257	132461117	132461367	132460849	132466696
132465662	132466238	132460885	132460115	132460821	132466849
132465766	132466360	132467556	132460849	132460950	132461068
132465845	132466322	132445430	132460892	132461194	132466892
132465997	132466366	132453899	132460659	132460145	132461367
132466066	132466386	132453579	132460796	132460863	132460115
132466033	132466424	132454968	132460145	132467373	132461073
132466537	132466438	132463927	132461233	132467383	132460892
132466504	132466790	132466447	132460993	132467425	132460659
132466758	132461341	132472403	132461019	132467549	132460936
132466614	132460810	132472999	132467366	132467540	132460696
132466644	132461367	132445960	132467373	132455110	132460796
132466605	132460936	132445809	132467549	132473952	132460128
132466849	132461254	132447957	132467744	132449792	132461002
132461068	132460639	132450281	132455554	132453470	132461125
132460849	132461194	132450695	132457166	132456252	132460562
132460892	132461201	132453199	132459169	132457106	132460885
132461177	132461319	132452395	132464664	132458180	132461357
132460659	132460978	132453378	132465765	132459245	132461019
132461225	132461357	132453626	132465631	132459447	132467168
132461154	132466954	132454283	132467997	132463509	132467117
132460984	132467117	132454595	132470399	132464004	132467397
132460145	132467397	132454581	132471536	132465836	132467496
132461209	132467472	132455008	132471973	132466376	132467472
132460739	132467556	132454917	132472690	132467997	132467627
132461233	132467746	132455543	132473623	132472690	132467634
132460993	132445430	132455553	132446071	132447667	132453605
132467366	132458472	132455565	132446147	132450203	132469777
132467373	132453402	132455814	132450956	132449284	132453579
132467383	132454316	132455962	132451183	132450695	132454895
132467549	132454391	132456126	132453023	132451183	132455405
132467634	132454814	132456336	132460352	132460352	132457594
132467563	132454968	132456494	132453106	132452470	132459169
132467693	132455331	132461869	132453405	132453362	132460294
132467744	132456452	132461750	132453724	132453482	132460108
132460399	132457836	132461976	132453733	132453724	132463364
132467868	132458180	132462030	132453925	132453960	132464091
132471725	132459169	132457167	132453985	132454227	132464738
132449792	132460294	132457221	132454045	132454283	132464849
132453579	132460108	132457581	132454074	132454581	132464664
132454516	132460561	132457762	132454197	132460401	132465120
132454895	132462089	132457758	132454526	132455398	132465245
132455405	132464004	132458060	132454637	132456126	132465704
132455554	132463927	132462608	132454519	132456286	132465765
132455627	132464091	132462704	132454643	132461626	132466447
132456121	132465245	132462799	132454772	132461892	132470949
132456252	132465704	132462892	132455177	132461869	132470090
132457106	132466447	132462597	132455102	132461440	132470399
132457166	132466865	132458456	132455209	132456737	132460257
132457335	132470563	132464003	132455725	132456873	132471536
132459245	132468934	132463197	132455819	132456916	132471973
132459008	132472403	132464403	132455912	132457030	132445809
132464849	132472999	132458906	132456286	132457522	132446071
132464664	132473155	132459423	132456279	132457996	132450281
132465836	132473332	132459247	132456389	132463922	132449190
132465765	132445960	132459305	132467855	132462348	132460305
132466628	132445809	132459401	132456535	132462521	132450956
132467616	132446410	132459508	132461602	132462876	132451112
132467924	132447299	132459522	132461967	132462173	132460336
132467997	132447957	132463705	132461756	132462836	132452802
132468631	132450281	132463547	132461991	132462436	132452395
132469376	132449190	132463526	132461569	132463969	132453106
132470399	132452662	132459697	132461880	132458330	132453378
132471536	132452729	132459860	132461660	132458515	132453626
132473400	132452395	132474678	132456666	132458456	132453637
132446071	132452470	132470116	132456721	132458537	132453662
132447391	132453309	132474231	132457275	132464003	132453466
132448972	132453378	132470460	132457412	132463117	132453852
132460305	132453482	132470533	132457598	132463281	132453917
132450956	132453428	132470302	132457769	132463223	132453925
132460336	132454371	132470106	132457749	132459423	132453948
132453074	132454572	132470597	132463858	132459345	132454013
132460352	132454643	132470702	132457697	132459247	132454052
132453405	132454992	132470137	132458069	132459305	132454045
132453466	132454998	132471089	132462824	132459401	132454074
132453420	132454835	132471639	132462876	132459465	132454197
132453714	132455198	132474999	132462774	132459494	132454207
132453724	132455146	132474322	132462222	132459530	132454317
132453743	132455107	132472452	132458526	132464133	132454358
132453733	132455102	132471900	132463997	132463355	132454408
132453925	132455391	132472071	132463180	132459674	132454526
132453948	132455484	132471851	132463046	132474703	132454637
132454013	132455543	132471860	132463059	132470674	132454627
132454074	132455553	132471836	132463097	132474215	132454519
132454197	132455642	132475460	132463127	132474231	132454652
132454207	132455629	132475686	132463275	132470126	132454643
132454249	132455620	132475710	132458851	132470460	132454998
132454478	132456126	132445488	132458866	132470302	132455008
132454526	132456336	132475928	132464110	132470366	132454772
132454627	132456369	132445438	132459106	132470106	132454987
132460417	132456404	132445950	132459117	132470604	132455198
132454754	132456483	132445986	132463330	132470642	132455107
132455085	132462125	132474383	132463599	132470292	132455102
132455072	132461626	132446063	132464178	132470142	132455209
132455209	132461757	132446314	132464193	132470137	132455516
132455516	132461750	132446457	132459818	132474819	132455495
132455398	132461765	132446495	132474215	132474833	132455553
132455564	132462030	132446866	132470727	132470777	132455819
132455665	132456820	132447961	132470326	132471587	132455952
132455819	132456873	132472535	132470542	132470752	132456024
132455952	132457156	132472640	132474819	132471347	132456091
132455912	132457160	132472485	132474824	132474909	132456279
132455931	132457167	132448202	132474833	132474990	132456404
132455962	132457175	132448243	132471307	132475040	132456389
132456024	132457221	132448623	132471008	132475057	132456535
132456189	132457292	132448889	132470757	132475060	132456529
132456183	132457362	132449056	132471379	132475251	132456494
132456286	132457358	132449399	132474292	132472452	132461602
132456279	132457374	132451380	132471572	132475302	132462125
132467855	132457589	132451542	132471623	132471851	132461757
132456535	132457758	132451592	132474932	132472011	132462107
132456494	132457854	132451758	132475063	132471800	132461936
132456600	132457901	132452248	132475040	132472108	132461967
132456453	132457909	132452639	132475268	132471941	132461928
132461602	132458021	132469866	132475343	132471836	132461805
132462085	132458181	132473739	132471953	132472025	132461991
132461892	132462608	132469958	132475415	132475672	132461569
132462107	132462704	132473562	132475763	132475460	132461880
132461967	132462206	132453068	132475454	132475567	132461660
132461898	132462836	132453069	132475439	132475686	132461765
132461756	132462799	132453086	132475425	132475928	132462030
132461880	132462892	132453296	132475559	132445729	132456647
132456647	132462597	132453290	132475827	132446099	132456666
132456737	132458382	132453308	132445479	132446314	132456721
132456916	132458601	132453819	132445620	132446395	132456820
132463794	132464003	132453826	132445444	132474405	132457167
132457412	132463170	132453829	132446140	132446621	132457362
132457522	132464403	132453879	132446226	132447066	132457358
132457621	132458906	132453880	132446405	132447072	132457374
132457725	132459081	132453914	132446719	132474431	132457412
132457769	132459184	132453918	132446744	132447413	132457516
132457749	132459423	132453935	132446773	132447619	132457448
132463858	132459508	132453939	132446833	132447705	132457598
132457697	132459537	132453942	132446834	132448043	132457762
132458060	132459522	132453946	132474408	132472535	132457863
132458029	132459641	132453966	132446859	132448158	132457854
132458069	132459668	132453975	132446989	132472567	132457980
132458208	132463547	132453988	132447072	132472661	132458060
132462824	132463526	132453989	132447235	132472634	132462824
132462536	132463570	132453994	132447398	132448202	132463946
132462682	132459768	132453996	132448014	132448325	132462774
132462815	132459747	132454027	132453128	132448418	132462757
132463946	132474678	132454041	132472717	132448357	132462749
132462774	132474713	132454124	132448420	132448660	132462614
132462749	132470573	132454128	132448584	132448623	132458526
132462222	132470116	132453437	132448670	132448670	132458489
132462764	132470230	132453429	132448639	132448812	132458382
132458414	132474224	132453406	132449124	132449014	132463987
132458526	132474231	132454158	132449195	132449587	132463997
132458398	132470126	132454214	132449159	132449850	132458553
132463180	132470460	132454234	132449395	132449973	132463180
132463228	132470402	132454250	132449411	132450139	132463143
132463143	132470444	132454267	132449628	132450220	132463197
132464036	132470533	132454257	132449973	132450697	132463059
132458729	132470302	132453742	132449987	132450709	132463092
132463275	132470501	132454258	132450208	132472848	132463127
132458812	132470106	132454272	132450214	132472964	132464051
132458823	132470597	132454291	132450220	132472879	132458782
132458838	132474260	132454303	132450382	132451368	132464062
132458851	132470604	132454309	132450843	132451630	132463275
132459117	132470727	132453689	132472848	132451542	132458838
132459276	132470702	132454335	132472964	132451551	132458937
132459412	132470137	132454343	132473234	132451484	132458851
132459561	132471190	132454347	132451167	132451412	132464110
132463355	132471089	132454348	132451243	132452103	132459106
132459567	132471198	132454427	132473192	132452271	132459184
132463621	132471099	132454459	132472829	132452324	132459419
132463330	132471252	132453526	132451329	132452392	132459508
132463599	132471677	132453521	132451609	132452455	132459537
132463523	132472375	132453523	132451567	132452703	132459567
132459658	132472452	132453514	132451737	132469958	132463705
132464169	132471820	132454460	132452165	132453031	132464178
132464178	132472064	132454505	132452271	132453030	132464189
132463691	132471791	132454514	132452417	132473894	132459860
132459829	132471860	132454535	132452431	132473494	132459818
132459818	132472386	132454539	132452448	132453069	132474678
132474729	132475731	132454552	132452513	132453084	132474193
132470252	132475531	132454549	132469846	132453081	132474209
132470163	132475686	132454558	132473325	132453094	132470573
132470542	132445508	132453574	132473404	132453284	132474224
132470142	132445523	132453549	132473328	132453337	132470402
132474819	132445488	132454590	132452990	132453333	132470597
132474824	132475928	132454591	132453004	132453287	132474260
132474833	132445718	132454616	132470011	132453290	132470727
132471307	132445871	132454638	132453043	132453314	132470148
132471008	132445782	132454185	132453050	132453320	132474824
132470757	132445700	132454644	132453056	132453657	132471221
132471659	132445673	132454645	132453284	132453815	132470757
132471379	132474383	132454657	132453277	132453907	132471484
132471321	132446063	132454686	132453376	132453918	132470872
132471572	132446154	132454708	132453307	132453913	132471198
132471604	132446188	132454703	132453657	132453944	132471379
132471523	132446263	132454195	132453784	132453716	132474292
132471623	132446314	132454701	132453803	132453969	132471572
132470752	132446425	132453607	132453815	132453973	132471531
132471026	132446457	132453595	132453810	132453988	132471677
132474919	132446449	132454729	132453835	132453990	132474848
132474932	132474405	132454739	132453883	132453994	132474903
132474999	132446481	132454737	132453876	132453996	132474932
132475063	132446509	132454741	132453884	132454009	132474951
