Cold_Downregulated	Cold_Upregulated	Cool_Downregulated	Cool_Upregulated	Warm_Downregulated	Warm_Upregulated
Q98989	Q80XI4	Q9DED4	Q5R9K1	Q8R5L3	Q8N8Q3
Q8MIB3	B1AR13	P83571	Q8TCJ2	P57105	Q62443
A7UA95	Q56A18	O95235	Q5RBD3	Q5R9E6	O73817
O95872	Q8JFQ6	P51464	O15072	Q0VCM4	P55197
Q99LL3	Q8BGY9	O43719	Q9ESG5	Q3V3Q7	P24854
P10253	Q3SWZ4	Q99KK7	P28652	Q5RDP8	Q6DI06
Q80VC9	Q9BXJ9	Q8WY07	Q4VBE4	Q7M753	Q8QGP3
Q7SXX7	P79942	Q0II29	Q5M8Z0	Q9WU60	Q99068
Q05793	Q6DI06	Q8VEJ4	Q9R0D8	P47968	P35748
Q9NZ01	Q9NQZ8	Q9NYT6	Q06725	Q9D0R9	Q5ZJ24
P98093	Q90XE6	Q9H6U8	Q5RAD6	P57781	P68563
Q6GV29	Q9UJY5	Q5PQJ7	Q9CQ52	Q0V9W6	Q9ESN5
Q6PE18	Q99807	Q7ZUW2	Q90W33	Q8BH83	P21328
Q9DAA6	Q9D662	P08108	Q7TSV9	Q6ZNE5	Q9JIH7
P54777	Q6GQT9	Q90773	Q17QD9	P0C870	Q8NFH4
Q9BRR3	Q6NS46	Q9ULJ3	Q3U288	A4IGP0	Q1RMA6
Q90ZE4	Q15542	P57071	O42494	Q803A0	Q02815
O43815	Q8K4Y7	A2CES0	Q2KIX1	Q91287	P62321
A3KP37	P20825	Q8BHX1	Q62441	Q00IB7	Q16827
Q5FWF7	Q8JFQ6	Q66HR2	Q3UF64	Q95JP6	Q8K4B2
Q4V8E6	Q17QJ7	Q5R5U3	Q8NAP1	Q9WUW8	Q5ZM35
Q9QXV1	A9JRE2	Q86YT5	Q7SXB3	Q96WV6	O95461
Q6DFR5	P21328	Q9CPW7	Q802G7	Q91453	Q9D2R8
Q8IWB9	Q95P23	Q6P026	P18163	Q03637	P10620
Q8VI51	Q1XHU0	P16617	Q9GKU1	Q6R3M4	Q8IV48
Q9UPU3	P17289	P36514	Q5R4I8	Q687X5	Q01635
Q01703	Q8NFH4	P07746	Q8NDA2	Q687X5	P84083
Q16690	P62321	P14708	Q6NYT3	Q7YS91	Q0P3X8
Q9QYB5	Q7SXK5	Q1XHU0	Q9Y618	F1R6N4	P08548
Q6P1B1	Q5SPJ8	B2GV47	P06596	Q1LYM6	Q63538
Q9JL56	Q5RGE6	Q96DH6	P30122	B0BNL6	Q924C9
P04323	O60285	Q92614	B7ZUL2	Q6ZM51	O42224
Q9BZE0	Q8BZ36	P11029	P10394	Q32L23	Q9JHE5
Q7RTR2	P10533	Q0VC74	Q8IXT5	Q86XL3	Q5R8M1
Q9YHB5	O95628	Q0IID7	O93343	Q5RAD6	A8YPR9
Q4DC43	Q8IV48	Q6P026	Q5RC10	Q9Y2Y9	P20373
P17077	Q91431	Q08C84	O95279	Q9Y2T3	P19971
A4IFA3	Q9H0J9	P49321	Q9R0U0	Q02878	Q6PC60
Q6PDK8	Q6ICG6	Q91191	O14645	Q8IY37	Q28381
Q9NBX4	Q9JIH2	P0DP56	P21328	Q32LQ4	Q6TXF1
Q3UHC7	A4Z943	P51892	Q9P215	Q63ZR6	Q2MJT0
Q92503	P10401	A0A2P1BRQ0	Q6ZMW2	Q6NWZ9	O15182
Q8N8Q3	Q9H0J9	Q98993	Q91ZS8	Q9Y485	Q8N567
Q62443	Q6PC40	A0ZSK3	Q00780	O94941	Q7L273
P05307	Q5RCY2	Q98989	Q7SYE0	P21328	Q9UJU6
A7SG73	Q96I25	Q98989	P04922	Q9UNH5	Q9Y251
P20701	Q8R316	Q96S55	Q5HZF2	Q2KIX1	Q8JGW0
Q5TYS5	Q8K174	Q62623	Q92090	A3KMX0	P82471
P55197	Q8K009	Q8HZM5	P10394	Q8C147	Q5ZIQ3
O13089	Q9JHE5	P27605	Q5RDN9	Q3UF64	Q91987
P24854	Q99590	P85108	P53565	Q8NAP1	Q7T321
Q78YZ6	Q9CR60	Q5SGD2	Q8WXI2	Q8BZI6	Q9D531
Q6P2T7	Q9NQZ8	Q91636	P02714	Q9Y3P4	P50151
P83110	Q6ZUT9	Q9C099	P59384	Q3B7D3	Q9UHK6
Q99068	Q8BH74	P05090	Q6P788	P16157	Q13233
P79703	Q5RCP3	P51910	B0LPN4	P11678	E9PZM4
O95785	Q6NWJ4	P70550	O88809	A5WUX7	P43405
B5X3W7	Q8BGA5	A0ZSK3	Q8VEA6	Q499B3	Q9Z138
Q5ZJ24	Q5RGE5	Q6PF24	Q9HC78	P43155	Q9CWB7
Q8HXQ5	Q5RGJ5	Q5ZI69	O93512	O75385	A0A0G2KTI4
P68563	Q6TXF1	Q2PQH8	Q2M1Z3	Q9Z268	Q9Y2P4
Q02257	Q7L273	Q8NHY2	Q6DBU8	Q8BHL3	Q04752
Q8JFQ6	P42025	Q9JHX4	Q8IUR6	P35680	A1XQU1
A6QQQ9	Q9EPK7	O89110	Q69ZW3	Q8BP86	B0UXH6
Q9ESN5	Q9Y251	Q498J7	O89103	Q17QK3	O00743
A4IFA3	Q6DG38	Q91628	P70684	Q6P2H3	Q7ZWD4
P50151	O14830	P63320	Q9GKT2	Q68FU3	Q5T9C9
P22670	P11607	P27092	Q9H0N5	Q7RTR2	Q5ZJ81
Q8BFQ9	Q4VBT2	Q6DRD4	P11493	Q7RTR2	Q5FVB2
P21328	Q9ULZ9	Q6NXR0	Q9Z0E8	Q98989	Q9H799
Q1RMA6	B5X0W9	Q6NXR0	Q60716	Q91453	P36894
O60519	Q64057	P51162	Q6DJ83	Q13485	Q640I9
O88572	P14733	O14744	Q9UJW8	Q96GD3	Q923S6
Q7RTR2	A1XQU1	Q62158	Q1L8J7	Q1LYL8	G3XA57
Q8CC36	Q8C8N2	Q4RWX9	Q86XS5	Q6RVG2	P98070
Q5ZM35	Q7ZWD4	Q7Z6M4	P13596	Q1LYL8	Q02084
Q15399	P35270	Q56A24	Q3KR37	Q5FWN7	Q8R481
Q5NU14	Q7SXE8	Q3TUF7	E9PZ19	Q13823	Q02357
Q6DGN0	Q7SXE8	Q9DED4	Q2PFW9	Q5M9G6	P61135
Q7LHG5	Q6PFP6	Q9YHX4	O08678	Q6DGL8	Q92162
Q7RTR2	Q2KJ44	Q7ZV90	Q2KJH6	P51793	Q9UKX2
P10620	Q9JJ94	Q5ZJW4	O60469	F1Q930	Q9WUM4
P10620	O43272	Q9GLD3	Q2KHS5	Q6DJ95	B9VR26
Q15842	O75694	P14373	O70552	Q7RTR2	O88831
Q63563	Q5HYC2	P21328	A8KB34	E9QAG8	P14669
Q01635	Q5W0U4	P22680	O13076	E9QAG8	Q5T4B2
Q0P3X8	Q6TLE6	Q07498	O43149	P15589	Q8N5H7
Q95235	Q640I9	Q5HY64	O13224	Q5R9B8	P14381
A4IGF3	D3ZKX9	D4A9R4	Q13009	Q8C0J6	P19086
Q6NU95	Q02357	P48375	Q5F4B8	Q98862	Q9CUS9
Q63538	Q4V9L6	Q6DFC2	Q6NTY6	Q7RTR2	P16636
P48736	P62323	O88484	P70302	Q588U8	Q8VD33
P0C548	Q64380	Q8NCC3	Q2WG80	Q8K3M6	P00637
Q6DFC0	Q0VCQ4	Q5CZR5	D4ACX8	O18973	Q5ZMF3
P63140	Q9NQZ5	Q6P5M2	Q15797	Q9UBS8	Q64152
O89049	Q6PFM1	A0JNG0	Q9DDD5	Q01613	Q9UHF1
Q8VBX0	Q5R748	P51857	P62264	A4QNZ7	Q9JI03
Q5RH71	Q6PBU0	Q96PZ0	P98073	Q66I22	Q6P730
E9Q7E2	Q5R685	Q8K224	Q99743	P02714	P04323
Q5R8M1	Q8C1A5	Q62865	P26041	Q9JHY1	Q9EQX4
P20373	Q8BFY9	Q9NVI1	Q7Z417	Q64343	Q13131
O42354	Q2KI79	Q91684	Q14119	Q80WN7	P23228
Q5ZIU3	Q924T2	Q8WXK3	Q53EL9	Q9XSC3	Q5R8N8
P02264	A4Q9F4	Q7Z628	P91443	Q3MHL7	Q90ZE2
P58743	Q8R3K3	Q5PRA2	Q62904	Q9R0K8	Q9UI17
Q28EB4	Q5RBW0	Q95107	P28575	Q8C2Q3	Q9Z2I6
Q7ZUX3	Q9NWW7	Q920A7	Q0V9J0	O70493	Q32PX7
P0C605	P70318	Q6AZD4	P51683	P21328	Q8VBV3
Q9D0B6	E9Q4S1	Q6PCD5	Q4ZHA6	O75367	Q6JPI3
A4IIK1	Q66I24	Q68CZ1	Q5R6L8	Q9Z0E8	P59481
Q5R4Q8	A2AJ77	E1C1U1	Q14934	P69045	P46414
Q91987	Q8VBV3	Q6DRL4	O60304	Q6EE31	Q5SVZ6
O88956	Q8K4L0	E7EXZ6	P48055	P30825	Q5R9F4
P50151	Q6PCS6	Q9H0J9	Q9BUR5	Q9NYT6	P08537
Q9Y606	Q8NDX1	Q4R761	P49716	Q9H6U8	P35571
Q8BLD6	P46414	Q7ZW00	A2AAJ9	Q32PI9	P51151
P43405	Q5FVB0	Q0P487	P31006	Q3KTM2	Q0VBK2
Q9JLZ3	P08537	Q7SYL1	P09093	Q9D5V5	P41440
A0A0G2KTI4	P04323	A1L1R6	Q566R7	O75845	P0CT40
Q9Y2P4	P35072	Q06985	Q5PQL7	P08108	Q6TEQ0
Q7ZYD5	Q8BU03	Q9HBH1	Q9NPB9	Q9W6Y1	O60315
Q5ZI27	Q5R6Z7	Q8NGH9	Q6GLU8	Q90773	Q9NBX4
Q5T9C9	F1M3J4	Q9GZX3	Q5R4Q3	Q2M3D2	P20825
Q2YDP8	Q6RVG2	Q7T316	Q9NPI5	Q9CUX1	P36836
Q5FVB2	Q6NX08	P0C6T1	Q9NPI5	Q2KHS5	Q9BZ29
Q80ZI6	Q6MFZ5	P15684	Q60843	Q9ULJ3	P14373
Q6NYT3	Q6ZMW2	Q6DHG8	A4IFW2	P57071	Q5DU56
P52826	Q5RH02	P46479	Q7SZC5	Q503Y8	B5DFC9
Q9H7P6	P49917	Q9BXW7	H2N0D4	Q9CXS4	Q07960
Q99999	Q96CW5	P70550	P12107	O13224	Q9TU17
Q2NKQ1	Q1JPY8	O43293	Q9DGH0	Q7T3F7	Q9H5Y7
P36894	O75342	Q0V8R6	Q9QXG4	Q60610	O15344
P39429	O43345	A5WWB6	Q8CD54	Q13009	Q8N5Y2
Q1LY77	Q9Y5Q9	Q02241	Q5JWF2	P0DOY1	O70589
Q3SZA1	Q5T200	Q9HB75	A6QLI0	Q8JG30	O15550
P07314	Q80Z96	Q0IHP2	P0CF97	P97298	Q9UHI8
Q9QWE9	Q58DQ5	Q02817	Q4R8T9	Q91XS1	Q5ZJH7
Q3UHJ0	Q62158	Q803M5	Q90YT0	Q6P026	Q6NS82
Q5U3N5	Q1XHU0	Q9Y6N5	P15988	P36514	Q6PHG2
P32856	Q62158	O94986	P20785	P36514	Q80Z96
Q62622	P13216	Q8HZK2	Q8BGQ2	Q9QXG2	O73723
Q5RAK3	Q9URU4	P35072	Q9UQB3	P14708	Q62158
Q5ZJ58	O88618	Q2TA40	Q50LG9	Q5REB9	Q7Z7G0
Q7Z304	A1A4K8	Q02816	B8JLQ0	Q08CF3	O42587
O76080	Q58H57	O88803	Q0VC00	Q0IIM8	Q99PL5
Q92162	P47989	P70076	Q91678	O95831	P35072
P55202	A0A0U1RQI7	Q5R511	Q9ESJ1	P11029	Q7TQN8
P00130	Q63569	Q6AXJ7	Q9QYN5	P30044	P81601
Q9UKX2	Q9Y5X1	Q8C3X4	Q9UBQ6	Q5RAM2	A4FV08
Q9DBX3	P81601	P62489	Q9QZS0	Q155U0	Q9P215
Q9WUM4	O00370	Q9NBX4	Q91736	O76062	P14381
Q6GQB9	Q9H307	O76094	P16239	Q62825	Q3V1H9
P14669	Q149N8	P21328	O73737	Q7SZF1	Q8BJL1
Q9Y2P8	Q62073	P47827	A2AED3	P0DP56	Q6DTM3
Q9WTP7	Q7ZUS1	Q7ZVE0	F1NWE3	Q9Z254	A0A075B6S4
P03934	O15091	Q13151	Q0III3	Q2KIT4	P01695
P14381	Q6PEH4	Q9UMS4	Q5CZR5	A5PMR2	P01660
P0CB92	Q5U2R1	Q9CQL5	O43615	Q3U487	P56476
P27615	P70336	A2AJN7	Q9H582	Q9BWW8	Q7ZUS1
P53790	Q9BVS5	Q9BYE9	Q1RMR1	O08653	Q0V989
P16636	O94864	Q5U3W1	Q2L6L1	O95405	P82251
P79755	Q4RGM4	A6LHV2	P27216	P48055	Q9P0P8
Q14678	O95279	P45592	P62484	A0A2P1BRQ0	Q5U2R1
Q5ZMF3	Q7T3C7	Q5I0K7	O43825	A0ZSK3	Q4RGM4
Q3UQN2	Q4R571	Q5BLG4	Q15911	Q98989	P18625
Q9JI03	Q8BNW9	O35763	A1L504	O43292	Q5RKZ7
P35408	P56880	Q00547	Q9IBG7	P00517	A0A1D5P556
Q9UGQ2	Q5R723	Q6NW76	B5XG43	Q05519	A4IGL7
Q9D3A8	Q4QQW4	Q65AC2	P20142	P49716	Q9UL68
Q5R8N8	Q0V7M8	Q5M823	Q68Y62	Q96S55	Q5F362
Q6NVC9	Q1LWL8	O42249	Q8MH63	Q566R7	Q99715
Q9Z2I6	Q91V33	O08773	B2RU80	Q92079	Q2KN97
Q6P3Q6	Q2KIN3	Q07864	Q90459	Q8HZM5	Q8BNW9
Q9D818	B5DGM4	Q1XHU0	P85001	Q61789	B1WBU4
Q7LHG5	Q16678	Q5RFP3	P51511	Q90YI8	Q5R723
Q5SVZ6	Q05858	Q98982	Q9PT92	Q5SGD2	Q4QQW4
Q99315	O93526	Q148G5	Q7LHG5	Q5R4Q3	Q86UP8
Q5R9F4	O93526	Q13439	P0CF24	Q9NPI5	Q64399
Q8BXK9	P08911	Q6AYM1	Q6GP04	Q2HWU3	Q566V0
P04323	Q5RFQ0	Q9D9N8	P46527	P11602	Q9Z1S0
P41440	O15033	Q6DG38	P37232	A4IFW2	Q9R097
Q92052	F1Q8R9	P11032	G3H0N9	Q56JV3	Q6PBT6
Q6TEQ0	Q8C0T5	Q63570	Q58CY8	Q5R601	Q80Y19
Q8I7P9	Q5RA67	P00375	O75747	Q99P77	O73755
O43639	Q9WVL0	Q9JKF1	Q60529	O02751	Q28178
Q9P267	F1RAX8	O73672	Q5VWG9	P51178	Q5RFQ0
P20825	P49763	Q6NXY1	Q6IV56	Q4R7G8	O35806
Q0QEP2	Q8BZK4	Q66I84	Q8NDV3	Q80W88	Q6PE65
O54909	Q90631	Q96LD4	Q9DC53	Q6NXR0	P10600
A4Z944	Q9H867	P40313	Q9WV07	Q6NXR0	Q5R589
Q9N2I7	Q5RDL2	Q1RMQ5	Q96FN4	Q5I047	Q8WYK2
Q96LD4	Q8N806	Q9BS26	Q5ZM55	P51162	Q8VD72
Q62158	P48722	Q9H553	Q7TMC8	Q17QN2	Q8BQM8
Q5R5U3	Q91785	Q15021	Q642H7	Q50LG9	Q8BZK4
Q9UJW8	P51948	P52186	P34926	Q28141	Q9ULI4
E9QAG8	A0JN53	Q92104	Q80WM5	Q5R819	Q7ZVS3
E9QAG8	Q9UKF6	P18700	P56581	Q9ESN4	Q9PTG8
E9QAG8	O43390	Q9Z1Q9	P0C548	Q09632	Q91785
Q7LHG5	A9JR78	Q5RCA3	Q6NZK8	Q58EK4	Q9JIY5
O88582	O75844	P35031	Q9HCM3	Q56A24	P12007
Q7RTR2	Q69ZF8	Q91041	Q9H936	P0DPD7	Q80ZG2
Q9HCM9	O08730	Q567G2	Q9UBP4	Q80UF7	Q8K1S5
B2GUE2	O60306	B5DGI7	Q8R034	Q05AQ3	Q6ISB3
Q9Y4H2	Q52LJ0	Q91Y80	C0H8I2	Q92753	Q5R5S7
P35072	Q5ZKQ6	Q3BBX8	Q6UX06	P35606	Q5DU00
Q96LD4	Q6P0D0	Q6NXN4	Q9JHI2	Q6A070	Q5U3G1
Q5R5U3	P56931	P35033	A2AV36	Q5M7E3	A9JR78
Q5R5U3	Q8IYD8	O00559	A2AV37	Q5R886	Q99469
P51871	Q08DK7	Q5R3K3	Q8I034	Q9DBB9	B0BLT0
Q9H5Y7	A4QNX2	E7F5E1	Q63564	O95832	A3KNL5
Q8N5Y2	P17248	Q6DGL7	Q5IS37	O02751	Q06190
O70546	E9Q349	P62972	Q9D1Q1	Q6NUW9	P50591
Q9R001	Q5R4H6	P62972	Q9NY28	Q9UM11	Q14651
Q2KIG3	Q9BQQ7	A2BGR3	Q9UMZ3	P22680	Q09139
P26041	Q7ZXY0	P27986	P08069	P04323	Q03692
E9QAG8	O60262	Q5R652	Q62179	O43825	Q90752
E9QAG8	P59837	Q6PDD0	Q3SZR9	Q09575	Q9Y2V0
E9QAG8	Q9NVH0	Q5TC79	P84335	P31422	O14770
Q5DU56	Q8NBN3	Q16566	F1QLY4	P48375	Q8HZN9
E9QAG8	P57105	O76039	Q3T0B7	Q4V8T0	Q5ZKQ6
E9QAG8	Q5RDB5	P23919	P15388	Q6DFC2	Q8VEK0
Q14587	A7SMW7	Q5T0D9	Q08DQ0	O88484	P01666
E9QAG8	Q9QZQ1	P36551	P39447	O18750	P01666
Q7RTR2	Q5RFI5	Q7RTR2	Q8C8M1	A3KPL7	P14400
Q9P215	Q9XT77	Q923G2	Q1LUM3	Q6EKJ0	Q53G44
Q62158	Q9Y375	Q15058	Q1LW01	P49918	P01693
Q62158	Q98UF7	Q92093	Q7LHG5	P46527	A0A0A0MT36
P27925	Q5SWK7	Q8IY81	Q6IR74	P37232	A0A0C4DH26
P79274	A2AJN7	Q62158	Q8T2K9	Q9HBI1	Q8BLY1
P13707	Q0V9W6	Q9JI44	O35710	Q8IY57	O95428
P80456	Q6AY46	O94826	Q499E5	Q5ZKI6	P84089
Q6IMK3	Q5ZJH9	B9ENE7	Q9W7E7	G3H0N9	Q6DC39
O75629	Q6C908	Q6P3H4	Q61239	Q60943	B2RZ50
A9KNW4	Q8BK64	Q9UJX5	Q6PBN5	Q9NVI1	Q61043
P19221	Q5R806	O15067	Q6AZD1	Q9P1Y6	Q91ZY8
Q6DFH5	Q95JP6	Q04799	Q9UL19	P22439	Q96NE9
Q6DHB1	O46640	Q8K3X2	Q5RED5	P21213	Q28HU3
Q9NTQ9	P14381	Q8VDY4	Q6KEQ9	Q9DC53	P01694
Q95SX7	Q5F477	A5WVX1	A4Z943	P24456	A0A0C4DH26
P0CT40	P0CT40	Q805E5	Q6V0I7	Q68EL3	P01837
Q95SX7	Q99L13	P38024	P55931	O88450	P01837
Q5U204	Q03637	Q8I7P9	Q9W735	Q95107	Q96SM3
Q9UN19	A2V9Y8	Q08602	Q91Z53	A8E657	Q5SWK7
P26325	A4Z943	Q59HJ6	P18724	Q6P6R2	A5D7L5
Q49AG3	Q5RBK1	F1Q8K0	P35072	Q96BD5	B8A4W9
P0CT40	P55265	Q6EKJ0	O60716	Q2KHY5	P24722
Q7Z6M2	Q3UHD6	P62289	P97888	P49706	P27448
Q13255	Q95SX7	Q568L5	Q9WVC5	B1A193	Q5ZJH9
Q3V1H9	P98199	P04323	Q5DRB8	O88572	Q3T0A3
P31228	F1QJF4	P35249	Q5DRB2	P34949	Q8TB37
Q9JHU0	Q6DHF7	Q9H8V3	Q9Y5I4	Q96AD5	Q32P59
Q9JIL5	O00300	Q6EKJ0	Q91WR8	P0C548	Q6AZB8
Q5SPC5	Q28D99	O70536	Q92838	A3KPN8	Q8K1L0
Q9ERI6	P14173	Q6NZ07	Q0MW30	Q9BSW2	Q4QR71
P01660	Q13322	Q5RF83	P28562	Q08CD5	Q7LHG5
Q9NQL2	Q8C5Q4	Q5BLZ2	Q5F2N2	Q3B7M7	O00370
P56476	P46196	Q6PAV2	Q32LE3	Q1LVN8	Q6ZN28
B5X3C1	A0A0G2KQY6	Q7ZVQ8	Q5JV73	Q7L5Y6	A2V9Y8
Q14DK5	Q9Z1J8	Q99PW8	Q5ZI49	O42242	Q3UA06
Q91974	Q9DBX3	Q5SSJ5	Q7YQM4	Q1LUT1	O94811
P82251	Q924S4	Q3MHL4	Q99MA2	Q14703	Q8AXV6
Q5T5X7	Q9CYU6	Q5R8K2	F1R013	Q6YGZ5	Q07203
Q7RTR2	Q9ET22	Q6ZM19	Q9Y5S8	P50475	P08836
P18625	Q1JP73	P80513	Q2I6J0	Q01134	Q5RC36
A0A1D5P556	Q5ZIQ3	Q6ZQX7	A2CEM9	Q8CE64	P52794
Q9UL68	Q8BXV2	P17136	P32314	Q8BQ86	P98199
Q5F362	B3DJT0	P56616	P30555	Q9UMZ3	F6NSX9
Q99715	Q9CR50	Q3UHX0	Q9QX73	Q9UDY8	P48199
Q90YA8	Q502L2	P11966	Q08881	Q9Y2Y9	F1QJF4
A3KGS3	Q3T0M7	P86397	Q17RB8	P70550	Q5M8X6
Q13310	Q8IZ69	P43450	O73742	Q9NTJ4	O00300
Q95KR7	Q9Z0J5	Q9UNS1	A8YPR9	Q8K4Q6	Q5RBD3
Q69D47	Q9EQ15	Q60HD0	Q924A5	Q58DW0	O18793
A2BIJ3	P53677	O15528	P51046	Q2YDS1	O18793
P11586	Q4VBW0	Q14674	Q8BMS2	Q9NQX4	Q13322
Q9Z1S0	P07354	P42225	Q8TAB3	Q8AYK6	O15072
Q0IHV1	Q5M7P5	Q8AY32	Q98TF5	Q8R066	Q9Z1J8
Q27J81	Q6PGP7	P08548	Q2HZ96	Q8I7P9	Q6PHK6
O73755	A5PJT0	Q8AY73	Q6DFJ9	Q9CQE1	O62695
A5D6U8	Q9W6S8	Q99J09	P79749	C0H906	Q9ESG5
A5D6U8	P79110	Q90459	O00060	Q3U269	P28652
O35806	P63170	Q91178	Q1XHU0	O95487	Q924S4
Q5SPB6	P83565	A3KMV5	A1L1V4	Q8AYB8	Q502B0
A0JPI9	Q9Z1X9	Q925U4	Q9Z2F7	Q5REP8	B2GUY0
Q6PE65	Q0VBU9	Q66JN8	Q96AY4	Q5R511	O00622
Q9DGJ3	P13705	Q8CFX1	Q9UHC9	O75132	Q7Z7M1
Q96BY7	Q32LQ4	Q803I2	Q03734	Q20A00	Q08CX1
Q9EQ20	Q32LQ4	Q9UJX0	F1SSF9	Q9BRQ3	Q0P4Q4
Q8R0W1	Q6NWZ9	Q6NWF6	Q9YHV4	P67862	Q5ZIQ3
Q8BMD6	Q32PI8	Q6DIH3	Q8VBX1	P79403	Q9UA35
Q9HAT8	Q3T0J1	Q5R5J1	Q4RSM6	Q6P5P3	Q6DRJ7
O88202	Q29551	D3ZKU7	P18756	P21328	Q4VBE4
Q8R121	Q9UI26	Q9Y6I8	P09593	P26642	Q7T2Z5
Q9CQX0	A3KMX0	A5GFW8	Q64591	P10401	Q5R4Q8
Q9P2D8	Q8IUF1	Q8R151	P23492	O92815	Q502L2
Q7ZVS3	Q32P65	Q8R151	Q6PEB9	P10394	O00192
Q8BGH4	Q9H777	Q8R151	Q99L88	A4Z943	Q9Z0J5
Q9PTG8	Q5F3W3	Q13884	P13944	Q8VC74	Q8BG87
F8W2M8	P35763	Q91YE6	A6H584	O76094	Q1W674
Q6QHC5	Q8VDH1	P97477	Q8BXL9	P35072	Q803X0
O00423	Q5R4F3	P27093	Q28EM1	Q8JH71	Q58D85
P23506	Q2KIY1	Q6PF21	P79832	Q5XIS1	P07354
Q80ZG2	Q00779	Q6NYJ3	Q14839	Q5MCW4	Q5R7K9
Q96L50	P83829	Q99727	Q91041	Q96QH2	Q9R1A0
Q8K1S5	P15920	P0DTE4	Q7SZI5	P97888	Q9R0D8
Q96LL9	Q01844	Q6NRV0	P41366	Q2THW0	P14381
Q7T163	Q9XSC9	A4QP72	O45734	P31943	Q5R5L7
Q5DU00	Q0P5A7	Q99PG2	Q8NFY4	O08585	Q9BST9
Q5U3G1	P40320	Q07973	B9VR26	Q969X5	Q9CQ52
Q3Y4E2	Q99MM4	Q9Z2U1	Q6UFZ8	Q5MD89	P14087
A3KNL5	Q502P0	P43091	P20965	Q02084	Q90W33
Q91487	P14381	P02543	P77832	Q6GP28	P05546
Q7RTR2	Q9BYZ6	P21328	Q96IP4	Q8AWD1	P53675
Q6NWW9	F1MH24	O43315	Q66JZ4	A2AQH4	Q7TSV9
P50591	Q7ZT48	Q3SZ72	P50234	Q2I6J0	P63170
Q3T904	P05423	P50462	Q4V8U5	Q5U3V7	P13437
J3S6Y1	Q2V8Y7	A0A0R4IQZ2	Q5NDE4	Q08DR0	P56747
Q09139	O15034	P51596	Q0VCH8	Q08BM8	Q9Z1X9
Q05876	Q61010	Q1LW01	Q8VHE6	O60488	Q3B7D5
Q03692	Q8BLQ7	Q99K43	A6NFY7	O35763	Q9EPR4
P48489	A2VDN6	P97449	P51639	Q9BVK6	Q17QD9
Q05017	Q6TLE6	Q9CWJ9	Q9UPW8	Q9DBH5	Q90WY5
Q5RDU7	P35072	P25093	B0S5D5	Q6DHS9	Q6P0C6
Q9CX60	A9C3P0	Q5R5C9	Q78T81	Q13620	Q9DCR2
O14770	Q99KG7	O88685	O00743	Q9H9B4	Q9Z0L8
Q3KRE6	O43741	Q9IB83	A5WWA0	O42249	O42494
Q8VEK0	O15757	Q1T769	Q9P215	Q9HAZ1	Q567C6
O43150	Q92616	Q1JQA4	P21329	Q9QX47	Q8K3J5
P01666	P30122	Q8T5G8	Q9UJ41	Q5FYB1	Q29551
P01666	Q6NZQ2	Q96LU5	O00370	Q2TBW7	A3KNM5
Q1ECZ2	Q8BP86	P20821	P01008	Q8BFU3	Q2M385
Q53G44	Q16566	P49946	Q5K651	A2BGG1	D3ZTX0
P01693	Q64471	P59889	Q9GLP1	P04323	O55125
A0A0A0MT36	Q15059	P33316	Q5ZM39	Q08CZ0	P29274
A0A0C4DH26	Q96CW9	Q60FX9	O88898	Q27409	Q802G7
Q00765	P26639	Q2KII7	Q4RU86	Q5R4Q7	P53814
Q9WV52	Q5NCE8	Q503P2	Q13325	Q9Y6X9	Q8BPB0
A0A5B9	Q96IP4	Q6GPE9	P49747	P14373	Q5ZKA5
B2RZ50	E7FH11	Q6AY25	Q71N41	Q8UVV7	Q502P0
Q61043	Q6YJI5	Q5U4T8	F1QMY1	Q7ZW78	Q9NQR1
Q9H3N1	Q5PQ50	O95685	Q8UUG8	O95858	Q68FW8
Q28HU3	Q99JH1	Q9Y248	O95490	Q148G5	P18163
P01694	Q1LYL8	Q1LWL2	D3YUG0	Q800Q5	P47856
A0A0C4DH26	Q1LYL8	Q5RDY7	Q4R4E0	Q8VBX1	E7FBY6
P01837	P47802	A8DZE7	Q80X72	Q63488	Q7ZT48
Q95M12	O43184	Q9NSC2	O70472	P09593	Q5R4I8
Q3V3Q7	Q24UI6	Q92110	P28472	Q9H3M7	P05423
O88466	P45701	Q7T3R4	Q8BHJ7	P23492	Q9R045
Q2HJ49	Q6DGL8	Q6VEU1	Q99928	A1YF22	Q8NDA2
Q6NWH1	Q29S00	Q92902	Q8BLV3	Q8TB45	O15034
B8A4W9	Q7LHG5	Q9HCM9	P97366	A2VE13	Q9Y618
Q7M753	Q6DJ95	Q6MFZ5	Q1RLQ5	B2RYE5	Q61010
Q9WU60	O55128	P20108	P41320	Q9H553	Q8BLQ7
Q9Z1Z1	P21328	Q6MFZ5	Q8CHP0	Q4U3L0	Q6TLE6
Q7TT23	Q90X49	P14373	Q9D668	P0CJ78	Q99KG7
P57781	Q9I9C3	Q6MFZ5	P51589	Q8BTN6	Q5U316
P37285	Q92030	B5DG51	Q1RMR1	Q2NLB0	O43347
P27448	P14381	P07949	P54864	Q14839	A2AJ77
Q7ZV68	Q62158	P55264	P97872	Q52NJ0	A2AJ77
O15040	Q8K126	Q96LT4	Q86WA6	Q6GL52	P30122
Q8BH83	Q9Z2S7	O15123	Q52L45	Q15102	Q16566
