Cold_Downregulated	Cold_Upregulated	Cool_Downregulated	Cool_Upregulated	Warm_Downregulated	Warm_Upregulated
P13127	O70551	Q92072	Q9BX26	Q12931	O42266
Q98T91	Q9DGE2	Q6PFL6	O95685	Q9JL56	Q91502
Q641K5	Q8BWW4	P0CT39	Q9CWL2	O13082	Q9BXS9
Q8IXH6	O43306	Q14558	P0DTE5	A0JMZ4	Q641K5
Q9JL19	Q5EA41	P04323	Q5EA75	Q9GKM4	Q8IXH6
F1QCY8	P24802	Q80Y17	O54790	P21531	Q0V8L2
Q91YL3	Q6UPE0	P55039	Q9JL56	P43242	Q9H5Z1
E7FGY2	Q8N766	Q91V92	A5D8S8	B1AQJ2	E7FGY2
Q90YT6	Q9UJM3	A8KBL7	A5D6R3	P30260	Q90YT6
A8E0R9	Q6ZVH7	Q6DFR5	Q8K4L3	Q96J92	Q8N5B7
P31641	Q498C8	Q8R010	Q99759	A4FUD4	Q5T6C5
Q99LJ2	P00774	P52292	P14222	Q6INU8	P50282
Q8N5B7	Q99895	Q6AZB8	O13082	Q96S16	Q9DGE2
P04696	Q674X7	Q5ZHZ0	Q90YU1	E2QWQ2	Q6UXG2
Q60397	P13676	Q04202	Q588U8	Q0P4F7	Q9H4E7
P50282	Q5RC69	Q7ZTI3	P43242	Q803Q2	Q9UQD0
P50282	Q9NYQ7	Q5F3J5	O42146	P34993	Q5EA41
Q08E43	A0JML8	Q91453	P02457	P0CF74	Q07984
Q3UH60	Q01831	Q8AV13	P56270	A0A0R4IBK5	P70404
Q9UQD0	Q505F5	Q6P1R4	P0CF74	Q02290	Q91756
Q5REG4	P79959	Q98989	P0CF74	Q9I8F9	Q05513
P54996	Q62735	O88696	Q5M9G0	Q3UCQ1	Q9NQG5
Q07984	Q9H237	Q91453	Q5ZMB2	Q6MFZ5	Q96PX9
Q27955	P59598	P20825	Q8NHV1	Q4QQY7	Q8IZD4
Q5I598	Q4KLM5	O96006	Q7ZU13	Q2TBK5	O73700
Q8IZD4	Q924H5	P26584	Q66I74	Q6ZN11	Q6UPE0
Q9XSK8	P31661	Q3SZJ9	Q05193	Q9P1Y5	Q14563
Q66HZ2	Q8VD04	Q6ZN57	O00482	Q8R1A4	Q4LFA9
Q9YHT4	Q5ZK10	O43670	P55918	Q96HP0	Q6ZVH7
P13861	Q90977	O73688	Q9UM47	Q8R1A4	P00774
Q8R431	P35235	Q9UHB9	Q9N126	Q6P7G9	Q99895
Q6INN8	Q9QZS5	F1QGZ6	P20908	P0C7U0	Q674X7
Q5M9G0	E1C2V1	O75417	Q9R045	Q8JHF2	Q66HZ2
Q6INN8	Q99L45	Q7TQG0	Q91584	Q9UPR0	Q5PPS5
Q6INN8	P19623	Q9D0Q7	Q96HP0	P0CT39	Q9Y3Z3
P49263	O00273	Q503X2	P84610	P01128	Q9NYQ7
A2RRT9	Q5R5W2	Q91WQ5	P70389	Q8IXL6	Q6DHM9
P49263	P52209	O14815	P41115	Q80Y17	P49263
Q8C4N4	Q0VD50	P12104	Q2M2S8	P49411	Q8C4N4
Q6NWF6	Q4V909	Q68VK5	Q8CE33	A2RRU1	Q2VLH6
Q5EAC2	P49718	Q32PL8	O42596	P16330	Q9I918
P26794	Q65WT0	Q2TBT5	P22670	Q91V92	O54864
Q2VLH6	O70157	Q6I7B0	Q9HCJ0	Q8CE33	P31661
Q9I918	B7ZMP1	Q28GQ3	Q90YK8	Q6NVC5	B0S5N4
P70047	Q99KI0	P50533	Q9DBJ3	Q3ZBA0	O60883
Q58CZ2	Q9Y535	Q91453	Q2TBT8	O97676	P54830
Q08BW0	O08583	Q7LHG5	Q802G6	Q2TBT8	Q8TCT9
Q96WV6	P82929	P00504	P57095	O00257	Q05B83
Q8TCT9	Q9WV85	Q6INE5	Q5PR68	Q5PR68	Q9NUG4
P02589	Q9GLP1	Q15034	P04409	Q7ZVN7	Q9UIW2
O77737	Q6WCQ1	Q15034	Q90303	Q32N90	Q8IYJ1
P80971	P02264	P35072	P04146	P04146	Q01635
Q4QRD7	Q58DT4	Q3T0P5	P50616	Q7T2D0	P02589
Q6UWW8	Q12931	P31230	P48960	Q61656	Q4QRD7
Q02290	Q9N181	Q6DDT5	P08548	Q6AZB8	Q6UWW8
Q6AZB8	Q8VHS5	P23780	Q96PD5	B5X3W7	Q6PCB0
Q6IQ73	Q6AZI2	Q5HYK7	Q99087	O95785	Q3UV31
