Cold (0degC)	Cool (5degC)	Warm (16degC)	Cold_Downregulated	Cold_Upregulated	Cool_Upregulated	Cool_Downregulated	Warm_Upregulated	Warm_Downregulated
Q9NYG2	F1QWZ4	Q5ZL67	Q5R739	Q12846	B2KI79	P70389	Q6ZWJ1	P18861
P49642	P43247	Q28824	Q28ER3	P97564	B9EJI9	Q92529	Q6IRN2	P51410
Q6PFM0	P05106	Q9DBL7	Q9BRX8	Q5BJB7	Q3SZZ0	Q6PGY5	Q6PFQ2	Q90YW0
P70277	Q1RMU3	Q5ZJX4	P36372	Q92038	Q7ZVP8	Q9BYV1	Q3U3R4	B5X441
Q8BW74	P54922	P46013	F1QWZ4	Q5EA43	P07902	Q969X2	Q764M6	P11215
Q5XI46	Q9D939	Q8CFY5	Q6UFS5	Q1MTE5	O57594	Q9BV47	Q3ZCF5	A1L3I3
G1TGF1	Q9ESG9	Q9DBJ3	Q8AWG6	Q7SY48	Q9BY10	Q8K339	Q9W6I9	Q28ER3
Q5R1W5	B0F9W3	Q61576	Q5ZI11	Q6NWG1	O43663	Q2HJ22	P85838	Q86VF7
Q6DJF8	Q5BJC4	Q969T7	Q920P0	Q32PC3	Q9QYR7	Q5R9Y9	P12276	Q9H5J4
Q3U435	Q9BRJ6	Q62158	Q62158	Q9DB15	G3H0N9	Q9D968	A0A0R4I9Y1	A9JRB3
P22748	F4JTS8	Q5ZL98	Q28BQ6	P30883	Q9QYR7	Q8IXR9	A0A0R4I9Y1	O60861
Q32KH9	E1B9W9	Q8WXS8	Q567Z6	B5X5L2	Q91431	Q7ZW02	A0A0R4I9Y1	Q7TM99
A5D6R3	F1NQJ3	Q9D8Z1	F1RCP1	Q8NFT6	Q8BGX0	B5X186	Q12955	Q8WXE0
Q16534	Q9CQM6	Q7T346	P48960	P18861	Q2HJ56	P06350	Q96HP0	Q6NY34
Q921G8	Q8N5M1	Q7ZW25	Q96AY2	Q91XF0	Q5U3U0	P54756	Q8K3J9	Q5ZM14
Q9CZT4	Q0P4F7	P62738	Q571F5	Q15438	Q9HBU6	Q8IUX7	O19133	Q96SZ5
Q9FPH3	Q803Q2	Q9Y663	P79755	Q803R2	A2RUB1	P54116	Q90812	Q62158
Q8CHP8	Q9H6L4	Q6NV34	Q2HJE5	Q90YW0	Q9Z2F7	Q96CW9	Q5RFL7	Q5R5J7
Q9DB77	Q7Z5H3	Q9YHV3	Q1AGS6	B5X441	Q6P158	O15105	Q6ZV73	Q567Z6
Q6P8E9	O42099	Q5EA43	Q9UGR2	Q3UES3	Q64287	Q76M68	Q6ZVW7	Q2M3R5
A4FV97	Q9JL26	Q5R1W5	P38571	Q0VG06	Q6PFL6	P23220	Q0VCX2	Q8AYS8
Q61827	O42101	Q1MTE5	Q5VYY1	Q6PL45	Q6UL01	A0A1B0GVH6	Q6GQN7	P48960
Q4R3C7	P49961	Q6NWG1	O35400	Q2KJ28	O02703	Q9Y3R5	Q9EP53	P57788
P52731	Q4KMJ1	Q9H3K2	O35400	P97864	Q9BYX4	P48059	Q7ZT42	Q9UPQ4
Q70Z53	P55918	Q3MHZ4	Q8K4R9	Q0P4C4	Q91060	Q8WXX0	B3DHW5	Q6NZI2
Q7T006	F1R2X6	O94844	Q4R8E0	E7FBU4	Q8NB91	Q8N3U4	P98199	P79755
Q5ZL67	Q90ZY4	P61141	Q9CQM6	Q3MI00	Q91ZT8	A8WG43	Q02084	A7MC48
P53396	Q8K4S1	Q8NFT6	Q0P4F7	A0A0R4IF99	P55039	A8WH74	B9EJI9	A2AMZ4
Q28824	Q04721	P18861	Q803Q2	Q9H5J4	Q5RAJ6	Q55EX9	Q12923	Q96FJ0
A4IGH2	A8WFU8	Q7SX99	Q9H6L4	P82013	Q61371	Q61527	Q96JM2	P83871
Q6DHP6	Q80WE4	Q6DBU1	Q9JL26	Q9EPQ8	Q460N5	Q9R1V4	Q6P7G9	Q8K4R9
Q6DGA7	Q92072	P51410	P83917	Q7TM99	Q2EMV9	Q8CE33	Q92529	Q29RA3
Q5ZJX4	Q764M6	Q90YW0	O42101	Q5IXF8	Q8IXQ6	Q5RA50	Q9BYV1	Q9NXV2
Q2PW47	B5XAM2	B5X441	Q13164	Q7SYK1	Q5ZL72	B8JLQ9	P49796	Q7Z5H3
P20004	P12276	P11215	Q6TEK3	Q2TAC2	Q7ZVE6	P49190	O75691	Q0IHY4
Q61576	G1TGF1	A1L3I3	Q9Y575	Q07326	Q9Z1W9	Q95LH1	Q969X2	Q9UJ37
Q969T7	A0A0R4I9Y1	O95931	Q9NTN9	Q4KMD7	Q7T3E4	Q32NM7	Q8TF72	B2RX12
Q5ZL98	A0A0R4I9Y1	Q28ER3	P79944	Q90W95	P08537	P51968	A6NEL2	A1XQX0
Q7T346	A0A0R4I9Y1	Q803V5	P55918	P43247	Q4SBY6	Q9CSB4	Q9Z2V9	P55918
Q5REH8	Q96HP0	Q86VF7	Q9JKF8	Q9ULU4	Q93033	Q8BGC9	Q62769	P79944
Q6ZRS2	Q90944	Q7Z3E2	Q9HBT8	Q7TQH0	Q91V92	Q8K1T0	Q9QYR7	P55918
Q12846	P34743	O94901	Q6DIN3	Q66L58	Q9D0N7	F1LYQ8	G3H0N9	Q90ZY4
P97564	Q0VCX2	Q9H5J4	Q6ZWJ1	Q5RB71	Q2EMV9	Q01638	E9Q3L2	F1PT61
Q6NV34	Q8BSS9	Q9BRX8	Q502I3	Q8R2Q6	Q0VCL9	A4QP78	P0C7U0	Q8AV57
Q5BJB7	Q5REB8	A9JRB3	Q04721	P54922	Q9JKB1	Q9HBL0	P30622	Q502I3
Q92038	Q99KQ4	O60861	P02454	Q6PCB7	A8KBL7	Q32NH8	Q8NE01	Q28260
Q5EA43	Q9R078	Q7TM99	Q7TN37	Q9UPQ4	Q9GZU5	P22670	Q9NZ20	Q7ZWC4
Q5R1W5	Q96M69	Q8WXE0	Q14324	Q9EPE9	Q7ZV60	Q91ZS8	Q14103	A8WFU8
Q1MTE5	Q6BEA0	Q6NY34	Q7M760	A5PMF6	Q3UA16	Q8MJI6	A5D7C9	Q80YE4
Q7SY48	P91791	Q5ZM14	P18708	P62198	P17178	Q8K1S5	O70404	P02454
Q6NWG1	Q9W7J1	Q14781	Q5NVK7	Q9BSY4	Q0P641	Q5SPB6	Q8BGX0	Q80WE4
Q32PC3	B2KI79	Q7SYK1	H2M146	A7MC48	B0S8I0	Q9NV58	Q8JHF2	Q1RMR1
Q9DB15	B9EJI9	Q96SZ5	B5XAM2	Q7T2P6	Q9NZJ4	Q922R8	Q5RGJ8	Q92072
O94844	P70389	Q62158	Q6NUZ2	Q92172	Q1HKZ5	B3VSB7	Q95M18	Q6NZT2
A0JPP5	Q92529	Q5R5J7	Q8IW00	P83871	Q8K4T4	Q8BLU0	Q9H1C3	Q9JHG1
P30883	Q6PGY5	Q28BQ6	G1TGF1	B0F9W3	Q9BWD1	P07099	A0PJR5	Q8IY67
B5X5L2	Q9BYV1	Q567Z6	Q8TAG9	Q5BJC4	Q9NVS2	Q7T163	Q9NVM9	O77506
Q8NFT6	Q3SZZ0	Q2M3R5	Q14596	Q9BRJ6	Q9Y6M5	Q07352	Q5U3U0	B5XAM2
P18861	Q7ZVP8	Q8AYS8	P52186	E1BHC3	P51955	Q2Q0I9	Q7ZV26	F1NPG5
O15375	P07902	P48960	Q7Z601	F1NQJ3	Q5T160	Q9NZN3	Q5BJJ5	Q28FX0
Q91XF0	O57594	Q1RMU3	Q7YRK6	Q8N5M1	P60901	Q91XQ2	Q7ZWG9	Q9JM96
Q6DBU1	Q969X2	Q12829	F1MMS9	Q62785	Q6DHU8	Q4R6P7	Q2KJG3	P63174
Q15438	Q9BY10	Q9D939	P84610	Q9NPB1	Q3ZBT5	Q9NU02	Q00804	O46470
