Cold (0degC)	Cool (5degC)	Warm (16degC)	Cold_Downregulated	Cold_Upregulated	Cool_Upregulated	Cool_Downregulated	Warm_Upregulated	Warm_Downregulated
Q14324	O43542	O09126	Q8HZU0	Q64287	Q9Y334	P30533	Q9H4L5	Q96HH4
Q92072	Q02224	O75691	P51689	Q6PFL6	Q8NBI5	P98175	Q9NRH2	Q55EX9
Q7YR76	Q06609	Q969X2	Q8QZV1	O95619	Q8K4Y7	Q924C9	Q5XHB4	Q9I9R3
Q96RR1	Q91XQ2	Q6P5L8	P48805	Q6UL01	Q9ESN5	Q4ACU6	Q05AM5	Q91VY6
Q7M760	Q4R6P7	B5FXU9	A8WH74	P45380	Q922W5	Q9Y2H1	Q8R0W0	Q9D0N7
P18708	Q9NU02	O96033	Q6P995	Q6TCH7	P24529	Q9Y264	F1Q4S1	Q2HJ89
Q91YU8	Q6DHR8	Q9ERB5	Q5NC05	Q9Y5L0	Q8NFH4	Q641K5	F1QB54	P50135
Q503M4	Q9HCM9	O88413	Q5ZHW4	A0JPA0	P62321	Q08477	Q08BN9	Q92791
Q7LFX5	Q06HQ7	Q8TF72	Q55EX9	Q90X44	Q9H0J9	E9QAG8	Q92005	Q5RB68
Q9I8K8	Q9UBI9	A6NEL2	Q8N4C7	Q6P6B7	P30349	Q3MHM8	Q5U1W4	Q9Y680
Q764M6	Q9PVZ9	Q9Z2V9	Q61527	E7F6T8	Q9H0J9	P26043	P52758	B8JLQ9
F1QGH9	A9LMC0	P30122	Q9R1V4	P58557	Q08BH7	Q5R5U3	Q56TU0	Q5F3A2
Q5NVK7	Q9HBF4	Q8K339	Q91VY6	Q9BYX4	Q99N42	Q70I47	Q5ZMM5	Q9HC77
Q8BP74	Q6PEY0	Q62769	Q5JPI3	P35520	Q99N42	O13076	O13008	Q6WVG3
H2M146	Q5SPF7	O43663	Q9Y5U4	P37287	Q7RTR2	O70589	Q9Z148	A7MBJ2
Q2KIB3	Q8VHE0	Q9QYR7	Q8CE33	Q5XJK9	Q7RTR2	O15550	Q96EE4	Q3U962
Q9W6I9	Q6MFZ5	G3H0N9	Q8IZ52	Q5R8H5	Q6MFZ5	O95819	Q8QZX5	Q32PV0
Q6PBA2	Q8N392	E9Q3L2	P50135	Q15334	Q6MFZ5	Q9JHI0	Q6IQ32	Q567G6
B5XAM2	Q1W6H9	P0C7U0	Q5RB68	Q91060	Q5RH01	Q15399	Q640K1	Q6PHG2
F1NPG5	P51916	P30622	Q9Y680	P48553	B0FPE9	Q6DFQ7	Q3UH66	Q6NUV0
Q5XJR6	Q3ZBE1	Q8NE01	B8JLQ9	Q7SZK7	Q6MFZ5	Q86UF1	Q1L908	P05106
Q95KE5	Q8BYR2	Q9NZ20	Q5F3A2	Q8NB91	Q62158	P0C605	A0A2Y9HKB5	Q8BGC9
A8KB87	Q8NG31	Q14103	Q99615	Q9QXE7	Q6MFZ5	Q9H4A6	A8MVW5	Q5ZMM3
Q6NUZ2	Q13362	Q071E0	Q6WVG3	P51810	Q568N3	P50151	Q9BT49	Q9UBG0
Q8IW00	P57095	P53811	A7MBJ2	Q91ZT8	Q9CQT9	P42285	Q6DGN0	B3F211
O46470	Q8N8E3	A5D7C9	Q9DFQ7	P55039	Q9H5Z1	P27615	Q9H299	Q8CGN4
P12276	A3KNS9	Q9BT73	Q6P767	Q69ZP3	Q7RTR2	O14494	Q5VZL5	P51826
G1TGF1	Q8WYK2	Q6DH65	Q6PBU5	Q9NPH0	Q4U5R4	Q3KP44	Q99551	F1LYQ8
Q9Y2W6	F1QW76	O14519	P11279	P56213	Q8BZ36	Q9CWB7	Q5VZK9	Q00651
Q8TAG9	Q3U9G9	O70404	Q3U962	Q14684	Q0P4Y8	Q99999	Q535K8	Q5R988
A0A0R4I9Y1	Q1XHU0	Q8BGX0	Q32PV0	Q8WXR4	Q6MFZ5	Q60928	P50143	P08572
A0A0R4I9Y1	P62634	Q9D968	Q9CZV8	D3ZJP6	Q6MFZ5	G3XA57	Q66J69	P02463
A0A0R4I9Y1	Q99715	Q04759	Q95LH1	Q2EMV9	Q91431	Q4V9P3	Q99J21	Q8K451
Q14596	Q9Z191	Q8JHF2	O60343	Q63918	Q62158	Q9DBX3	Q1LXC9	A4IHG1
P52186	Q6DHL7	Q5RGJ8	Q5NUA6	A6NK06	Q9UKK9	B0R0D7	O95785	Q8AVH7
Q96HP0	Q9DCT8	Q95M18	P05106	Q7TPH6	Q8K009	Q9UHF1	Q8TF68	Q68EK2
Q7Z601	O43683	Q9H1C3	Q8BGC9	Q5U3S1	Q5RGE5	Q3UHC7	O73895	Q8AXU4
Q7YRK6	Q922D8	A0PJR5	P54923	P13834	Q5RGJ5	Q9Y6N6	O73895	E9PYK3
F1MMS9	P53450	Q9NVM9	B3F211	A4QP31	Q6TXF1	P23228	Q8BN82	Q6P698
P84610	Q9NQW6	Q5U3U0	Q9BZ29	Q1LUV9	Q6NYK8	Q9Z2I6	Q9NZL6	Q01638
P84652	Q96PZ7	D4A9R4	Q16829	Q9Z2K8	Q6DG38	P50757	B5X3W7	A4QP78
Q5RFL7	Q922M5	Q5RGV1	A4IHG1	Q99P31	Q03669	Q6SA80	Q6GLQ4	Q4KM91
P50579	E2RG47	Q7ZV26	Q9NX57	Q9Y5P8	Q8VCL5	P39060	Q8N4L2	O14807
Q6ZVW7	P79944	P30372	Q9Z255	Q13042	P49419	Q92052	Q9H3M7	Q02318
Q7SXF6	Q58DR5	P0CF52	Q8AVH7	Q02040	Q5ZKK5	P43031	Q64028	Q07079
Q0VCX2	P51859	O13154	Q68EK2	Q8IXQ6	Q7ZWD4	Q6UXG2	Q9R1Q8	P97378
Q6GQN7	Q90YQ4	Q70UQ0	Q8AXU4	Q6GMK8	Q01105	Q9P267	Q9WTU3	Q3UA16
Q9EP53	P61025	Q5PPI9	E9PYK3	Q96QU8	Q17QK8	Q9PTY0	Q4W1W1	Q28DE0
O57592	Q2EN75	Q02374	Q6P3R8	Q9R1C7	Q6PFP6	P22411	P10160	Q6Y1H2
Q63540	P30568	Q5BJJ5	Q01638	Q8BG16	Q6NWX7	Q9H5Y7	Q96N96	Q0P641
P79784	Q5M880	C1BKD1	Q7ZW24	A2AR02	P08132	Q5FB27	Q5RBL1	Q4QY64
Q8BSS9	Q28E61	Q7ZWG9	Q6P268	Q0VFZ6	D3ZKX9	O75581	P10688	O60315
Q5REB8	O60241	Q2KJG3	Q98862	Q501J2	Q92162	P07942	P04920	Q8TEM1
Q8SQC1	B5X4H8	P48065	Q3TXU5	Q5ZL72	C3KJF2	Q6DHB1	Q8NEZ4	Q7Z7G0
Q7ZT42	Q6AYL5	Q00804	Q8WWI1	Q9QYW3	Q9UHG3	Q9JIL5	Q501J6	Q8BWT5
P07514	Q8BQ89	A2T929	Q9HBL0	P13439	Q01433	O94885	Q9H2Y9	Q8K4T4
O14832	Q2F637	Q90Y50	Q32NH8	Q8NBP5	P27986	Q5RDE3	Q5ZML1	P79888
Q5S1U6	Q56TU0	Q8CIB6	B8K1W2	Q3T0Q8	P26325	Q3U5C8	Q8AV61	Q90YK8
P27044	Q5ZMM5	P85125	P97378	Q6P5E4	P43346	B5DE31	O14841	Q92484
Q6PHK6	Q5T4T1	P51641	Q6GNV7	Q7ZVE6	Q566X6	Q8N4C6	F1QX91	Q8MJI6
Q9R078	Q1LWL8	Q6DC75	Q6P0G6	Q7TSZ8	P31483	Q9EPX2	Q5F3I6	O88200
Q7RTR2	Q6DHU1	O00194	P22670	Q9Z1W9	O95263	P27448	O93274	Q08AY9
Q6BEA0	Q07666	P13505	Q9UHD8	Q05AL1	Q3SZK1	Q96NE9	Q9JJK2	P79733
B3DHW5	Q6PHG8	Q7Z3S7	Q9Y5K6	Q7T3E4	Q5R6Z7	Q86VP3	Q8N0X2	P78536
Q5FWH2	P52481	B3DFW5	Q90YK8	P08537	Q6NX08	Q7M3E1	Q6NZJ6	P51955
Q8IVD9	P26261	O35047	Q92484	P25686	P13216	Q66HZ2	Q5F339	Q6ZPV2
P91791	O13008	O95948	P11717	Q4SBY6	Q764M5	Q5R7U4	Q60780	Q5RDU7
Q502C1	Q3KQF4	P62282	O95433	Q92797	Q9Y5X1	Q91453	G3X987	Q5SPR8
Q02084	Q9Y574	Q9QXL2	Q8K1S5	P54277	Q9H0J9	Q503S6	P41588	Q6DHU8
Q95L14	P13668	P59764	Q5RFW0	Q32LQ3	Q5ZL00	Q5SPC5	Q68DL7	P07099
Q9BTC0	P07356	P13806	A4K2U9	Q6IQE9	P21872	Q0II76	Q4R6V2	Q27J81
Q9DE67	Q03172	Q08048	Q5R826	B5X1G3	Q28G71	Q5T5X7	Q9WV92	Q2Q0I9
P70389	P26433	Q9BSW2	Q6ZPV2	Q93033	Q49AM3	P27117	Q7TS68	Q9NZN3
Q61830	Q8K135	Q76M68	Q5SPB6	Q91V92	A1L2F3	Q9UL68	Q6PGS5	Q8K4K3
Q86YV5	Q9R101	P37287	Q922R8	Q3T099	Q08C93	Q13310	A0ZSK4	Q53H80
Q96PU5	Q90XW6	A1A4K8	B3VSB7	Q9D0N7	Q9NVX0	Q0IHV1	Q6P5D8	Q8K0L0
A0A1L8EYB2	Q969W9	Q5RDZ2	Q8BLU0	Q6PBI8	Q16667	O73755	Q9UGJ0	Q62446
Q5U2Z7	A2A884	P01128	Q9BX95	O46560	Q3T0C9	A0JPI9	Q96EP0	Q80U58
Q6P7G9	O35685	Q8N8A2	Q5RDU7	Q9C0D5	Q7ZUS1	Q28019	Q98TW1	Q02224
Q92529	Q5U462	Q8VEK0	Q9XT82	Q802D3	O42131	Q05BV3	A6QR56	Q06609
Q9M2U3	P36372	Q2T9X3	Q5SPR8	O95563	Q91V33	Q9P2D8	Q6DC04	O13019
Q9BYV1	P70459	Q6TNS7	Q6DHU8	Q567G6	Q4KL13	Q5DU00	Q9BUU2	O43278
A3KMV2	P52293	P29318	P07099	Q08BN9	Q8BG07	P49263	A1L251	Q92769
Q3SZZ0	Q12982	B0R0T1	Q5TZ51	Q6PHG2	P59692	Q53EP0	P0CL18	Q8NFF2
P32017	Q803H4	Q15334	Q7T163	Q9JKB1	Q80Y19	P50591	Q8JFR5	Q5RHZ2
Q7ZVE3	P79955	Q58EL7	Q07352	A8KBL7	Q8CHG5	Q5NVI6	Q8QGQ6	Q5RAH8
Q6GPQ6	Q5XLR4	Q95LD9	Q9UJ68	P16381	Q9WVL0	Q06HQ7	Q12800	Q96IP4
Q8TEQ8	Q14511	Q7SZK7	Q9NZN3	Q9GZU5	Q91785	Q9WU60	P70699	Q9BQL6
O75691	A3KPW9	Q91ZT8	Q8K0L0	Q5R9A7	Q9PTG8	Q8WXH0	Q69D48	Q8C131
Q1LX49	Q8VDW0	P23352	Q8IWU2	Q5DU09	P0DJH9	Q96IW2	P98160	Q5TYV4
Q9Z1Z2	Q61003	Q6PEH9	P62865	P14100	Q6P0N0	P0DOX7	Q53EL6	P26617
P61212	O75496	Q6NYZ4	P04114	Q9GLP1	Q6EE23	Q91XT6	Q8NF99	Q66KG0
Q5BLE2	Q96JG6	Q9ULJ7	Q71U07	O08810	Q8BH86	Q9NYT0	Q8WYQ3	Q9QXQ1
Q16773	Q9CQ71	Q62784	Q3KR97	O15550	A7YWS7	O14782	B8JKF4	Q7T047
O57594	Q96KP4	P05107	Q28BZ2	P14778	Q26636	P79747	A7MB10	Q9Y6C2
O57593	P01130	Q8WXR4	Q5SNQ9	Q9ULJ8	Q5R4J1	Q96PX9	Q91550	P51915
Q9UJZ1	Q5R6X7	Q9JJ74	O13019	Q90ZY6	Q8BHG1	O77737	O95477	Q9NU02
Q8NI36	Q503N2	Q9NZR2	O43278	A8WHR0	Q6DDT1	P80971	Q5PQN1	Q9UHF4
P27465	Q9R1Q8	P49410	Q5RIV4	P05455	Q96M32	Q9H5V8	P49767	F1QDI9
Q9ERB5	Q04906	Q90X49	Q8N357	Q4KM91	A2V9Y8	D3YZF7	Q9NUV9	Q9I8F4
O88413	Q5E9G3	Q86XP1	Q9Y5Z4	Q15118	P52624	Q8BK48	Q9UK96	Q1LUI2
O42409	Q9WTU3	Q63918	Q9EPX2	F1QVR8	Q8R344	Q9Y5K6	E7F9T0	Q8N103
Q1L8I0	A3KP48	A6NK06	Q9UGM3	O14807	Q9Z265	G5E5X0	Q2KI52	P61959
Q9BY10	Q6PBK1	Q7TPH6	Q9NPB8	Q9UNX4	A2AJI0	Q9R0U0	F1QNV4	Q96IY1
P30122	Q9BWT7	Q5U3S1	Q91XQ2	Q5ZHP7	Q96IP4	Q5RBD3	Q91WQ5	Q06HQ7
Q8TF72	Q58NQ5	P49253	Q5TYV4	Q4QY64	Q90977	O15072	Q9D3U0	Q6TGV7
A6NEL2	P12965	Q6IFT4	Q9NR61	Q8TEM1	Q1LYL8	Q16643	Q66I85	Q9ULI0
Q9Z2V9	Q9HCI7	Q58CQ5	Q66I21	B0S8I0	Q1LYL8	P86229	D3YY23	Q9H2Y7
Q16589	P27216	Q9D4G1	Q66KG0	Q58EB4	Q1LYL8	P08836	Q8HZJ4	P20807
P30122	Q86UP3	O14530	Q9QXQ1	Q9HCM4	Q1LYL8	Q8BSD5	O08915	Q2TAA8
Q8IVV2	Q5XK92	Q1LUV9	Q9DAC7	Q9NZJ4	Q2TBP7	A0A0R4IYX6	Q9NYM4	A9LMC0
E9QAU8	Q3SZV5	P46735	Q7T047	Q1HKZ5	Q96CW9	Q8K561	Q9D0M1	Q09167
Q61703	Q9BXL7	P20768	P51915	Q8K4T4	Q6PH52	Q62894	D2XV59	Q802G6
Q8K339	P51397	Q93008	Q9C0K0	P79888	Q3T0B7	Q9ESG5	Q3SZD5	Q91YE9
P00592	Q501J6	O60244	Q2JII9	Q32PX2	Q8R092	Q13555	Q8NEG4	P0CB74
P15651	Q6ZQ89	Q7ZUP1	Q6ZM28	Q9BWD1	Q5I2W8	Q32LQ4	P25942	A0A0G2L7I0
Q4KLG9	P11246	P47872	O95415	O46606	O00300	Q06725	P00504	Q9Z282
Q2HJ22	D4A6L0	Q9PRL8	Q8N103	Q8NBP0	A5PK21	O00451	O94988	Q641M3
P29375	Q0P6D2	P80931	Q06HQ7	Q08AY9	Q9EPB1	Q90W33	Q5PQN1	Q16363
Q9QYR7	Q6DBX4	P18291	Q5I085	Q8CFK2	Q91XA2	Q8NB12	Q6DHI0	P59708
G3H0N9	Q8AV61	Q8IUC8	Q3ZCK3	Q9NVS2	Q6DRJ7	Q9WTQ7	Q9CQX5	Q8N8S7
Q9QYR7	Q5I4H3	P20171	P14018	Q9Y6M5	Q9HBY8	P0DTE5	Q9Z1Z0	Q8IWB9
Q9DCM7	P13388	Q9IA88	Q9UBI9	Q9NV58	P41035	Q0V8A3	Q6NYM1	Q08BD8
Q7SYD5	O14841	Q90X48	Q9D9K3	Q9W6M2	P34022	Q7SXB3	Q6DDT5	Q3ZBE1
Q99550	Q68DE3	Q567E6	Q9WVK8	Q5T160	Q9EQ15	P52826	Q7T010	Q8TBP0
Q1RMW2	P47897	Q8TE68	Q9Y6A2	P62334	P10915	Q9WU42	Q6NYE7	Q8NG31
Q9NZ20	Q5RA42	Q4KWZ7	Q5Q0U5	P60901	Q9YHZ6	Q9Y239	Q0PV50	O35608
P58875	P36633	P51689	Q2TAA8	Q6UX68	Q32LQ4	Q08CN9	Q9Y5X2	Q6MG77
Q61827	Q9Y3B6	Q8QZV1	Q8NFA2	Q28F72	Q3T0J1	Q90478	Q98989	O43808
F1R4U0	Q4G0Z9	Q9WV84	Q9HBF4	Q8K4K3	P55809	Q5RC10	O95872	Q62662
Q4R4V8	P09653	A4IGH4	Q92537	O70247	Q6DDV8	Q00780	A7UA95	P62634
Q9BT73	P13667	P48805	Q90YS3	Q62446	Q03669	Q9GKY7	P00821	Q15375
Q6DH65	Q6P5D8	Q13217	Q5RHH4	O43542	A8C754	Q7SYE0	Q8R2E9	Q99715
P68037	Q96F25	Q6SA80	P0CB74	Q8BMI3	Q62622	Q6ZMW2	A3KP37	Q62158
Q10728	Q6NW52	Q6P995	Q68EI3	Q6DGA6	Q58D05	P49282	Q8CAT8	P10687
Q9UL49	Q17R13	P07589	Q5RGU1	Q6DBY0	O75146	Q8IUR6	Q9NR45	P08699
Q9BE52	Q6DBU8	Q9UKA4	Q15573	Q6DRI7	Q2YDJ8	O89103	P27088	Q6NS57
Q5SRE5	Q70Z35	Q5ZHW4	A0P9L2	Q06609	Q7ZT48	Q9UH90	A2RRV3	Q8BVG5
Q9ULV3	Q64GA5	Q2M2S8	Q8TCJ0	Q8N806	P62168	Q9GKT2	A0JMQ7	A7XYJ6
Q8CEC6	Q64GA5	Q90328	Q1W6H9	Q9QUR6	Q8QFX1	Q91766	Q14258	P00787
Q9D968	Q8BGQ2	Q96HH4	P51915	P04114	Q5RE52	P15428	Q6P2T7	P83205
Q04759	O94876	Q55EX9	Q05876	Q5RAH8	A9C3P0	Q5R7K4	Q3UN70	Q8WXH0
Q8IXR9	Q5MNZ9	Q9I9R3	Q8N7N6	Q96IP4	P08649	A4II20	Q9UJW8	Q1LZ53
Q7ZW02	O88696	Q8JFW4	Q8R127	Q9UJA5	O55096	Q91ZW2	Q8VEK6	Q9DCT8
P40241	Q7T2V2	B5X1G3	P70699	Q8BT35	Q8WY07	Q2WG80	Q9CWP6	O43683
B8A5I7	P42694	Q91V92	P21932	Q6NWF1	Q9ERW3	Q5U3H3	Q5R5U3	C6KFA3
Q95M18	Q7Z698	Q6P5U8	P31629	Q498Z6	Q0II29	Q92090	Q9UJW8	Q8R537
B5X186	Q63633	Q90ZK6	Q03933	Q5R8M4	P68373	Q92090	Q7RTR2	O15228
Q86WB0	Q91WL0	Q91VY6	Q9QZI8	F1QDI9	Q6ZMW2	P53564	Q05481	Q14693
Q2HJ56	P50533	O95045	Q5ZKH0	Q6DHR8	P09411	F1NY98	Q08477	P35822
Q86TL2	Q96QV1	Q9D0N7	Q8WU67	Q2KN98	Q9CPW7	D4ACX8	Q1JPY8	Q9NQW6
Q6PBT5	B4F6V6	P06623	Q8N8E3	P36956	Q6DG22	Q9EPN1	Q9P2P5	Q08CH8
Q9HBU6	Q5XGY9	Q8CE33	Q8WYK2	Q6IQ55	Q5SWU9	Q6P788	E9QAG8	O95398
Q5RGV1	Q28BQ6	Q2HJ89	A1L390	Q08BY0	Q8BKT8	Q6WN34	Q5R5U3	B1WB06
Q96RF0	O35716	P50135	Q99715	Q58T08	Q9D1J3	Q9HC78	Q9JHH6	Q96P44
Q9NYB5	Q9UPU3	Q92791	Q62158	Q9H299	Q6DRL5	Q2M1Z3	Q9JL19	Q1ECZ4
Q8CB44	P0CD95	Q5RB68	Q5RIC0	Q9PVZ9	Q9R099	Q9Z0E8	Q62158	Q96PZ7
A7Z033	Q5ZK03	Q9Y680	Q9Y385	A9LMC0	P34932	Q96LW2	Q7RTR2	Q99MY8
O13154	Q9Y2H9	B8JLQ9	Q8BUV3	F8W4H9	Q0IID7	Q8BLQ9	B4DU55	P58392
Q5BKT4	P23280	Q5F3A2	P20918	Q5SPF7	Q8C4V1	Q1L8J7	A0ZSK4	P79944
Q70UQ0	Q5PQN1	Q99615	F6XZJ7	O43909	A4QNZ7	E9PZ19	Q15399	P34820
Q5PPI9	P49767	Q9HC77	P02750	O35218	Q96PD7	Q2PFW9	Q1L8F9	Q58DA0
Q503J2	P26584	Q6WVG3	P52161	Q96S38	P83571	P13731	Q5RGE5	Q3TQ03
B5X3I1	Q60HD6	A7MBJ2	Q16352	Q6P963	Q9DED4	P50615	Q6DG03	P35033
P06350	Q2HXW4	Q3U962	A3KQV2	Q90WU3	Q6GM86	Q5SSH7	Q5RGJ5	Q96LR5
Q5HZT9	Q7ZXV8	Q32PV0	O43683	Q2HJ98	O95235	O13224	Q9BU79	Q62894
C1BKD1	Q70EL4	Q567G6	P53450	P27987	P24802	P58500	Q28EB4	Q90YQ4
O57478	Q6P0T2	P28331	Q9NQW6	Q5TYS0	P08108	Q4R698	Q7ZUX3	P61025
Q0VC33	Q00004	Q29277	Q7TQE7	P26446	P57071	B9ENM6	Q90339	P02639
A2T929	F1QGZ6	Q6PHG2	Q08CH8	Q5RHQ8	Q8BHX1	O15198	Q9BVG4	Q9D115
P63150	O75417	Q5NUA6	Q6P8D9	O15228	Q6P848	P98074	Q8TDG4	Q2EN75
A2RUB1	P57682	Q6NUV0	Q9PVE4	Q3KRF3	Q86YT5	P79749	A4IIK1	Q9WTL2
Q498M4	P59480	P05106	A4FVJ7	Q06HQ7	P07746	A5PF48	Q803M0	Q06455
P54116	Q503X2	Q8BGC9	Q9D3N2	Q91437	Q91ZE0	Q8QGQ6	Q9WU56	O95302
X1WGX5	F1QNV4	Q5ZMM3	B8JJV5	Q29455	Q6P026	P70047	Q5XHF8	B5FZ84
Q64385	Q9D3U0	Q9UBG0	Q9NPR2	Q802R8	Q2T9P4	Q62904	Q8C8N2	Q8K0V4
Q9UBB5	Q86UE6	B3F211	Q1L8T5	Q5RDC3	Q7SZU9	P28575	Q6PFP6	Q6MFY5
Q6P158	Q6ZSZ6	Q8CGN4	Q9BXB5	Q69Z99	A0ZSK3	Q0V9J0	A6H751	Q5ZIV9
Q9ULQ0	P97570	P51826	P79944	Q92562	Q62735	Q4ZHA6	Q08CZ6	Q8JHH5
Q64287	Q32PL8	F1LYQ8	Q0P5H8	Q803R5	Q96S55	P49716	Q6NWX7	Q8TD16
Q6PFL6	Q2TBT5	Q922B9	Q3ZBF8	O02773	Q6LDD9	Q16774	Q99999	Q8BQ89
O95619	Q96LD4	Q00651	Q8R2N1	A5WWC6	Q9JJJ7	Q566R7	Q6KCD5	O35186
Q6UL01	Q9UPU3	Q9IA95	Q1L8L9	P51916	P85108	Q06AV4	D3ZKX9	Q6DHK1
P45380	Q92503	Q5R988	Q96LR5	Q16363	Q5SGD2	Q9Y5W3	Q9TUQ3	P53788
Q6TCH7	Q5F364	P08572	P02639	O43150	P70096	Q7SZC5	P18749	Q5ZKM0
P46530	P98161	P02463	Q2EN75	P79101	P51910	A6QLI0	Q9DBX3	Q6AXL4
Q96CW9	F1MV99	Q8K451	Q1LUC3	Q3ZBE1	Q924H5	Q91736	P43690	Q496Z2
O95948	P00504	A4IHG1	Q9CQD1	Q8NFH3	Q3KRG3	Q9H175	Q01433	Q0P4Y4
Q9Y5L0	Q6INE5	Q8AVH7	Q9WTL2	Q9R0I7	A0ZSK3	Q63886	Q1XHU0	Q9Y226
P62282	Q5PQN1	Q68EK2	P30568	P24724	Q7ZVZ6	Q8CCJ9	A6H8Y1	Q08462
Q9BZ72	Q15034	Q6NVC5	Q5E9E4	Q13237	A4FUC0	Q0MQD0	A0JMI9	Q07666
A0JPA0	Q12904	Q8AXU4	Q9QZI8	A0JPI9	P35573	Q9NUG4	Q6DI40	Q9QXF8
Q9UPR0	Q6DDT5	E9PYK3	O94880	Q5HZE0	Q3TUF7	Q7ZXD6	B0S5Y3	Q9D035
Q90X44	Q96G27	P14778	Q497B3	Q1ECW7	Q8C5K5	Q13332	Q29512	Q11200
Q6P6B7	Q9NWM0	Q6P698	Q58D78	Q6DI51	Q91628	P70206	Q5R8Z8	Q5R5T1
Q8WXK3	Q9TRY9	Q01638	B5FZ84	B1WB06	P11233	Q50LG9	P50757	A0JPN2
Q98TR7	Q7T010	P27930	P61220	Q62073	P18331	Q924T7	Q92052	Q75NR7
E7F6T8	Q9H773	A4QP78	Q9Z2A7	P62634	Q6DRD4	Q8TCT9	O95342	Q32LE4
P58557	Q499E5	Q4KM91	E7F9L8	Q9D1H6	P51161	Q91678	Q9Y2X3	E7FAM5
Q9BYX4	Q9BGL2	Q15118	P61214	Q9NU22	Q5R698	Q9Z0H7	O75629	P50616
P81425	Q6IPM2	Q503V1	Q8JHH5	P10687	Q05B83	Q9BX26	Q764M5	P07356
P35520	Q99J36	O14807	Q1LWC2	Q5ZKJ5	P20397	Q5CZR5	Q5XNS0	Q5M7V8
P37287	Q9Y5X2	Q02318	Q5ZL67	Q9EQ20	Q56A24	Q2L6L1	Q8BP00	Q9UIF3
A1A4K8	P62205	Q07079	Q08BN9	O43524	Q7Z6M4	O95685	Q5R5U3	P35031
Q8N8A2	A7UA95	B8K1W2	Q92005	P53798	Q9DED4	Q8IZP0	A0A024RBG1	Q8K2Y3
O35344	P30883	P97378	B5X4H8	Q8WXH0	P36968	Q8JZM7	O75581	O88576
Q5XJK9	Q3U129	Q9CXC9	Q8BQ89	Q922D8	Q7ZV90	O43825	Q4VBT5	A2A884
A3KNA5	Q8WXD5	Q3UA16	Q6DHK1	Q9C098	Q99376	P48066	P56273	F1QIC4
Q5R8H5	Q9Y3B2	Q28DE0	Q2F637	Q1ECZ4	Q80WE4	Q9NQM4	Q80WM9	Q9HCB6
P48059	P98160	B0S6T2	Q6AZD3	Q922M5	P14373	Q0P4Y8	A2AN08	Q5U462
Q15334	P42695	Q6AXL5	Q56TU0	E2RG47	Q28F51	O60883	A5D7K7	Q8NFY4
P39060	Q5U378	Q96IW7	Q2TBP7	Q12874	P51892	Q92523	Q6DHB1	P70459
Q91060	P58405	Q6Y1H2	Q5ZMM5	Q9D0C1	P47736	P51511	P26325	P52293
Q58EL7	Q8R2E9	Q0P641	Q5T4T1	P35033	Q9CXF4	Q642A6	Q9JIL5	P43155
P48553	P08579	Q4QY64	Q496Z2	O75937	Q9TRY0	Q9PT92	Q149N8	Q803H4
Q7SZK7	O18765	O60315	P30568	Q6DH02	Q6DFC2	Q7Z3U7	Q9I8X3	P28024
Q8NB91	O18765	Q8TEM1	Q0P4Y4	P82920	O88484	Q07869	Q8IWY9	P79955
Q9QXE7	Q6J9G0	Q7Z7G0	Q54TR1	Q9PW80	I6M4H4	P46527	Q9Z1Z1	Q5XLR4
P51810	A0A1B0GVZ9	Q8BWT5	Q9Y226	Q78RX3	P79762	G3H0N9	Q8R5L3	A3KPW9
Q91ZT8	P27088	O15519	Q1LWL8	Q6TEP1	Q6P5M2	O70173	Q5MIB5	Q9D1C8
Q8NHP6	Q14258	Q8R0S2	Q08462	Q9P055	P51857	Q96SJ8	Q803A0	Q92556
Q96AT9	P47971	Q8K4T4	Q9D035	O95302	Q08DI8	Q8N0W3	Q8CFK2	Q9PWD3
P55039	Q9BX93	P79888	Q0V898	O75718	Q91684	Q5RGQ2	Q86VP3	Q61003
Q7Z4L5	B1AR13	Q9JJ80	Q11200	O42227	P70434	Q8CIW6	Q7M753	A5WVU9
Q69ZP3	P55198	Q9W790	Q9Y574	A0A0R4IC37	Q920A7	Q9NXG6	Q9D0R9	O75496
Q9NPH0	Q9Y334	Q90YK8	P13668	Q80V03	Q6AZD4	Q9QUN9	P0C870	Q9CQR4
Q5ZLD3	Q8NBI5	A1L2I9	O14977	Q5M880	Q80XC3	Q8R034	Q7SY31	P34275
Q3ZBW2	Q6P2T7	Q5XIT1	P31937	Q8CIE4	D2HWM5	Q5ZI16	A2TLM1	Q7YRQ8
Q8WXX0	P30533	Q92484	Q03172	Q28E61	Q4R761	P08069	A4IGP0	Q8K3I9
P56213	Q8K4Y7	Q8BMJ7	P26433	A4VCH0	Q0P487	Q62179	Q3T0C9	Q9CQ71
Q6PEH9	Q9ESN5	Q8MJI6	Q9WVC6	Q08CK7	Q7SYL1	Q9QY23	Q5RCY6	Q7Z429
Q14684	Q922W5	O88200	O88576	Q5ZJU3	Q7ZVG6	Q29473	Q9UPQ4	O93484
Q8WXR4	P98175	Q08AY9	Q9BT49	Q9NX07	Q9JL70	Q5IS37	Q8N3C7	A3KP77
D3ZJP6	P24529	O57521	A2A884	P60027	Q801E2	Q3ZCN5	P27117	P62315
Q99569	Q8NFH4	P79733	Q6PEI3	Q5R5F2	P0CG11	O97758	Q13310	Q9Y4A8
