Cold_Downregulated	Cold_Upregulated	Cool_Downregulated	Cool_Upregulated	Warm_Downregulated	Warm_Upregulated
132458823	132455553				132467927
132458888	132455657				132468051
132458891	132455780				132468400
132458901	132455781				132468830
132458985	132455789				132469328
132459245	132455853				132469558
132459320	132455880				132469840
132459339	132455882				132469979
132459467	132455887				132470214
132459513	132455975				132470235
132459551	132456043				132470340
132459581	132456108				132470748
132459725	132456126				132471031
132459806	132456221				132471036
132460153	132456227				132471147
132460161	132456395				132471255
132460162	132456493				132471536
132460208	132456524				132471566
132460305	132456531				132471603
132460659	132456547				132471679
132460679	132456578				132471831
132460710	132457125				132471925
132460719	132457289				132471990
132460864	132457300				132471993
132460893	132457317				132472263
132460898	132457347				132472375
132460973	132457356				132472426
132460983	132457470				132472472
132460993	132457589				132472528
132461001	132457615				132472658
132461046	132457786				132472993
132461154	132457820				132473018
132461246	132457907				132473146
132461308	132458087				132473160
132461309	132458191				132473461
132461332	132458239				132473542
132461583	132458266				132474102
132461584	132458305				132474524
132461592	132458472				132474652
132461607	132458803				132474777
132461676	132458810				132474863
132461782	132458871				132474903
132461841	132458885				132474906
132461874	132459129				132474910
132461898	132459171				132475098
132461974	132459298				132475300
132461983	132459421				132475544
132461987	132459469				132475952
132462098	132459508				
132462222	132459522				
132462364	132459553				
132462384	132459721				
132462388	132459747				
132462563	132459750				
132462607	132459751				
132462628	132459761				
132462657	132459768				
132462727	132459833				
132462730	132459887				
132462864	132459900				
132462915	132460014				
132462917	132460020				
132462962	132460050				
132462986	132460058				
132463089	132460190				
132463180	132460734				
132463200	132460810				
132463291	132460815				
132463326	132460820				
132463330	132460877				
132463361	132460910				
132463420	132460934				
132463429	132460936				
132463502	132461076				
132463534	132461175				
132463584	132461194				
132463628	132461254				
132463629	132461321				
132463700	132461324				
132463716	132461345				
132463936	132461464				
132463988	132461467				
132463989	132461522				
132464010	132461535				
132464035	132461541				
132464040	132461572				
132464041	132461595				
132464118	132461646				
132464192	132461654				
132464197	132461690				
132464236	132461762				
132464249	132461935				
132464328	132461956				
132464433	132462030				
132464492	132462056				
132464560	132462068				
132464637	132462138				
132464849	132462147				
132464875	132462156				
132464877	132462362				
132465011	132462407				
