Cold (0degC)	Cool (5degC)	Warm (16degC)
132464430	132464503	132464503
132464503	132464547	132464547
132464874	132464874	132464940
132464940	132464940	132465133
132465105	132465626	132465186
132465133	132465678	132465594
132465153	132465997	132465678
132465535	132466073	132465686
132465607	132466238	132466135
132465626	132466322	132466017
132465769	132466424	132465822
132465764	132466537	132465897
132465638	132466614	132466066
132465650	132466849	132466033
132465662	132461068	132466238
132465678	132461367	132466400
132465766	132460115	132466424
132466135	132460849	132466526
132466025	132461073	132466696
132466017	132460892	132466849
132465845	132460659	132461068
132465997	132460936	132466892
132466066	132461254	132461367
132466073	132460796	132460115
132466033	132460145	132460849
132466257	132461117	132461073
132466238	132460885	132460892
132466360	132461233	132460659
132466322	132460993	132460936
132466366	132461019	132460696
132466386	132467366	132460821
132466424	132467373	132460796
132466438	132467549	132460128
132466537	132467556	132461002
132466504	132467744	132460950
132466758	132445430	132461194
132466614	132453899	132460145
132466790	132453579	132460863
132466644	132454968	132461125
132466605	132455554	132460562
132466849	132457166	132460885
132461341	132459169	132461357
132461068	132463927	132461019
132460810	132464664	132467168
132461367	132465765	132467117
132460849	132465631	132467373
132460892	132466447	132467397
132461177	132467997	132467383
132460659	132470399	132467496
132460936	132471536	132467472
132461254	132471973	132467425
132461225	132472403	132467549
132461154	132472690	132467540
132460639	132472999	132467627
132460984	132473623	132467634
132461194	132445960	132455110
132460145	132445809	132453605
132461201	132446071	132469777
132461209	132446147	132473952
132461319	132447957	132449792
132460978	132450281	132453470
132460739	132450695	132453579
132461357	132450956	132454895
132461233	132451183	132455405
132460993	132453023	132456252
132466954	132460352	132457106
132467117	132453199	132457594
132467366	132452395	132458180
132467373	132453106	132459245
132467397	132453378	132459169
132467383	132453626	132459447
132467472	132453405	132460294
132467549	132453724	132460108
132467556	132453733	132463364
132467634	132453925	132463509
132467563	132453985	132464004
132467693	132454045	132464091
132467744	132454074	132464738
132467746	132454197	132464849
132460399	132454283	132464664
132445430	132454526	132465120
132458472	132454637	132465245
132467868	132454595	132465836
132471725	132454581	132465704
132449792	132454519	132465765
132453402	132454643	132466376
132453579	132455008	132466447
132454316	132454772	132467997
132454391	132454917	132470949
132454516	132455177	132470090
132454814	132455102	132470399
132454895	132455209	132460257
132454968	132455543	132471536
