Warm-ALL	Cool-ALL	Cold-ALL	Warm-LFC0.5	Cool-LFC0.5	Cold-LFC0.5	Warm-NoDEGs	Cool-NoDEGs	Cold-NoDEGs
Q9JJP2		Q9GZV3	Q9DED4		Q96IR2	P06744		Q9D5V6
P15428		Q9Y2P8	Q96MU7		O94955	Q6PDQ2		Q9HBK9
P41689		P24802	P35222		O42196	Q9UKG9		Q5ZLX2
Q9QXS1		Q499B3	Q8JIU7		O15534	O75534		Q98SV0
Q4V8T0		A5A6H4	Q9NX05		P12276	P50532		Q9I8U0
O18806		Q49AM3	Q9QWN8		P14866	Q8QZR1		Q5PPS5
A2TIL1		Q3UUY6	Q6PH52		Q6ZQW0	P52429		Q1AGS9
Q6AYS4		Q05186	Q63ZU3		Q9UNH5	Q5ZLN5		Q5RC80
Q8N6M6		Q96IR2	Q14CX7		Q17R13	Q61147		Q6UFZ9
F1QQI2		O94955	Q5RDE3		Q1KME6	O43934		Q96JB8
Q99805		O42196	A8WHP3		Q14141	F1R5H6		Q7T3B0
Q7ZW25		O15534	Q1LUM3		Q9D5R4	Q10835		P08108
Q3SZB4		P12276	Q969T7		Q9WV84	O75521		Q9HBU6
O42563		P14866	Q8NEZ4		P49946	Q7Z3U7		P32847
P0DOX8		Q6ZQW0	Q8NDV7		P46198	Q91453		Q6GMH0
O15534		Q9UNH5	Q4R6P7		Q1KKW7	P79755		Q6PD83
Q3L8U1		Q17R13	Q66I59		Q2EN76	Q9NQ89		P82861
O14647		Q1KME6	A2A9C3		Q6NYT1	P17153		Q90705
Q9PVK4		Q4LDE5	Q32KH9		Q2KI52	G3V8T1		O95478
Q6IQX0		Q14141	P98093		Q6DTY7	Q9D0F3		P30050
Q9DED4		Q9D5R4	P49614		Q6TGZ5	Q5R536		Q8NFD5
Q9H2U2		Q9WV84	Q3MI00		Q9NXT0	P41732		O57521
Q58D31		P49946	P06744		Q9UKG9	Q32LQ4		P21213
Q96MU7		P84082	Q6PDQ2		P38024	A1L390		Q4R3D4
O43772		P46198	P50532		Q5ZKG5	Q8R121		Q9H2U2
P35222		Q1KKW7	P51793		Q1JP73	Q4ACU6		P63102
P98160		Q2EN76	O73672		Q9P055	Q7ZU99		O14647
Q8JIU7		Q6NYT1	A6QR55		Q6NXA4	Q01844		Q90660
Q9NX05		Q2KI52	Q5ZKG5		Q3SZY7	P11884		Q5RFJ6
Q9DB77		Q6TGZ5	P52429		O35593	Q9QWE9		Q6IRN2
A8K2U0		Q9NXT0	Q5ZLN5		Q148G5	Q0VC33		O46563
Q9QWN8		Q9UKG9	O43934		Q5R7X9	Q8K3F7		Q6P2T0
Q6PH52		P38024	F1R5H6		Q2M2S8	P20397		Q6IN36
Q4LDE5		Q5ZKG5	O75521		Q8SPI2	Q08C84		Q2KIR8
Q63ZU3		Q1JP73	Q7Z3U7		O19133	Q9R087		Q803W1
Q14CX7		Q9P055	Q91453		Q9ERE6	Q66L44		Q29277
Q5RDE3		Q6NXA4	P79755		P08697	Q00973		Q8VEM8
A8WHP3		Q3SZY7	Q29RZ5		Q99797	P97280		P28497
Q1LUM3		Q9CXS4	Q5R4S7		Q5R664	P27216		P05413
Q9QYU4		O35593	Q9Z1N9		P40227	P55809		Q9H6L4
Q9UNH5		Q802G6	Q9NQ89		Q8BW00	P86411		Q5U3F8
Q969T7		Q148G5	O75534		P25155	Q9WTY9		Q5U3J8
Q8NEZ4		O46640	Q92079		Q1LVN8	Q9BZ29		Q8BMS1
Q9ET38		Q5R7X9	Q04637		Q5EAD0	Q92090		O46640
Q8NDV7		Q2M2S8	G3V8T1		P06623	Q03172		Q5RF34
Q4R6P7		Q8SPI2	O46470		Q9NUJ3	Q9UGM3		Q5R8Z6
Q66I59		O19133	A1L390		P06744	Q9NVD7		Q6DRC0
A2A9C3		Q66II5	Q4ACU6		P98093	P14685		Q13214
Q32KH9		Q9ERE6	P49696		Q9IA95	A5PJ65		P99027
B5X3I6		P08697	Q9QWE9		Q9BZE4	Q9P055		P50121
P98093		Q99797	Q8K3F7		Q90965	Q5ZKQ3		Q5T0D9
P49614		Q5R664	P20397		Q8NB12	Q9HB40		Q6IRB1
Q8IVI9		Q9CPT4	Q08C84		P31689	O73682		B5X2D1
O00233		Q9CZ13	Q9R087		Q4LDE5	Q9UJW8		Q9CR16
O55125		P40227	Q66L44		Q80V70	B5X3C1		Q5R995
P58875		Q8BW00	P61625		Q5BJN8	O46629		A1L1P9
Q3MI00		P25155	Q16787		F1QGH9	Q6TH47		P02385
Q8NBI5		Q1LVN8	Q86SQ9		Q6NYZ4	Q9UPW0		P31483
P06744		Q5EAD0	P26433		Q9D3U0	Q9JLZ3		Q0VFV6
P49696		P06623	O00763		A7TX81	O97758		Q9CU62
Q9XSC9		P98160	P27216		Q6PFQ2	P68403		Q63ZT8
Q6PDQ2		Q9NUJ3	P86411		P13109	O05218		A2RRV3
Q9UKG9		P06744	Q9BZ29		Q9W790	P27546		O15068
O75534		P98093	Q92090		Q6Y290	Q9H936		Q5R8C2
P50532		Q9BZE4	Q66I22		P08108	A7YWG4		Q8JIU7
Q5R1W5		Q8NB12	Q9UGM3		Q7Z6E9	P14448		Q86W92
P51793		P31689	Q9DCG6		Q3ZCI9	P84104		P08045
O73672		Q80V70	Q9NVD7		Q5U3U0	P28345		Q9WUA2
Q8QZR1		Q5BJN8	A5PJ65		Q4R6V2	Q9Y6A2		P50395
A6QR55		F1QGH9	Q9P055		Q96AE4	Q9PVW7		Q3UFB2
Q5ZKG5		Q6NYZ4	Q5ZKQ3		Q9QYW3	Q7TMK9		P59046
Q99MZ7		Q9D3U0	Q8IVI9		Q29RZ5	Q15417		Q6DEF6
P52429		A7TX81	P27448		P49756	O54774		Q7TSV3
P80314		Q6PFQ2	Q8NEZ4		Q4R3K5	P14543		Q8VE80
Q5ZLN5		P13109	P15253		Q9D5V6	Q7TQH0		Q7T2A5
Q61147		Q9W790	Q0P426		Q5PPI1	E1BYJ2		Q9Y6A2
Q99N27		Q6Y290	P07224		Q9HBK9	P50995		Q28BZ2
O43934		P08108	E9QBI7		P09411	Q6NYU7		Q8C1A5
Q6P298		Q7Z6E9	P15924		Q5ZLX2	Q6NVU2		Q8WVB3
F1R5H6		Q3ZCI9	Q9UJW8		P23711	P12763		P62498
Q10835		Q5U3U0	Q61098		Q98SV0	Q58EX7		Q66I59
O75521		Q4R6V2	Q6TH47		Q9JLH8	Q28479		Q5RGJ8
Q7Z3U7		Q96AE4	Q5ZKI0		Q9JIL5	Q5R6J7		O73723
Q91453		Q9QYW3	O88792		Q5T160	A5D6R3		Q6DH23
P79755		Q29RZ5	O97758		Q8K1P8	Q8BHE3		Q5M9G6
Q29RZ5		P49756	P68403		Q5F418	Q67FY3		A7MB63
Q5R4S7		Q4R3K5	O05218		Q9I8U0	Q3V3G7		O95782
Q9Z1N9		Q9D5V6	O57539		P00731	Q9H7P6		Q8VDM6
Q9NQ89		Q5PPI1	P27546		P84082	P51410		Q9NVD7
Q92079		Q9HBK9	A7YWG4		P07224	Q7SY09		P23368
P17153		P09411	P14448		Q6GQ29	Q568L5		Q9H299
Q04637		Q5ZLX2	O14686		Q28278	Q8BIG7		Q9I9L7
G3V8T1		P23711	P13834		Q5PPS5	Q19AZ8		Q6P9L4
Q9D0F3		Q98SV0	Q86W92		Q5RC80	Q6DEF6		Q9NRA0
Q5R536		Q9JLH8	Q9Y6A2		Q4T2X8	Q95LB0		Q6NYV9
P41732		Q9JIL5	Q9PVW7		Q80WM9	Q96P50		B5X3W7
O46470		Q5T160	Q6P5D8		Q6UFZ9	P13667		Q8TBF5
Q32LQ4		Q8K1P8	Q15417		Q96JB8	P12955		Q6PHG2
A1L390		Q5F418	P14543		Q7ZWA3	Q9HBK9		Q7SY06
O94925		Q9I8U0	Q7TQH0		A3QK16	Q8TBF5		P98175
Q8R121		P00731	Q5U367		Q7T3B0	Q32KT5		Q9H422
Q4ACU6		P07224	E1BYJ2		Q9CPT4	Q5RBM1		P50580
