Warm-ALL	Cool-ALL	Cold-ALL	Warm-LFC0.5	Cool-LFC0.5	Cold-LFC0.5	Warm-NoDEGs	Cool-NoDEGs	Cold-NoDEGs
P01017		P53451	Q5R5A0		Q7T292	Q0P4D1		Q9UKX5
Q0V9V9		O95782	Q32NH8		Q58EJ9	Q08DG6		P11279
Q86X29		Q8VDM6	Q12830		Q32LC9	Q5T200		P51147
Q58EJ9		Q9NVD7	A2VDF0		Q9PTW9	Q9BPY3		Q16204
Q90935		P23368	P29374		Q55EX9	Q8R059		Q7SZF1
P08478		Q9H299	Q9Y3D0		P26325	E1BSW7		Q96L91
Q28278		A0PJR5	Q95M18		P24668	Q6ZQ89		Q8K3X2
Q9GJT2		Q15013	Q9BXW6		Q9R0A0	Q5R9U7		Q66I71
Q5ZKA2		Q9UKD2	Q96IR2		Q4R6P7	Q7YRH6		Q9W720
Q7T385		A5A6H9	O15105		Q92079	P01048		Q9H1I8
Q96IZ2		Q5R4N8	A4IGH4		Q8IVI9	Q80V03		P01048
Q6NZC7		Q9I9L7	Q5R7Z5		Q6NYS8	O35345		Q6PBV4
P00636		Q6P9L4	P04818		Q9CX56	A6QLV3		Q5MIB5
Q91437		Q9NRA0	Q0VCX2		Q8N2H3	P14866		A0A0R4IBK5
P79735		Q7ZUN8	A5PL98		Q6PFS7	O35491		Q86X83
Q8C547		Q6NYV9	P30932		Q866Y3	Q6ZPR6		A5PL98
P02696		P48735	Q6PFQ2		Q5T653	Q1LYE3		Q32LE4
B5X9P2		Q71R50	P00949		Q7ZV55	A1L253		B5DGQ7
Q7SXU0		Q63633	Q5NCX5		P00949	Q90YR4		O88721
P14373		Q5VT52	P35738		P20456	Q5FB27		P40682
O57415		Q9Z2U1	Q6IR74		Q642B6	B0FYY4		Q5VAN0
Q58CP9		B5X3W7	O88618		Q5ZIP4	G3HKI1		Q0MQG7
P79880		Q5BL31	P21869		Q92051	Q6TFL3		Q7YRH6
Q04799		O54782	O14936		P13804	O94851		Q5DU00
Q6P734		Q9BYX4	Q9UGM5		Q9Y496	E6ZIJ1		Q7SYK0
Q99PP9		Q8TBF5	Q6PCR7		Q63ZW2	Q61191		Q7SY23
Q9UI26		Q6PHG2	A8WH74		Q8CGK7	Q8N806		Q561R8
Q28689		P49946	Q7YRQ8		Q9CR16	Q64287		Q09472
Q2KHZ9		Q7SY06	Q9P1Y5		P49753	Q2EN76		Q9UHR5
Q2KIR8		P98175	Q95460		Q99L04	P84173		B5X3Z6
Q5U3F8		Q9H422	Q9NZI7		Q95LB0	Q9P0Z9		Q92890
Q9BRS2		Q91060	Q0VD48		A2AIV2	P50121		Q640R7
Q03164		P50580	Q5TYS0		P48597	P20397		Q502G5
P51589		Q7T292	P36372		Q7SZN2	Q8JFP1		Q9R0I6
P58467		Q32LQ4	P23610		B0FYY4	Q969H0		O75521
P49300		Q58EJ9	P04114		P11833	Q5E9N4		P54996
Q9Y5Z4		Q32LC9	Q9CX98		Q6NZ06	Q8BX70		Q5R5V7
Q6XBT4		Q9PTW9	Q66HY7		O88989	O60287		P60901
Q5R9G3		Q55EX9	Q7RTR2		Q9CRB9	O94913		Q3UMR5
Q811U4		P26325	Q7SYD5		Q32LQ4	P34943		B0R0D7
Q5VWN6		P24668	Q922R8		Q1LUM3	Q9Y6H5		Q9QXF8
Q6BCB4		Q9R0A0	Q5R5U3		Q6ZWJ1	Q4R7L3		P22451
Q9JHW0		Q4R6P7	Q9UJY4		Q3Y4E2	P13010		Q5F339
Q5TYS0		Q92079	Q8TE73		P54726	Q92793		O76031
Q6J4K2		Q8IVI9	Q0P4D1		A3KNA7	Q17QZ3		O93477
P04114		Q5R804	Q5R8Z6		Q9D0M1	Q5ZIJ9		Q60865
Q9Y2L6		Q6NYS8	Q5R6X7		Q764M5	Q5SVZ6		Q99NI4
Q3B8Q1		Q9CX56	Q6NUV0		Q9UMS4	P42285		Q6AYS7
A1L3G4		Q8N2H3	Q8K2I3		Q8HZK2	P62193		P11602
P07092		Q6PFS7	Q08DG6		Q7SZ10	Q8K2F0		Q3UKU1
Q7ZUF2		Q866Y3	Q5T200		Q3V3G7	Q15751		Q6PHG2
Q92615		Q5T653	Q9BPY3		Q28HC7	Q6KFX9		O46470
Q5R526		Q7ZV55	Q4KM14		Q8K3F7	Q8TDB6		Q3SZZ7
F1PJP5		P00949	E1BSW7		Q3YBR2	Q29473		E7FH11
P80303		P20456	Q5R9U7		Q8BHE3	Q9NW13		Q6PDY2
Q5RB71		Q642B6	Q03001		B0BNE2	Q9H0J9		Q66I08
A2RRT9		Q5ZIP4	Q9N0C5		Q9YGF2	Q8TF30		Q1JQD9
Q91W43		P97280	Q8QZV1		Q9QXQ0	Q6P5F9		Q8VC12
Q99K41		Q92051	B8JLQ9		Q9Y6A2	Q6NVJ5		Q5I0J5
B5X3W7		P13804	O75844		Q98T91	P79134		Q60HD6
O93390		Q9Y496	Q86VP3		Q5RKQ0	Q9H1I8		O13085
Q5REY3		Q63ZW2	Q80V03		P62716	Q3ZBW2		O54980
Q86VP3		Q8CGK7	O35345		Q5XJ10	Q92090		P55058
O73875		P49753	Q9Y2H1		Q14684	Q803G5		Q3SYS6
F1QPC3		Q99L04	A6QLV3		F1RA39	P36992		Q9JHH6
Q6DEG4		Q95LB0	P21670		Q96PU5	Q2YDK1		Q9Y263
Q92122		A2AIV2	Q6ZPR6		O94986	Q5F418		Q9PU58
Q2VPU4		P48597	Q5ZIQ3		Q0II29	P22411		Q96PC5
A2AN08		Q7SZN2	Q90YR4		Q8CG73	Q9BD50		P55010
Q5RAA9		B0FYY4	B0FYY4		P15086	Q6A0A2		Q9H329
P49321		P11833	P58467		Q8IWP9	Q1RMT8		Q8C1A3
Q9UNP4		Q6NZ06	G3HKI1		S4X0Q8	Q6NYZ6		Q16563
O94915		P68373	Q6TFL3		Q6PUR6	Q6PH61		Q5NVI3
P33703		O88989	Q64181		P84169	Q9Y2X7		Q803V5
Q8R0J4		Q9CRB9	Q5R9C7		A1A4J1	Q64487		Q08D69
Q9WVK8		Q1AGS6	O94851		Q60648	P00125		Q6DJE5
P32262		Q32LQ4	P98093		B3VKQ2	Q6TGZ5		Q28FB9
Q07598		Q1LUM3	E6ZIJ1		B6RSP1	Q6A051		P98154
P78536		P40821	Q6P0T2		Q6P0D0	Q61687		P70302
Q61703		Q6ZWJ1	Q61191		P62815	P30998		O60499
Q9UHG0		Q8R034	P55058		Q90718	Q8BMF3		Q5XHF8
Q3TLH4		Q3Y4E2	Q8N806		Q5R804	Q80Z29		Q9ULT8
Q8BIA4		P54726	Q2EN76		Q8BGA9	Q6DHE8		Q8C6U2
Q9ESC8		A3KNA7	P15086		Q91ZE0	Q99PG2		Q924A2
Q28377		Q9D0M1	Q5E9X1		Q501J2	A2AHJ4		Q99376
O88989		Q764M5	Q969H0		Q3SZZ0	Q5PQJ7		P54855
P28663		Q3YBR2	P0C024		Q9D8U8	Q90999		P30043
Q8VIJ6		Q9UMS4	Q8BX70		Q63486	Q12864		Q5EXX3
Q86T20		Q8HZK2	O60287		B5DG42	Q6GMH0		Q9BXW6
P51589		Q7SZ10	O94913		Q5PQJ7	Q8BKI2		P97931
B9ENE7		Q3V3G7	P34943		B5RI54	Q6GN15		P00491
Q330K2		O46427	Q9Y6H5		Q8QZV1	Q9DB85		A0AUR5
Q86UV5		Q28HC7	Q4R7L3		Q91474	A1A4M4		P45592
P28799		Q8K3F7	Q6Q0N3		Q04678	Q9Y3R5		Q8VHQ9
P21868		O88267	P13010		O54941	Q5T2R2		Q501Q9
P14018		Q8BHE3	Q13163		Q6NWK2	Q9BD50		Q5EA28
Q8WYQ5		B0BNE2	Q92793		Q96Q11	Q8VD37		P0C6P5
Q58DL7		Q6NYD7	O14519		P51464	P40682		Q91W89
Q6GQ29		Q9YGF2	P42285		Q90744	P42839		Q8IWV7
Q6NYD4		G1TGF1	Q1RMU3		O95931	Q99996		Q4QRC6
B5XB27		Q9QXQ0	P80314		Q1LVV0	O14595		Q9Y3D0
Q4KLI9		Q98T91	P13731		O13035	Q9GM70		O88822
Q5R664		Q0P5A1	Q8K2F0		P87362	P05619		Q99N42
Q6P5L8		Q5RKQ0	Q1LYE3		Q687X5	P26045		Q8BJ37
Q9HC07		P62716	Q8TDB6		Q8R050	Q8JFB7		Q922B9
Q4AEH4		Q5XJ10	Q29473		Q12979	B1AWL2		P35222
Q32L00		Q14684	Q9NW13		Q98862	Q8QHL5		Q1LWC2
P35573		F1RA39	Q92574		Q9BD50	Q29S14		Q9QYR7
Q90617		Q96PU5	Q9H0J9		Q9NS37	P04066		Q66I22
Q98967		O94986	Q6P5F9		Q80UY1	Q8IW00		Q8IUF1
Q14678		Q0II29	Q56A07		Q568L5	P52181		A1L1P9
Q8K4P0		Q8CG73	Q3ULF4		O75157	O00506		P00548
Q6ZQ58		P15086	O60264		P36551	Q16696		P09653
Q4R3K5		Q8IWP9	P79134		Q503W7	Q9DGK4		Q13442
Q32LC9		S4X0Q8	Q9H1I8		B8A5I7	Q8UVC1		Q7ZUC7
Q66HY7		Q6PUR6	Q803G5		Q6DRC4	P25155		Q9P1Y6
Q01584		Q63486	P36992		Q6P5M2	Q14141		Q9DGK4
Q9Z1J3		P84169	P50995		Q14517	P51648		P0C1G7
Q5EXX3		Q4V8T0	Q15113		Q28BP2	Q9NVP1		Q8WXA3
Q6P5P5		A1A4J1	Q8IWT3		Q8BGZ2	Q8K2X1		Q3B8Q1
Q9UKV3		Q60648	Q2TBV5		Q5R4B6	Q5RA42		Q68FN7
Q2HJ61		B3VKQ2	Q14678		O95049	P98095		Q5U3G1
Q32KH5		Q6P6S2	Q9BD50		P68373	A0A6P8HC43		P31836
Q63150		B6RSP1	Q7RTR2		Q68FU8	Q09167		P07357
F1Q8J0		Q6P0D0	B0R0T1		P67777	Q86VP6		Q58H57
Q6EE23		P62815	Q9H840		O00763	Q13485		Q8R1P4
Q6P0T2		Q90718	Q1RMT8		P35738	Q9NS37		Q5R819
Q9BD50		Q99L20	Q9Y2X7		Q5R613	Q2TLY1		Q8R3T5
Q6DDT1		Q8BGA9	Q6NUW9		Q11011	Q2L969		Q6AYA5
Q9H3K2		Q91ZE0	Q64487		P08132	Q8BY46		P24724
Q66IN2		Q28BP2	Q6DTY7		A0JNG7	G3V893		P82264
Q9TUQ3		Q501J2	Q6A051		Q15652	Q01105		Q9HCM9
Q6GPD0		P50135	Q00973		Q61990	Q6NWE0		Q12907
Q9D0M1		Q3SZZ0	A2RVA7		Q96BI1	Q96SY0		P29558
G3XA57		Q9D8U8	Q8BP00		Q1JPY5	P08650		Q6RY07
P98093		B5DG42	Q8BMF3		Q3SYW1	Q3TEI4		Q3SWT4
Q7ZXV8		Q5PQJ7	A2AHJ4		O00308	A4QP78		Q13017
P54855		B5RI54	P51589		Q9CXF0	Q9QZK7		Q91487
Q24UI6		Q8QZV1	Q9H3G5		Q8QGV2	Q9UNQ0		Q96S52
Q32PL8		Q91474	Q5PQJ7		Q6A028	E9Q3L2		Q13438
O43451		Q04678	Q90999		Q96I24	A2VDJ0		O73770
B8JLQ9		O54941	Q3V6R6		Q9ULJ8	Q9CPW0		P58283
Q8R4I1		F1QVR8	Q8BKI2		Q92824	Q68CZ2		Q1RM35
A4IFW2		Q6NWK2	Q6TGZ5		P50995	A1A5H6		Q6AZB8
A7MBJ2		P84610	Q9DB85		Q9ULM6	Q5ZJF4		P49300
Q2TA24		Q96Q11	Q66HT8		Q922D8	Q24JV9		Q91VZ6
A0A0R4IES7		P51464	A1A4M4		P30883	Q14692		Q9W719
Q4G0W2		Q90744	Q5T2R2		P34932	P58781		Q9QXM1
Q9UBD5		O95931	Q9BD50		P52209	Q9XWZ2		A9ULE9
P49800		Q1LVV0	E9PYK3		Q07287	Q8R143		Q5BJJ7
Q5F479		O13035	Q8VD37		E1C1L6	Q5PR61		P22897
Q8JIY8		P87362	Q5FWP9		O76094	P58003		Q80ZW0
Q9H2Y7		Q687X5	P40682		P51859	O60293		O02773
Q8N2H3		Q8R050	Q99996		Q04637	Q9NRA8		Q5RD23
P34913		Q0MQI7	Q9GM70		Q9CQ02	Q12981		Q99N42
Q96RE7		Q12979	P05619		Q99KH8	Q6P698		Q5RDZ2
O55096		Q98862	Q9NU22		Q99L20	Q8VHQ9		Q63060
Q63945		Q9BD50	Q02819		P43690	Q6GM07		Q9UBJ2
Q02819		Q9NS37	P26045		P46471	P70277		Q9NX05
Q9CZ04		Q80UY1	Q8IZH2		O88267	Q9PTE6		Q8WNV7
Q5R8Z6		Q6DRC4	B0BMY1		P15122	E1C231		P60899
O60244		Q568L5	B1AWL2		P62870	Q5RG49		Q9H0J9
Q9Y2P8		P0DP35	Q8QHL5		O70310	Q5F361		Q8K2I1
A3KPW9		O75157	Q29S14		O00303	Q86TL2		Q99N96
Q96FV9		P36551	Q5R806		Q7RTR2	Q3ZBG7		Q7RTR2
Q5XG04		Q503W7	P31422		P27656	Q6NVF4		Q5I0D1
Q58D55		B8A5I7	P52181		Q96SY0	P10620		Q9YH12
O75131		P80314	Q16696		Q498M4	P52850		P51122
Q8R054		Q1RLY6	Q8UVC1		A3QK15	Q99JG7		Q6AY09
Q08DD1		Q6P5M2	P98160		Q9NZ08	P97378		P56812
B0VYY2		Q14517	P25155		P34913	Q96JB8		Q9Y467
P0CF24		Q8BGZ2	Q14141		O73881	P22670		Q13813
Q95121		Q5R4B6	Q8K2X1		Q9H0A0	Q15643		A4IHK6
O95460		O95049	Q86UV5		Q5SPH9	Q9HAD4		Q8NBI5
Q7Z6Z7		Q68FU8	Q9PVK4		P62634	Q9HBU6		Q3T0S0
A4IHG1		P67777	A0A6P8HC43		P31580	Q9QXV1		Q90515
Q6DHC1		O00763	Q04656		O95295	Q9DGJ3		Q8R216
P16152		P35738	Q13485		P63025	Q05186		O43402
Q2NL00		Q5R613	Q9NS37		Q9Y3C5	Q04637		Q5ZLK4
Q99M87		Q11011	Q9P2M4		Q15417	Q3SX44		P62994
Q6NY77		P08132	Q6DHE8		P00348	Q6NYS8		O54826
Q70I47		Q5R5D0	Q3U7R1		Q5R7G6	A4UTP7		P29218
E7FH11		A0JNG7	Q2TLY1		O55173	Q8BIQ5		O14683
Q9QXS1		Q15652	Q8BY46		Q8BP00	P27987		Q9BU79
Q8R105		Q61990	G3V893		O88685	Q9GLP1		Q53G44
Q14571		Q96BI1	P50548		E7FCN8	P31939		Q15554
P22027		Q1JPY5	O94915		Q6GL74	Q9DBF7		Q803M0
Q5R5A0		Q3SYW1	P51176		Q5VYS8	Q5R5X0		A0JNI5
O19133		O00308	Q1LUA6		Q8N3Y7	Q6P5U8		Q7ZWG6
Q32NH8		Q9CXF0	Q5R421		P42285	O00534		Q9BD50
P26927		Q8QGV2	Q01105		Q9NVV5	Q9EQS0		Q9BXJ9
Q8TDY4		Q6A028	P08650		O95721	O54980		Q6DH44
B0S6T2		Q6NWK2	D3Z7P3		Q659A1	Q7ZUK7		Q460N5
Q12830		Q9ULJ8	Q3TEI4		Q58EK4	P50894		Q6U736
Q2M389		Q92824	A4QP78		Q803Q2	A2VE15		P29117
A2VDF0		O77737	Q9QZK7		P14400	A5D6U8		Q60GI5
P29374		P50995	E9Q3L2		B5X171	Q9D967		Q02819
Q641G7		Q9ULM6	Q68CZ2		Q8BK35	P67777		Q791B0
Q9Y3D0		Q922D8	A1A5H6		P97280	Q28C60		Q9C0A6
Q9BXW6		P30883	Q5RD13		Q5R481	Q9UBQ7		P98139
Q148G5		P34932	Q24JV9		Q96SB4	Q503L4		Q96LT4
Q96IR2		P52209	Q14692		Q5ZMW3	P31646		Q6NYE7
Q9Y6Q2		Q07287	Q9QZI8		O00232	Q5F364		Q5VUE5
O15105		E1C1L6	P58781		P62193	Q8VDW0		P56542
Q9YH26		O76094	Q8R143		A6QP05	Q5RC80		P28024
B9ENM6		Q9D1J1	Q5PR61		Q86T20	P29117		Q803G5
A4IGH4		P51859	Q93034		P83917	Q803W1		O75886
Q5R7Z5		Q04637	O60293		P60843	P08649		Q92038
P04818		Q9CQ02	Q9NRA8		O93428	P40189		Q15311
Q0VCX2		Q99KH8	Q3KTM2		Q08705	Q5RDQ6		Q2HJA5
P97872		Q8TBB0	P42839		Q8BK64	Q28983		Q8R3W5
Q3SZF2		P43690	D3ZHV2		P26369	Q08D51		Q96HP0
A5PL98		P46471	Q9WUF3		Q8WYK2	O70293		Q9UI26
Q8TE68		Q9CQX0	Q8VHQ9		Q710E6	Q14542		Q969V4
P56558		P15122	Q6GM07		Q86VP6	Q9ULU4		Q8MJJ7
P26697		P62870	Q9PTE6		A0A2R9YJI3	P29218		P27824
Q8NE71		Q98SV1	E1C231		Q5ZMV8	P08697		Q561X9
P30932		O70310	Q5RG49		Q9H6A0	Q8R0H9		P38621
Q6PFQ2		O00303	Q5F361		Q02094	Q9UL36		Q5R8Y3
P26325		Q2LE37	Q6NVF4		Q06335	P60815		Q66HX0
Q7RTR2		Q95LB0	Q5SZI1		Q99L20	Q0VH32		Q96PZ2
P00949		Q7RTR2	Q14542		Q6NZW8	Q3SZZ0		Q9UNP4
O15228		P27656	P52850		Q9YH26	Q9C6B9		Q6TEL1
Q07598		Q498M4	Q99JG7		F1QNV4	Q14126		Q7ZVV1
Q5NCX5		A3QK15	Q96JB8		Q08BA4	Q15652		Q9UGR2
P35738		Q9NZ08	P22670		Q1LWC2	Q8IWJ2		Q5RBM6
Q7RTR2		P34913	Q15643		Q32L47	Q9NPH3		P70122
O95045		O73881	Q5U3U0		P22288	Q9PVE8		Q5R9L3
Q6IR74		Q9H0A0	Q86T20		Q3T0D8	Q07081		Q9P0Z9
O88618		Q5SPH9	Q9HBU6		F1QGW6	P48382		Q9PVE8
P21869		P62634	Q6U841		Q6P9Z1	P28331		Q7TPD1
Q28678		P31580	Q6ZQ58		Q5ZPR3	Q9CZB3		Q9EQS0
Q71R50		O95295	Q9JM13		Q6PC19	Q99L20		Q5QJC4
Q498L2		P63025	Q148G5		Q99805	Q5RGA4		P59281
P07686		Q9Y3C5	Q04637		Q92542	Q5R328		P02001
O14936		Q15417	Q12907		Q9NWW5	Q96PD7		Q9NYL9
Q9UGM5		P04114	Q3SX44		Q7Z5M8	Q9NYM4		A0JPF9
Q6PCR7		P00348	Q5EXX3		F1QVR8	Q9CTG6		Q13823
O73872		Q5R7G6	Q92546		Q9Y2X3	Q91XF0		Q5BJT2
A8WH74		O55173	Q6NYS8		Q9HA64	Q6DBU5		P61025
Q7YRQ8		Q8BP00	A4UTP7		P46782	Q99797		P13506
Q9P1Y5		O88685	O15228		Q7YR26	Q3KR97		Q7ZUU1
Q95460		E7FCN8	P27987		O75881	Q1L994		Q5RFN7
Q9NZI7		Q6GL74	P31939		P53992	P13752		P68037
Q8WMV3		P02750	Q6AX33		P80314	Q7ZVA0		Q96SM3
Q9CWP6		Q5VYS8	Q6P5U8		P33703	Q13332		Q5U3U3
Q99700		Q8N3Y7	Q6GN15		P08537	Q9DCD2		Q61576
Q00341		P28648	Q7ZUK7		Q9BD50	Q3SX46		O15403
Q0VD48		P0DP35	Q61687		Q9H910	Q28CQ4		Q15392
P36372		P42285	Q5RDG4		Q9EPK6	Q9NR19		Q6NW59
Q02556		Q9NVV5	Q6DGL7		Q5R511	G5E5X0		P00125
P23610		O95721	P31646		D4A055	A0A0R4IBK5		Q6GLZ5
Q32LQ4		Q659A1	Q5F364		P82013	P49756		Q3ZCF5
Q9CX98		Q58EK4	Q8JFR5		A4FUC0	O93257		O75170
Q7RTR2		Q803Q2	Q0IHV1		Q01345	Q8R5M8		Q5BLE8
Q7SYD5		P14400	Q5ZIJ9		O73875	Q0P5N6		Q9PVK4
P51968		Q3SZF2	Q7ZU99		Q6IRU7	Q86UP3		Q05B89
Q91YQ7		B5X171	Q922B9		Q9Z1K6	P08045		A1L252
Q5R5U3		O75629	P08649		Q90592	Q7M456		Q9JJR8
Q9UJY4		Q8BK35	P40189		P05631	O09173		Q7T3H7
Q8TE73		Q5R481	Q5RDQ6		Q9NUM3	Q9CWG9		O43815
Q0P457		Q96SB4	Q08D51		Q921G7	Q9Y375		Q5BKU9
Q0P4D1		Q5ZMW3	O70293		Q3T9X0	I0J1J1		Q92624
Q5R6X7		O00232	E9Q3L2		Q5R5B6	Q3B7N2		Q9Y6R7
Q6NUV0		E7FC72	Q9GZU8		Q90610	Q76LX8		Q91V01
Q8K2I3		P62193	Q9ULU4		Q8R478	Q96N46		Q06486
Q08DG6		Q86T20	Q9QXV1		Q9JHW0	Q3THS6		Q7ZU42
Q6P0H6		P10102	P29218		B5XAM2	P02640		P84611
D3ZHV2		O00233	P08697		Q6PL18	Q9NPB8		P63100
Q5T200		P83917	Q91474		A3KNA5	Q6NRZ1		Q9I8E6
F1QX91		P60843	Q8R0H9		Q5VT25	P42026		Q02367
Q9BPY3		O93428	P60815		Q2YDK1	P54996		Q5ZJ41
Q8R059		Q08705	Q0VH32		O95219	Q5ZK10		Q3T9X0
Q9D0B5		Q8BK64	A3KMV2		Q9JIG8	Q9NRJ4		Q5THJ4
Q4KM14		Q6NZ07	Q3SZZ0		Q5ZJN4	Q5EBL4		Q8BK48
E1BSW7		P26369	Q14126		A1A600	Q8WWI1		Q5DTZ6
Q6ZQ89		Q8WYK2	Q15652		P15979	A4IHD2		Q5ZLJ4
Q5R9U7		Q710E6	Q8IWJ2		Q6TH15	P11181		P00636
Q53H80		Q86VP6	Q9PVE8		Q5ZKB8	Q3U1J4		B5X5U9
Q7YRH6		Q8MJY8	Q63HQ2		Q9JJK2	Q8IWZ3		Q2TA24
Q03001		A0A2R9YJI3	P48382		Q8BGA5	Q5RAY0		Q08DA8
Q16514		Q5ZMV8	Q14005		A5PJN1	O14975		Q504E7
Q5RD23		A3KMV2	Q9CZB3		A3KPN8	O00268		O60711
Q9N0C5		Q9H6A0	Q8TF05		Q6PCR6	Q9HCM4		O93257
Q5RCB8		Q02094	Q9H299		Q92900	Q9CY18		Q4V8I4
P01048		Q06335	Q5RGA4		Q9NVN8	Q99541		O94903
Q8QZV1		Q99L20	Q9BVG4		Q28479	Q3B7H1		P28331
Q1LUA8		Q6NZW8	Q5R328		Q9QXV1	Q04519		Q9UNQ2
O75844		Q9YH26	Q11005		Q28377	P55211		Q4U5R4
Q80V03		F1QNV4	Q96PD7		Q7T385	P27465		Q2QCI8
O35345		Q08BA4	Q32LQ4		Q86SQ9	Q9Y5X2		Q8BZ03
Q9Y2H1		Q1LWC2	P42566		Q5R806	Q61990		Q91YE9
A6QLV3		Q32L47	Q7T385		P11586	Q6DDB3		Q7SZE5
P14866		P22288	Q28141		Q2KJG3	P15979		Q9UPV0
P21670		Q9HBK9	Q9NYM4		P34943	P98064		Q8BZX4
O93510		Q5XI32	Q91XF0		P58797	Q5PR34		Q7ZWJ4
Q3KTM2		Q3T0D8	O95714		P39052	Q80X90		Q9HC07
O35491		F1QGW6	Q9UKG9		Q8R1T4	E9PYL2		P15129
Q6ZPR6		Q5R526	P00491		Q66KG0	Q13459		Q5U3S7
Q1LYE3		Q9DBN9	Q99797		P16381	Q5F450		Q6PGV1
A1L253		Q6P9Z1	P79749		Q5U2V5	Q7ZV22		Q15113
Q5ZIQ3		Q5ZPR3	Q3KR97		Q04799	O54697		O94830
Q90YR4		Q63610	Q8TE68		Q9UKD2	Q62638		O95810
Q5FB27		Q6PC19	Q13332		Q6NYD4	A3KQV2		Q8VEL2
B0FYY4		Q99805	Q07598		P61963	Q9BYX4		Q8QZR1
D2D3B6		Q92542	Q5F488		Q90YR4	A4IG53		Q9I9P9
G3HKI1		P08537	Q9NZ08		Q5M7V8	Q9W719		O15254
Q9QZC4		B5XAM2	A0A0R4IBK5		Q6P742	Q6TGY8		P52944
Q6TFL3		Q9NWW5	O93257		P28648	Q99N96		Q5YJC1
Q5R9C7		Q7Z5M8	P30044		P52272	Q9UPU5		Q92005
O94851		Q9Y2X3	B0S6T2		Q503L4	Q09472		P25490
E6ZIJ1		Q9HA64	Q8R5M8		Q6P2P2	Q91WL0		Q5ZML7
Q61191		P46782	Q8C0P7		Q90XW6	Q6MGA9		Q28651
P55058		Q7YR26	Q86UP3		Q8N448	Q8BMS1		Q96N46
Q8N806		Q6PFM0	P08045		Q2KHV4	Q3ZC75		Q6NZJ6
Q64287		O75881	Q7M456		Q86YT5	Q6NUZ2		Q8K0T0
Q2EN76		P53992	P15169		Q2L969	Q5ZMJ9		Q3SYU1
P84173		P33703	Q9Y375		Q6PBC4	Q8WUJ3		Q0II68
Q9P0Z9		Q9BD50	Q00341		P62510	Q0IHQ3		Q8BKZ9
P15086		Q9H910	Q3THS6		E3TDS3	Q8VDM6		Q8VE18
P50121		Q9EPK6	Q3SX46		O73672	Q2PWT8		Q6GLT8
P20397		Q9Z255	P00787		P28345	O76031		Q687X5
Q5E9X1		Q5R511	P54996		B0UXP9	A4IHK6		Q7Z7G1
Q8JFP1		D4A055	Q17RY0		Q16822	P46196		Q1RMT8
Q969H0		Q8R478	Q5MNZ9		Q9EQH3	Q5ZLX2		P06398
Q5E9N4		A4FUC0	Q8JFP1		Q6DEF6	Q99KQ4		A9UL78
P0C024		Q01345	Q502P0		Q9BRX8	Q92079		B0S6T2
Q8BX70		O73875	Q8WWI1		I0J1J1	Q8K4T1		P21670
O60287		Q6IRU7	A4IHD2		Q6RY07	Q59J78		Q6NZS4
O18765		Q9Z1K6	P11181		Q6P5F9	Q58EB4		Q64620
O94913		Q90592	Q8IWZ3		Q1RLY6	Q7ZXD6		Q90YI8
Q9JHX4		P05631	Q9D5V6		Q9NRZ7	Q1JP73		A6QLT2
P34943		Q9NUM3	Q9HCM4		Q5ZMD4	Q3UKU1		P49816
Q9GZU8		Q921G7	Q04519		Q6DDT1	Q96L91		O42161
Q9Y6H5		Q3T9X0	Q86WA9		Q14103	Q99J36		F1QW76
Q3TLP5		Q5R5B6	O00506		Q6NWK2	Q14C86		Q62639
Q9EPC6		Q90610	O75581		P50135	Q5ZMD4		Q5R1W6
Q802G6		Q9JHW0	Q99LG2		Q6DG60	Q9Z0R4		P19174
Q4R7L3		Q6PL18	Q0P4F7		Q5U395	Q8WYR1		P68106
Q3UP38		A3KNA5	Q9Y5X2		Q8BH73	P58137		Q8IYT8
Q6Q0N3		Q5VT25	Q5RJA1		Q29099	Q5U3H3		Q96BT7
P13010		Q2YDK1	P15979		P40692	Q07973		Q2TBT5
Q13163		O95219	P98064		Q9D967	Q91738		Q9CY58
Q92793		Q9JIG8	Q5PR34		Q1RM55	P07228		O95714
Q17QZ3		Q5ZJN4	E9PYL2		Q5R5D0	Q9UMZ2		P62255
Q5ZIJ9		A1A600	Q13459		Q32LQ4	O94966		Q6SA80
Q3T9X0		P15979	Q68CP4		P40197	P11730		Q5RHZ6
O14519		Q6TH15	Q5F450		Q9UHD2	Q08499		Q68FD5
Q5SVZ6		Q5RA42	P02454		Q9UKX5	Q9XT77		Q9UNN5
P42285		Q5ZKB8	P50591		Q5R601	Q9TTY2		Q29437
Q1RMU3		Q9JJK2	O54697		P11279	O75881		Q5E9W3
P13731		Q8BGA5	P25686		O43390	Q3TYL0		Q6DH46
Q1LYG4		A5PJN1	Q62638		P11348	A7MB63		Q9Y4Z0
P62193		A3KPN8	A3KQV2		Q9EQ20	Q8WZ79		Q2LE08
Q8K2F0		Q6PCR6	Q9BYX4		Q32KH5	Q8JGS1		Q08E13
Q15751		Q92900	A4IG53		Q9D8S3	Q08BA6		Q86V48
Q6KFX9		Q9NVN8	P70699		A2A9C3	Q4SK88		Q60972
Q8TDB6		Q28479	Q9W719		Q3T0B7	A0JNI5		Q02874
Q29473		Q9QXV1	Q08DQ0		P79703	O00232		Q6P132
Q5R4U9		Q28377	Q96B23		P51147	Q96Q05		O35796
