Sample	Unique Reads	Duplicate Reads
GM34_R2	7878603.0	1233109.0
GM35_R1	6469127.0	1181744.0
GM35_R2	6520741.0	1130130.0
GM36_R1	6269039.0	1034996.0
GM36_R2	6271783.0	1032252.0
GM37_R1	7339204.0	1345250.0
GM37_R2	7368863.0	1315591.0
GM38_R1	7863749.0	1462928.0
GM38_R2	7915611.0	1411066.0
GM39_R1	6782315.0	1309353.0
GM39_R2	6801452.0	1290216.0
GM3_R1	6351481.0	1142933.0
GM3_R2	6378817.0	1115597.0
GM40_R1	7324758.0	1354839.0
GM40_R2	7345643.0	1333954.0
GM41_R1	7073635.0	1380902.0
GM41_R2	7081491.0	1373046.0
GM42_R1	7024147.0	1184960.0
GM42_R2	7072187.0	1136920.0
GM43_R1	5954177.0	953730.0
GM43_R2	5987092.0	920815.0
GM44_R1	6297727.0	1131120.0
GM44_R2	6349055.0	1079792.0
GM45_R1	7056880.0	1091833.0
GM45_R2	7098414.0	1050299.0
GM46_R1	8204856.0	1492344.0
GM46_R2	8288058.0	1409142.0
GM47_R1	6583456.0	1134416.0
GM47_R2	6584889.0	1132983.0
GM48_R1	6465788.0	1039948.0
GM48_R2	6508293.0	997443.0
GM49_R1	6482871.0	1215675.0
GM49_R2	6513155.0	1185391.0
GM4_R1	5802672.0	918422.0
GM4_R2	5822450.0	898644.0
GM50_R1	6668233.0	1232633.0
GM50_R2	6694138.0	1206728.0
GM51_R1	6907819.0	1178991.0
GM51_R2	6911353.0	1175457.0
GM52_R1	6343939.0	1071943.0
GM52_R2	6400848.0	1015034.0
GM53_R1	6481448.0	1187038.0
GM53_R2	6527548.0	1140938.0
GM54_R1	6064911.0	1006518.0
GM54_R2	6098703.0	972726.0
GM55_R1	6596799.0	1241880.0
GM55_R2	6629603.0	1209076.0
GM56_R1	6054363.0	999371.0
GM56_R2	6120864.0	932870.0
GM57_R1	6539440.0	1114851.0
GM57_R2	6594290.0	1060001.0
GM58_R1	6739415.0	1072267.0
GM58_R2	6771102.0	1040580.0
GM59_R1	8039094.0	1389366.0
GM59_R2	8081594.0	1346866.0
GM5_R1	5604609.0	947148.0
GM5_R2	5625218.0	926539.0
GM60_R1	7715199.0	1363152.0
GM60_R2	7788482.0	1289869.0
GM61_R1	7728875.0	1345905.0
GM61_R2	7775660.0	1299120.0
GM62_R1	6496642.0	1086991.0
GM62_R2	6582780.0	1000853.0
GM63_R1	6684643.0	1337726.0
GM63_R2	6725230.0	1297139.0
GM64_R1	7908352.0	1401861.0
GM64_R2	7994408.0	1315805.0
GM65_R1	6142476.0	1017696.0
GM65_R2	6173633.0	986539.0
GM66_R1	7873917.0	1325279.0
GM66_R2	7925070.0	1274126.0
GM67_R1	7716259.0	1369580.0
GM67_R2	7777471.0	1308368.0
GM68_R1	6856326.0	1066698.0
GM68_R2	6888060.0	1034964.0
GM69_R1	8026778.0	1634395.0
GM69_R2	8078058.0	1583115.0
GM6_R1	7279912.0	1167813.0
GM6_R2	7314478.0	1133247.0
GM70_R1	7273988.0	1131563.0
GM70_R2	7312646.0	1092905.0
GM71_R1	7827497.0	1317031.0
GM71_R2	7891902.0	1252626.0
GM72_R1	6166252.0	1039661.0
GM72_R2	6224714.0	981199.0
GM73_R1	6919123.0	1299794.0
GM73_R2	6969499.0	1249418.0
GM74_R1	8304798.0	1437081.0
GM74_R2	8382632.0	1359247.0
GM75_R1	6373525.0	1106914.0
GM75_R2	6424739.0	1055700.0
GM76_R1	7540014.0	1274284.0
GM76_R2	7576936.0	1237362.0
GM77_R1	8028586.0	1443804.0
GM77_R2	8071533.0	1400857.0
GM78_R1	6723642.0	1161808.0
GM78_R2	6800482.0	1084968.0
GM79_R1	7086298.0	1288635.0
GM79_R2	7128755.0	1246178.0
GM7_R1	5778997.0	952271.0
GM7_R2	5803160.0	928108.0
GM80_R1	6064587.0	908251.0
GM80_R2	6101483.0	871355.0
GM81_R1	5981577.0	941312.0
GM81_R2	6005919.0	916970.0
GM82_R1	8153383.0	1297126.0
GM82_R2	8195757.0	1254752.0
GM83_R1	6573455.0	1097518.0
GM83_R2	6630451.0	1040522.0
GM84_R1	7011698.0	1304433.0
GM84_R2	7077505.0	1238626.0
GM85_R1	6131564.0	1022462.0
GM85_R2	6182217.0	971809.0
GM86_R1	5760470.0	898810.0
GM86_R2	5800861.0	858419.0
GM87_R1	7351871.0	1338905.0
GM87_R2	7395818.0	1294958.0
GM88_R1	5941771.0	903853.0
GM88_R2	5972024.0	873600.0
GM89_R1	7516030.0	1217984.0
GM89_R2	7575471.0	1158543.0
GM8_R1	5873113.0	991043.0
GM8_R2	5900355.0	963801.0
GM90_R1	6824901.0	1145920.0
GM90_R2	6856934.0	1113887.0
GM91_R1	6497707.0	1111161.0
GM91_R2	6529747.0	1079121.0
GM92_R1	5829056.0	872528.0
GM92_R2	5878836.0	822748.0
GM93_R1	7448847.0	1370356.0
GM93_R2	7486101.0	1333102.0
GM94_R1	5809639.0	917691.0
GM94_R2	5939581.0	787749.0
GM95_R1	6928591.0	1223709.0
GM95_R2	6987348.0	1164952.0
GM96_R1	7230829.0	1299735.0
GM96_R2	7284703.0	1245861.0
GM97_R1	6387585.0	1105951.0
GM97_R2	6418000.0	1075536.0
GM98_R1	7130513.0	1161962.0
GM98_R2	7176298.0	1116177.0
GM99_R1	6735678.0	1301660.0
GM99_R2	6798821.0	1238517.0
GM9_R1	6270925.0	1157669.0
GM9_R2	6316662.0	1111932.0
