Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ABLG10408_trimmed_clipped_R1_paired	ABLG10408_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8673078.0	0.0	1-150	47.0	75.54210346417437	103.6688574690554	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG10408_trimmed_clipped_R2_paired	ABLG10408_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8673078.0	0.0	1-150	46.0	73.92473819525739	102.10136216923219	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG10409_trimmed_clipped_R1_paired	ABLG10409_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9538008.0	0.0	1-150	47.0	71.07474186846777	101.68287497766829	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG10409_trimmed_clipped_R2_paired	ABLG10409_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9538008.0	0.0	1-150	46.0	69.91738126074438	95.47793574926756	pass	pass	pass	pass	warn	fail	pass	warn	warn	fail	pass
ABLG10410_trimmed_clipped_R1_paired	ABLG10410_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12416407.0	0.0	1-150	46.0	74.44689826199681	103.76813823838087	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG10410_trimmed_clipped_R2_paired	ABLG10410_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12416407.0	0.0	1-150	46.0	73.68047917836378	99.72675307760127	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG10411_trimmed_clipped_R1_paired	ABLG10411_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6834024.0	0.0	1-150	46.0	74.39233946172678	105.69713144115386	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG10411_trimmed_clipped_R2_paired	ABLG10411_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6834024.0	0.0	1-150	46.0	73.60950794694202	101.16894511930306	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG10412_trimmed_clipped_R1_paired	ABLG10412_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13515857.0	0.0	1-150	46.0	75.4378648775788	109.12458588456506	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG10412_trimmed_clipped_R2_paired	ABLG10412_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13515857.0	0.0	1-150	46.0	74.58192673417189	102.81310944618606	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG10413_trimmed_clipped_R1_paired	ABLG10413_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7067078.0	0.0	1-150	46.0	73.57519460645838	102.88791576943116	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG10413_trimmed_clipped_R2_paired	ABLG10413_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7067078.0	0.0	1-150	46.0	71.86025162508828	99.35949030136642	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG10414_trimmed_clipped_R1_paired	ABLG10414_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20906270.0	0.0	1-150	46.0	73.2440634355279	105.39656586277705	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG10414_trimmed_clipped_R2_paired	ABLG10414_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20906270.0	0.0	1-150	46.0	72.53458503265065	99.0122493395522	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG10415_trimmed_clipped_R1_paired	ABLG10415_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13263420.0	0.0	1-150	46.0	75.56420350146612	106.72384106060126	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG10415_trimmed_clipped_R2_paired	ABLG10415_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13263420.0	0.0	1-150	46.0	74.80710318539198	101.9558514319836	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG10416_trimmed_clipped_R1_paired	ABLG10416_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16675725.0	0.0	1-150	46.0	74.80361796361376	107.70038717956791	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG10416_trimmed_clipped_R2_paired	ABLG10416_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16675725.0	0.0	1-150	45.0	73.94653814426991	103.24745304926772	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG10417_trimmed_clipped_R1_paired	ABLG10417_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10699861.0	0.0	1-150	46.0	74.13639422439186	106.35698669356546	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG10417_trimmed_clipped_R2_paired	ABLG10417_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10699861.0	0.0	1-150	46.0	73.33915637269355	99.698195705533	pass	pass	pass	pass	warn	fail	pass	warn	pass	fail	pass
ABLG10418_trimmed_clipped_R1_paired	ABLG10418_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12656875.0	0.0	1-150	45.0	80.62166241253854	105.3335904794825	pass	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
