Sample	Unique Reads	Duplicate Reads
ABLG10408_trimmed_clipped_R1_paired	6551826.0	2121252.0
ABLG10408_trimmed_clipped_R2_paired	6411551.0	2261527.0
ABLG10409_trimmed_clipped_R1_paired	6779115.0	2758893.0
ABLG10409_trimmed_clipped_R2_paired	6668726.0	2869282.0
ABLG10410_trimmed_clipped_R1_paired	9243630.0	3172777.0
ABLG10410_trimmed_clipped_R2_paired	9148469.0	3267938.0
ABLG10411_trimmed_clipped_R1_paired	5083991.0	1750033.0
ABLG10411_trimmed_clipped_R2_paired	5030492.0	1803532.0
ABLG10412_trimmed_clipped_R1_paired	10196074.0	3319783.0
ABLG10412_trimmed_clipped_R2_paired	10080387.0	3435470.0
ABLG10413_trimmed_clipped_R1_paired	5199617.0	1867461.0
ABLG10413_trimmed_clipped_R2_paired	5078421.0	1988657.0
ABLG10414_trimmed_clipped_R1_paired	15312602.0	5593668.0
ABLG10414_trimmed_clipped_R2_paired	15164277.0	5741993.0
ABLG10415_trimmed_clipped_R1_paired	10022398.0	3241022.0
ABLG10415_trimmed_clipped_R2_paired	9921981.0	3341439.0
ABLG10416_trimmed_clipped_R1_paired	12474046.0	4201679.0
ABLG10416_trimmed_clipped_R2_paired	12331122.0	4344603.0
ABLG10417_trimmed_clipped_R1_paired	7932492.0	2767369.0
ABLG10417_trimmed_clipped_R2_paired	7847188.0	2852673.0
ABLG10418_trimmed_clipped_R1_paired	10204184.0	2452691.0
ABLG10418_trimmed_clipped_R2_paired	9920735.0	2736140.0
ABLG10419_trimmed_clipped_R1_paired	8848368.0	2922335.0
ABLG10419_trimmed_clipped_R2_paired	8727458.0	3043245.0
ABLG10420_trimmed_clipped_R1_paired	6149341.0	2724555.0
ABLG10420_trimmed_clipped_R2_paired	6064462.0	2809434.0
ABLG10421_trimmed_clipped_R1_paired	2644525.0	683636.0
ABLG10421_trimmed_clipped_R2_paired	2621559.0	706602.0
ABLG10422_trimmed_clipped_R1_paired	7786469.0	2607193.0
ABLG10422_trimmed_clipped_R2_paired	7684314.0	2709348.0
ABLG10423_trimmed_clipped_R1_paired	10122860.0	3702859.0
ABLG10423_trimmed_clipped_R2_paired	10036706.0	3789013.0
ABLG10424_trimmed_clipped_R1_paired	8351069.0	2838891.0
ABLG10424_trimmed_clipped_R2_paired	8283087.0	2906873.0
ABLG10425_trimmed_clipped_R1_paired	6719316.0	2103353.0
ABLG10425_trimmed_clipped_R2_paired	6669215.0	2153454.0
ABLG10426_trimmed_clipped_R1_paired	9313006.0	3658036.0
ABLG10426_trimmed_clipped_R2_paired	9211681.0	3759361.0
ABLG10427_trimmed_clipped_R1_paired	7674511.0	2451245.0
ABLG10427_trimmed_clipped_R2_paired	7589906.0	2535850.0
ABLG10428_trimmed_clipped_R1_paired	6212380.0	2079329.0
ABLG10428_trimmed_clipped_R2_paired	6158862.0	2132847.0
ABLG10429_trimmed_clipped_R1_paired	4476467.0	1573532.0
ABLG10429_trimmed_clipped_R2_paired	4426970.0	1623029.0
ABLG10430_trimmed_clipped_R1_paired	6100829.0	1936545.0
ABLG10430_trimmed_clipped_R2_paired	6042607.0	1994767.0
ABLG10431_trimmed_clipped_R1_paired	2586470.0	942712.0
ABLG10431_trimmed_clipped_R2_paired	2551474.0	977708.0
ABLG10432_trimmed_clipped_R1_paired	4054371.0	1376154.0
ABLG10432_trimmed_clipped_R2_paired	4010881.0	1419644.0
ABLG10433_trimmed_clipped_R1_paired	4833497.0	1844287.0
ABLG10433_trimmed_clipped_R2_paired	4791028.0	1886756.0
ABLG10434_trimmed_clipped_R1_paired	2372172.0	849949.0
ABLG10434_trimmed_clipped_R2_paired	2350542.0	871579.0
ABLG10435_trimmed_clipped_R1_paired	1985743.0	840212.0
ABLG10435_trimmed_clipped_R2_paired	1962238.0	863717.0
ABLG10436_trimmed_clipped_R1_paired	5836677.0	2207859.0
ABLG10436_trimmed_clipped_R2_paired	5752582.0	2291954.0
ABLG10437_trimmed_clipped_R1_paired	3834764.0	1765377.0
ABLG10437_trimmed_clipped_R2_paired	3776265.0	1823876.0
ABLG10438_trimmed_clipped_R1_paired	4439458.0	1701711.0
ABLG10438_trimmed_clipped_R2_paired	4378541.0	1762628.0
ABLG10439_trimmed_clipped_R1_paired	17279002.0	5331511.0
ABLG10439_trimmed_clipped_R2_paired	17210451.0	5400062.0
ABLG10440_trimmed_clipped_R1_paired	2541917.0	927887.0
ABLG10440_trimmed_clipped_R2_paired	2513502.0	956302.0
ABLG10441_trimmed_clipped_R1_paired	3645231.0	1365058.0
ABLG10441_trimmed_clipped_R2_paired	3604158.0	1406131.0
ABLG10442_trimmed_clipped_R1_paired	3169832.0	917444.0
