Sample	Top over-represented sequence	Sum of remaining over-represented sequences
ABLG10448_trimmed_clipped_R1_paired	1.22622929523202	1.7419731835960508
ABLG10448_trimmed_clipped_R2_paired	1.1642925247856146	1.4290537379949795
ABLG10449_trimmed_clipped_R1_paired	1.7964480893704469	5.626695254371057
ABLG10449_trimmed_clipped_R2_paired	1.7681593562051998	4.912078333488969
ABLG10450_trimmed_clipped_R1_paired	1.8940734132134478	5.876939833972099
ABLG10450_trimmed_clipped_R2_paired	1.9009663995997996	5.723345483312503
ABLG10451_trimmed_clipped_R1_paired	1.6667827534648127	5.549966482890394
ABLG10451_trimmed_clipped_R2_paired	1.7155108564153108	4.826378726043629
ABLG10452_trimmed_clipped_R1_paired	2.4431408280733957	8.368921605652998
ABLG10452_trimmed_clipped_R2_paired	2.2823292369632404	7.969941188846521
ABLG10453_trimmed_clipped_R1_paired	2.1105976466933325	6.741997662932777
ABLG10453_trimmed_clipped_R2_paired	2.0896628904084924	6.465097560200661
ABLG10454_trimmed_clipped_R1_paired	1.886576987408945	5.56769803261361
ABLG10454_trimmed_clipped_R2_paired	2.028451098652632	5.020926976239901
ABLG10455_trimmed_clipped_R1_paired	2.085256745050296	6.302369404035202
ABLG10455_trimmed_clipped_R2_paired	2.3743823872184624	5.571336532784131
ABLG10458_trimmed_clipped_R1_paired	1.1366433865424357	1.1778886123101042
ABLG10458_trimmed_clipped_R2_paired	1.099978256725341	0.9764983826536175
ABLG10459_trimmed_clipped_R1_paired	1.0211505145268989	1.0626838831091603
ABLG10459_trimmed_clipped_R2_paired	0.9354513807620921	0.8776361517262214
ABLG10460_trimmed_clipped_R1_paired	1.0927426862255671	1.062189788037909
ABLG10460_trimmed_clipped_R2_paired	1.0318261011720506	0.8786075030614393
ABLG10461_trimmed_clipped_R1_paired	1.04752219472963	1.233256806959118
ABLG10461_trimmed_clipped_R2_paired	1.1089836102326986	0.850481800883885
ABLG10462_trimmed_clipped_R1_paired	1.3861826216356998	1.8032035953710774
ABLG10462_trimmed_clipped_R2_paired	0.6790370163001372	1.9442142796056858
ABLG10463_trimmed_clipped_R1_paired	1.2259867433777114	1.241002778273484
ABLG10463_trimmed_clipped_R2_paired	1.2466709889922403	0.9465911900323378
ABLG10464_trimmed_clipped_R1_paired	0.9516319378775824	1.1089813044982277
ABLG10464_trimmed_clipped_R2_paired	0.9835771597070726	0.9449297492356408
ABLG10465_trimmed_clipped_R1_paired	1.247123897479415	1.4864277900328795
ABLG10465_trimmed_clipped_R2_paired	1.246679485988992	1.1718897101665209
ABLG10466_trimmed_clipped_R1_paired	1.073272076028443	1.2285620782762525
ABLG10466_trimmed_clipped_R2_paired	1.05170674058347	0.9397236926216153
ABLG10467_trimmed_clipped_R1_paired	1.1431748772403452	1.148145273358194
ABLG10467_trimmed_clipped_R2_paired	1.093044882108899	0.865550866161515
ABLG10468_trimmed_clipped_R1_paired	1.0968556294040088	1.2404743678789087
ABLG10468_trimmed_clipped_R2_paired	1.108262902387294	1.1009349809937365
ABLG10469_trimmed_clipped_R1_paired	1.144422187047154	1.1623057602420024
ABLG10469_trimmed_clipped_R2_paired	1.1188341301748612	0.8781925478944939
ABLG10470_trimmed_clipped_R1_paired	1.1186227842025689	1.2147161737868748
ABLG10470_trimmed_clipped_R2_paired	1.0266651711698656	1.021216974859221
ABLG10471_trimmed_clipped_R1_paired	1.1556272608481564	1.1434867563669133
ABLG10471_trimmed_clipped_R2_paired	1.0770119482399532	0.9237005614820204
ABLG10472_trimmed_clipped_R1_paired	1.8302575110391188	6.007389001409643
ABLG10472_trimmed_clipped_R2_paired	1.7885227779467008	5.770918404073248
ABLG10473_trimmed_clipped_R1_paired	1.1957452422098307	1.2802667866851574
ABLG10473_trimmed_clipped_R2_paired	1.2301534504429792	0.9154908332551683
ABLG10474_trimmed_clipped_R1_paired	1.1999439675417407	1.136444740523447
ABLG10474_trimmed_clipped_R2_paired	1.0990855426749921	0.9275357909439967
ABLG10475_trimmed_clipped_R1_paired	1.2411636352271371	1.2660155080403903
ABLG10475_trimmed_clipped_R2_paired	1.2047353524322106	0.9902677073371515
ABLG10476_trimmed_clipped_R1_paired	1.252197817430498	1.4224493279968018
ABLG10476_trimmed_clipped_R2_paired	1.2770419699837112	1.078921040049766
ABLG10477_trimmed_clipped_R1_paired	1.1709670501772325	1.288222890894042
ABLG10477_trimmed_clipped_R2_paired	1.0957269153776512	1.1067596769545307
ABLG10478_trimmed_clipped_R1_paired	1.0965446205123943	1.240499355283841
ABLG10478_trimmed_clipped_R2_paired	1.0818825074370995	0.9870752737683766
ABLG10479_trimmed_clipped_R1_paired	1.216542073452384	1.276995023105292
ABLG10479_trimmed_clipped_R2_paired	1.1839534588945793	0.9478553643123651
ABLG10480_trimmed_clipped_R1_paired	1.221226583972857	1.3107914517211523
ABLG10480_trimmed_clipped_R2_paired	1.182444109630804	0.9614199968600066
ABLG10481_trimmed_clipped_R1_paired	1.2135569349132176	1.2163613201509342
ABLG10481_trimmed_clipped_R2_paired	1.0802039445756666	1.0086684442154632
ABLG10482_trimmed_clipped_R1_paired	1.1902932055545428	1.285376390953699
ABLG10482_trimmed_clipped_R2_paired	1.141484218220961	1.301928755459445
ABLG10483_trimmed_clipped_R1_paired	1.2929277873395855	1.2823396401873437
ABLG10483_trimmed_clipped_R2_paired	1.175032235157076	0.9908701652877523
ABLG10484_trimmed_clipped_R1_paired	1.1807902014178233	1.3310009130569682
ABLG10484_trimmed_clipped_R2_paired	1.196788312247063	0.9175645076429113
ABLG10485_trimmed_clipped_R1_paired	1.122203844986892	1.451566960657311
ABLG10485_trimmed_clipped_R2_paired	1.2334844185732161	1.2658324781247405
ABLG10486_trimmed_clipped_R1_paired	1.2582921551650716	1.2823968564928612
ABLG10486_trimmed_clipped_R2_paired	1.2109102023817016	1.2677200688605457
ABLG10487_trimmed_clipped_R1_paired	1.1652183574677015	1.1768942725771536
